,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM)
435,105.877,1.5834,1.1893,0.2796,0.1022,4.5942
436,106.216,1.8242,1.217,0.2335,0.1155,4.5795
437,106.556,1.7919,1.1861,0.2625,0.1127,5.7062
438,106.896,1.7829,1.1909,0.2652,0.0953,5.688
439,107.236,1.7775,1.1763,0.2596,0.1107,6.804
440,107.577,1.8278,1.2349,0.2574,0.1062,6.7824
441,107.918,1.7416,1.2594,0.2322,0.1169,6.761
442,108.259,1.5637,1.292,0.2617,0.1023,6.7397
443,108.601,1.7595,1.2105,0.242,0.1131,6.7185
444,108.943,1.7793,1.1877,0.2409,0.1146,6.6974
445,109.285,1.5727,1.1909,0.2909,0.1148,6.6764
446,109.628,1.7326,1.2023,0.2441,0.1026,5.5463
447,109.971,1.7505,1.1877,0.2407,0.1058,6.6348
448,110.314,1.6337,1.1991,0.2765,0.107,6.6141
449,110.658,1.7487,1.1845,0.2484,0.1104,6.5936
450,111.002,1.7865,1.1953,0.2835,0.102,6.5731
451,111.347,1.5709,1.2115,0.2622,0.0944,6.5528
452,111.692,1.7595,1.1926,0.2634,0.0998,6.5325
453,112.037,1.7054,1.1844,0.2381,0.1038,6.5124
454,112.384,1.7577,1.2431,0.2594,0.0994,6.4923
455,112.73,1.7757,1.2056,0.2536,0.111,6.4724
456,113.076,1.7182,1.2284,0.2656,0.1114,6.4526
457,113.423,1.7667,1.2577,0.2291,0.1117,6.4328
458,113.77,1.7092,1.2838,0.2587,0.1169,6.4132
459,114.117,1.7721,1.2851,0.2198,0.0997,6.3937
460,114.465,1.7996,1.2659,0.2594,0.1012,6.3743
461,114.813,1.8216,1.1861,0.2583,0.1155,6.355
462,115.161,1.844,1.2007,0.2579,0.1204,6.3357
463,115.51,1.6553,1.1828,0.2901,0.1058,6.3166
464,115.859,1.7703,1.1975,0.23,0.1032,6.2976
465,116.208,1.5655,1.2241,0.2854,0.1082,6.2787
466,116.558,1.8357,1.2023,0.2365,0.1159,7.3031
467,116.909,1.6697,1.1893,0.2656,0.1107,7.2812
468,117.259,1.7685,1.1909,0.2886,0.1095,6.2224
469,117.61,1.5583,1.1861,0.23,0.1,6.2038
470,117.961,1.7631,1.2781,0.2803,0.1071,6.1854
471,118.312,1.6694,1.2366,0.2532,0.1028,6.167
472,118.664,1.8458,1.1812,0.2497,0.1081,7.1735
473,119.016,1.6481,1.2023,0.267,0.1079,6.1305
474,119.369,1.7739,1.1686,0.2524,0.1121,6.1124
475,119.723,1.941,1.4875,0.2656,0.1159,8.1258
476,120.076,2.1836,1.6504,0.2342,0.1195,8.1019
477,120.431,2.6167,2.1081,0.2555,0.1379,8.078
478,120.786,3.2438,2.3982,0.2454,0.1576,8.0543
479,121.14,3.6643,2.8087,0.2501,0.1694,9.0346
480,121.495,3.8961,3.2402,0.2886,0.1753,8.0073
481,121.85,4.2554,3.4164,0.3346,0.1926,9.9799
482,122.205,4.6238,3.651,0.4409,0.1944,9.9509
483,122.561,5.0888,4.1023,1.0696,0.203,9.922
484,122.918,5.4993,4.42,1.4113,0.2023,9.8932
485,123.274,5.7217,4.6416,1.6849,0.2044,9.8646
486,123.631,5.9248,4.6939,2.106,0.2139,10.8198
487,123.991,5.9208,4.6458,2.2508,0.1908,10.7883
488,124.349,5.8919,4.8044,2.3903,0.1952,11.7352
489,124.708,6.0113,4.8355,2.5114,0.192,9.7512
490,125.066,5.9607,4.8469,2.4729,0.2025,10.6956
491,125.426,5.8641,4.8628,2.5044,0.2127,11.6344
492,125.786,6.0551,4.8355,2.5237,0.2009,10.6344
493,126.146,6.074,4.8562,2.57,0.2029,10.604
494,126.508,6.0104,4.9055,2.6011,0.2027,11.5349
495,126.869,6.0568,4.886,2.5895,0.2009,10.5436
496,127.23,6.0782,4.8485,2.5961,0.1993,10.5137
497,127.592,6.0413,4.886,2.5391,0.2034,11.4369
498,127.954,6.0514,4.8794,2.5635,0.1869,11.4046
499,128.316,6.0603,4.8126,2.7147,0.2106,11.3724
500,128.679,6.0629,4.8892,2.5981,0.1962,11.3403
501,129.042,6.1102,4.8341,2.6734,0.2091,11.3084
502,129.406,6.0457,4.8599,2.6318,0.1837,11.2766
503,129.77,6.1085,4.8322,2.7669,0.216,11.245
504,130.135,6.0792,4.9055,2.6353,0.2014,11.2135
505,130.5,6.0912,4.8304,2.7153,0.2025,11.1821
506,130.866,6.0775,4.8794,2.6823,0.1899,10.2216
507,131.231,6.0155,4.8556,2.6485,0.2001,11.1198
508,131.597,6.1188,4.8192,2.6691,0.1988,11.0889
509,131.963,6.0591,4.8452,2.6812,0.193,11.0581
510,132.329,6.0998,4.8566,2.6508,0.1955,11.0275
511,132.697,6.0448,4.8778,2.7172,0.2085,11.9134
512,133.064,6.0534,4.8745,2.6799,0.1902,10.9666
513,133.432,6.0792,4.8371,2.6891,0.2065,10.9364
514,133.8,6.0381,4.8697,2.6926,0.1906,11.8152
515,134.168,6.0654,4.879,2.7319,0.1915,10.8764
516,134.537,6.0706,4.8974,2.7533,0.1984,10.8465
517,134.906,6.1087,4.8192,2.7721,0.1902,10.8169
518,135.275,6.0413,4.8729,2.7576,0.2198,11.6863
519,135.646,6.0499,4.899,2.7421,0.192,10.7579
520,136.016,6.0858,4.8436,2.8441,0.195,10.7286
521,136.387,6.0517,4.8307,2.7984,0.1944,10.6994
522,136.758,6.0871,4.8209,2.7596,0.2043,10.6704
523,137.129,6.0591,4.844,2.8314,0.2127,10.6415
524,137.501,6.0293,4.8286,2.8371,0.2062,10.6127
525,137.873,6.0947,4.8029,2.7617,0.2077,12.3481
526,138.245,6.0448,4.8957,2.7906,0.2191,11.4353
527,138.618,6.0801,4.8341,2.7914,0.1915,12.2818
528,138.991,6.0172,4.9077,2.7902,0.1999,11.3739
529,139.365,6.043,4.8622,2.8093,0.1977,10.4708
530,139.739,6.074,4.8827,2.7518,0.2021,11.313
531,140.113,6.0763,4.8631,2.83,0.192,12.1507
532,140.488,6.0551,4.879,2.8323,0.1843,12.1183
533,140.863,6.0396,4.8355,2.7978,0.1995,10.3594
534,141.238,6.105,4.8355,2.7548,0.2047,10.3319
535,141.615,6.0947,4.8452,2.8015,0.2212,10.3044
536,141.991,6.0228,4.8501,2.7583,0.2092,10.2771
537,142.367,6.0465,4.8646,2.8036,0.1827,11.1042
538,142.744,6.0499,4.8453,2.7825,0.2016,11.0748
539,143.121,6.0706,4.899,2.7202,0.2046,11.8953
540,143.499,6.0517,4.8664,2.7996,0.1916,11.864
541,143.877,6.1067,4.8436,2.8559,0.1974,10.1424
542,144.256,6.1119,4.8469,2.8431,0.1999,10.9588
543,144.635,6.061,4.8794,2.8087,0.1978,11.7708
544,145.014,5.9617,4.8941,2.7859,0.2057,11.7401
545,145.394,6.0809,4.8362,2.8629,0.1826,10.0366
546,145.774,6.0637,4.8161,2.8308,0.191,10.8446
547,146.154,6.0603,4.8583,2.8187,0.217,11.6485
548,146.535,6.1067,4.8371,2.9091,0.1932,9.9585
549,146.915,6.1224,4.842,2.8226,0.1939,9.9327
550,147.295,5.9625,4.8713,2.8374,0.1966,10.7327
551,147.677,5.9673,4.8957,2.8493,0.1918,11.5284
552,148.059,6.0844,4.8452,2.8512,0.2062,10.6773
553,148.442,6.1119,4.8289,2.8885,0.2081,9.8305
554,148.825,6.1458,4.8258,2.9118,0.1992,11.4394
555,149.209,6.5127,5.2634,2.9976,0.1993,11.41
556,149.594,6.6995,5.4533,3.2905,0.1951,12.1935
557,149.978,7.0633,5.8293,3.6385,0.1894,12.1623
558,150.362,7.4675,6.1105,4.0417,0.211,12.94
559,150.747,7.6997,6.237,4.2871,0.1835,12.9069
560,151.132,7.8903,6.2723,4.4825,0.1933,12.8741
561,151.518,8.0663,6.452,4.7641,0.1935,12.8413
562,151.904,8.2897,6.6522,4.8025,0.2016,13.6092
563,152.29,8.4499,6.9032,5.1164,0.2025,12.7762
564,152.677,8.6517,7.1309,5.3095,0.1903,12.7438
565,153.064,8.889,7.0857,5.4425,0.1839,12.7116
566,153.452,8.8553,7.1998,5.4997,0.204,13.4719
567,153.84,8.7686,7.1414,5.5828,0.1976,13.4379
568,154.228,8.8554,7.197,5.5059,0.1956,14.1926
569,154.617,8.8931,7.1121,5.7106,0.1979,12.5839
570,155.006,8.8989,7.1053,5.504,0.2063,12.5523
571,155.396,8.9439,7.253,5.6701,0.1898,13.3034
572,155.786,8.866,7.2832,5.5249,0.2069,14.0506
573,156.176,8.8997,7.315,5.4995,0.1901,14.0156
574,156.567,8.8997,7.2451,5.5702,0.197,12.4272
575,156.958,8.8943,7.2914,5.6038,0.1834,13.171
576,157.349,8.9241,7.3327,5.5304,0.1922,13.1382
577,157.742,8.9085,7.1493,5.6201,0.197,13.8764
578,158.134,8.9386,7.2681,5.5788,0.1921,12.304
579,158.527,8.9244,7.3167,5.6791,0.1955,13.8077
580,158.92,8.8784,7.2581,5.636,0.2016,13.7736
581,159.313,8.9377,7.1698,5.5413,0.1982,12.213
582,159.707,8.8589,7.32,5.5312,0.1989,13.7057
583,160.101,8.9298,7.2112,5.2673,0.2654,12.9124
584,160.496,8.8997,7.3321,4.625,0.2672,13.6383
585,160.891,8.9241,7.219,4.6662,0.2577,12.849
586,161.286,8.8943,7.1961,4.4359,0.2687,12.8175
587,161.682,8.8873,7.3267,4.5469,0.2579,13.5383
588,162.078,8.9103,7.3266,4.4852,0.2593,13.5052
589,162.476,8.9103,7.2597,4.5124,0.2662,13.4721
590,162.873,8.9227,7.2982,4.5138,0.2429,13.4393
591,163.27,8.8058,7.0896,4.493,0.2796,13.4066
592,163.668,8.8814,7.1562,4.505,0.2675,13.374
593,164.066,8.9085,7.2915,4.4873,0.2526,12.6003
594,164.465,8.905,7.3192,4.5167,0.264,13.3092
595,164.865,8.9368,7.2229,4.4219,0.2709,13.2769
596,165.264,8.9333,7.1309,4.4095,0.2684,13.2448
597,165.664,8.9298,7.2865,4.4821,0.2619,13.2128
598,166.065,8.9262,7.2848,4.3974,0.2555,13.1809
599,166.466,8.9368,7.2377,4.4329,0.2643,13.1492
600,166.867,8.9451,7.2865,4.472,0.2791,13.1176
601,167.268,8.9422,7.2832,4.4443,0.2577,13.0861
602,167.67,8.9234,7.31,4.5766,0.2605,13.78
603,168.072,8.8306,7.3418,4.3829,0.2764,13.7471
604,168.475,8.7846,7.321,4.5454,0.2598,13.7142
605,168.879,8.8979,7.1576,4.4971,0.2619,14.4015
606,169.282,8.8111,7.3006,4.3947,0.2577,13.6488
607,169.687,8.8997,7.0756,4.5136,0.2517,12.8996
608,170.091,8.9014,7.1694,4.4467,0.2508,12.869
609,170.498,8.8997,7.3066,4.5506,0.2583,14.2647
610,170.903,8.8642,7.308,4.5069,0.2541,14.2309
611,171.309,8.8943,7.2263,4.4518,0.2594,13.4873
612,171.715,8.912,7.2581,4.5935,0.2681,12.7472
613,172.122,8.9351,7.1727,4.5376,0.26,13.4236
614,172.529,8.7456,7.1988,4.4934,0.2551,14.0968
615,172.936,8.912,7.0857,4.4266,0.2621,12.6572
616,173.343,8.9032,7.0859,4.4359,0.2589,12.6275
617,173.751,8.9085,7.176,4.4644,0.2535,13.9976
618,174.16,8.8504,7.2784,4.4013,0.2632,13.2665
619,174.569,8.9404,7.2865,4.4752,0.2637,13.932
620,174.979,8.9138,7.2748,4.4235,0.2522,12.5095
621,175.388,8.9103,7.2932,4.3893,0.2507,12.4803
622,175.798,8.8908,7.2631,4.5718,0.2666,13.8346
623,176.208,8.9164,7.2207,4.5132,0.2607,12.4222
624,176.619,8.8837,7.3217,4.5081,0.2808,13.7703
625,177.031,8.7828,7.2463,4.5617,0.2723,12.3645
626,177.443,8.8873,7.1155,4.42,0.2591,13.7064
627,177.855,8.9368,7.2179,4.4886,0.2502,13.6746
628,178.267,8.8394,7.2865,4.3904,0.2671,12.2787
629,178.68,8.7961,7.3073,4.5544,0.2639,13.6115
630,179.093,8.7775,7.2899,4.5073,0.264,12.2221
631,179.507,8.9138,7.3217,4.4914,0.2677,13.5488
632,179.921,8.928,7.2818,4.3901,0.2616,13.5176
633,180.335,8.9156,7.2618,4.5474,0.2568,12.8123
634,180.751,8.8731,7.2447,4.5043,0.2665,13.4555
635,181.167,8.8979,7.2279,4.5027,0.2553,13.4247
636,181.583,8.7263,7.2547,4.4782,0.2563,12.0545
637,181.999,8.8518,7.2932,4.5081,0.2684,13.3633
638,182.416,8.8412,7.2815,4.5004,0.2695,13.3327
639,182.833,8.8217,7.3033,4.4258,0.272,13.3023
640,183.25,8.895,7.3005,4.3932,0.2607,13.2721
641,183.668,8.8961,7.1636,4.519,0.2574,13.2418
642,184.086,8.9014,7.1694,4.5551,0.2585,13.2118
643,184.506,8.9315,7.1794,4.4534,0.2672,13.1817
644,184.925,8.8802,7.1744,4.4262,0.2608,13.1518
645,185.345,8.9315,7.1041,4.4471,0.2627,13.7781
646,185.765,8.9047,7.1936,4.3699,0.2487,13.0924
647,186.185,8.8749,7.3062,4.5454,0.2623,13.716
648,186.606,8.8749,7.234,4.4188,0.2679,13.685
649,187.027,8.8306,7.1777,4.5395,0.2759,13.004
650,187.449,8.9014,7.233,4.3943,0.2539,12.9747
651,187.871,8.9014,7.0706,4.5486,0.2624,12.9456
652,188.293,9.1936,7.4924,4.4388,0.2527,14.2083
653,188.717,10.0029,8.0916,4.9017,0.254,14.8207
654,189.142,10.2986,8.4247,5.4462,0.2561,15.4303
655,189.568,10.6581,8.6356,5.8248,0.2656,14.1127
656,189.993,10.7444,8.7377,6.0626,0.2612,14.7212
657,190.418,10.9927,8.9453,6.0284,0.2658,14.0497
658,190.844,11.3731,9.357,6.3886,0.2477,14.6555
659,191.27,11.9229,9.5508,6.6603,0.2628,15.2587
660,191.697,12.1851,9.9751,6.9116,0.2485,15.2247
661,192.124,12.7329,10.3807,7.2961,0.2695,16.4567
662,192.553,13.0562,10.5843,7.603,0.2576,17.0516
663,192.983,13.1958,10.7574,7.7825,0.2574,16.3835
664,193.413,13.1905,10.9204,7.8496,0.2462,16.3471
665,193.843,13.3286,10.8932,7.8762,0.2633,16.3108
666,194.273,13.4649,10.9577,7.876,0.2574,15.6488
667,194.705,13.4118,10.9628,7.8824,0.274,16.2386
668,195.136,13.3799,11.0629,7.8987,0.2668,16.2027
669,195.568,13.3835,10.9552,7.9218,0.258,16.1669
670,196.0,13.3711,10.9645,7.9418,0.2593,16.1313
671,196.433,13.3735,10.9696,7.9821,0.266,16.0957
672,196.867,13.5163,10.9424,7.9423,0.2764,16.0603
673,197.3,13.3605,10.9933,8.0116,0.2602,16.025
674,197.734,13.3552,10.9696,7.942,0.2623,15.9898
675,198.168,13.3835,10.8918,7.9596,0.2666,16.5685
676,198.603,13.4791,10.9339,7.9897,0.2551,16.5322
677,199.04,13.4065,10.9492,7.9865,0.2487,16.4959
678,199.476,13.5393,10.9543,7.8939,0.2565,16.4598
679,199.912,13.364,10.8932,8.0481,0.2529,15.8156
680,200.348,13.4897,10.9441,7.9965,0.2678,15.7812
681,200.785,13.4464,10.9662,8.0244,0.2517,15.7469
682,201.222,13.3764,10.9679,7.957,0.2597,16.9213
683,201.66,13.4384,10.9611,7.9005,0.2707,16.8846
684,202.098,13.3711,10.8997,7.9318,0.2583,16.848
685,202.537,13.3833,11.0307,7.8612,0.2572,15.6107
686,202.976,13.4012,11.012,7.9297,0.2593,15.5769
687,203.415,13.5198,11.0478,7.9853,0.2531,15.5433
688,203.855,13.5035,10.9645,7.9372,0.2671,16.1063
689,204.295,13.511,10.9967,8.0571,0.2613,16.6668
690,204.736,13.5836,10.9916,7.9998,0.2622,15.443
691,205.177,13.541,11.0476,7.3577,0.3269,16.5952
692,205.619,13.5942,10.995,7.1236,0.3399,15.9681
693,206.061,13.3321,10.9745,7.1244,0.3404,16.524
694,206.504,13.4858,10.9662,7.0203,0.344,16.4885
695,206.947,13.5145,11.1529,7.0794,0.338,16.4532
696,207.39,13.4012,10.9848,7.0581,0.3296,17.0044
697,207.835,13.4154,11.0137,7.0809,0.3485,16.3829
698,208.279,13.4915,10.9933,7.0436,0.3353,16.348
699,208.724,13.3754,10.9848,7.1092,0.3413,16.3131
700,209.169,13.4278,10.9815,7.0916,0.3351,16.8598
701,209.615,13.4129,10.9628,7.0832,0.3574,16.8239
702,210.061,13.4278,10.9441,7.0537,0.3242,16.2093
703,210.508,13.472,11.0324,7.0782,0.3372,16.1749
704,210.955,13.4809,10.9848,7.0879,0.3414,16.7171
705,211.402,13.4596,10.9997,7.0408,0.3221,16.1065
706,211.85,13.5234,10.9865,7.044,0.3452,17.2205
707,212.298,13.3959,10.8553,7.0849,0.3235,16.6113
708,212.747,13.5322,10.9238,7.0448,0.3448,16.0047
709,213.196,13.3518,11.0001,7.0762,0.3393,16.5414
710,213.646,13.5287,11.068,6.9792,0.3252,17.0757
711,214.096,13.474,11.0493,7.0219,0.3424,17.0398
712,214.547,13.3569,10.9034,7.1121,0.3436,17.004
713,214.999,13.3906,11.012,7.1073,0.3464,15.837
714,215.45,13.5322,11.1607,7.0373,0.3367,16.9327
715,215.902,13.8829,11.3921,7.316,0.3383,17.4605
716,216.354,14.5165,11.791,7.5038,0.334,17.9861
717,216.807,15.3297,12.5784,8.0302,0.3164,17.9485
718,217.261,15.9353,13.225,8.4091,0.3365,17.911
719,217.715,16.6383,13.6213,8.8965,0.3301,17.8737
720,218.169,17.0651,14.0107,9.1169,0.3362,17.8365
721,218.625,17.6513,14.4418,9.5786,0.3224,18.9117
722,219.08,17.7522,14.6834,9.6151,0.3279,18.3174
723,219.536,17.9824,14.7422,9.7013,0.3346,17.7254
724,219.993,17.97,14.8152,9.6972,0.3342,19.8997
725,220.449,18.0108,14.8135,9.7207,0.3385,18.7553
726,220.906,18.1082,15.0137,9.6296,0.3321,18.7165
727,221.363,17.9612,14.7269,9.7842,0.3412,18.6778
728,221.821,17.9556,14.917,9.9015,0.3383,18.6392
729,222.279,18.0958,14.909,9.7328,0.3347,18.6008
730,222.738,18.0958,15.0358,9.8488,0.3396,18.5625
731,223.197,18.0409,14.7456,9.836,0.3447,18.5243
732,223.657,18.0462,14.8423,9.7648,0.3402,19.5737
733,224.117,18.1064,14.8949,9.9092,0.3428,19.5335
734,224.579,18.1347,14.7962,9.7793,0.3413,18.4103
735,225.04,18.1241,14.8525,9.7748,0.3343,18.3726
736,225.502,18.1896,14.7829,9.8983,0.3388,18.8743
737,225.965,18.1276,14.8712,9.8149,0.3407,18.2974
738,226.427,17.9812,14.844,9.8032,0.3502,18.7971
739,226.89,17.9771,14.9109,9.3873,0.4154,18.7588
740,227.353,18.1117,14.894,9.0086,0.4182,19.2555
741,227.818,18.0196,14.9713,9.1244,0.4271,18.1486
742,228.282,17.97,14.8881,9.1178,0.441,19.1771
743,228.747,17.9488,14.8932,9.1267,0.4346,19.1381
744,229.212,18.0656,14.9051,9.0988,0.4375,19.0993
745,229.679,18.0249,14.8678,9.0482,0.429,19.0605
746,230.146,17.9559,14.939,8.9398,0.4214,19.0218
747,230.614,18.0533,14.844,9.0895,0.4288,18.9832
748,231.081,18.127,14.8847,9.0733,0.4485,18.9448
749,231.549,18.0167,14.8525,8.9989,0.4355,18.9065
750,232.017,17.9635,14.9933,9.0179,0.4252,18.8684
751,232.486,17.9891,14.8796,9.0948,0.4283,19.8765
752,232.955,18.0009,14.9187,9.0571,0.4269,18.7924
753,233.424,17.9674,14.9272,8.7209,0.5013,18.7547
754,233.894,17.9674,14.8915,8.1808,0.5183,18.717
755,234.364,17.9753,14.8253,8.2167,0.5167,18.6794
756,234.835,17.9083,14.8101,8.1697,0.5326,19.1598
757,235.307,17.8567,14.8898,8.3193,0.5214,18.6046
758,235.78,17.986,14.7761,8.2387,0.5209,18.5673
759,236.252,17.9647,14.8559,8.2622,0.5103,18.5302
760,236.725,17.9523,14.8847,8.1744,0.5166,19.5205
761,237.198,17.9576,14.8202,8.2108,0.5282,18.9689
762,237.672,17.9736,14.9764,8.2244,0.5995,18.4194
763,238.146,17.8868,14.9128,7.4711,0.6045,18.3828
764,238.621,17.8726,14.894,7.3955,0.6132,18.8558
765,239.096,17.9615,15.0256,7.3656,0.618,19.327
766,239.572,17.9556,14.9577,7.3187,0.6192,18.781
767,240.049,17.9045,15.0035,7.3683,0.6025,18.2371
768,240.526,17.947,15.0103,7.3834,0.6153,19.212
769,241.003,17.9098,15.046,7.3979,0.6038,18.1649
770,241.482,17.8956,15.0481,7.314,0.6018,18.6324
771,241.96,17.9871,14.9187,7.305,0.61,19.0982
772,242.438,17.924,15.0103,7.3329,0.5991,19.0605
773,242.917,17.8673,15.0001,7.4316,0.6167,19.0229
774,243.396,17.9169,14.8902,7.3731,0.6253,18.9855
775,243.877,18.0856,14.844,7.8528,0.6103,17.9508
776,244.358,18.0161,14.861,7.4124,0.6251,18.9108
777,244.839,17.9505,14.8847,7.3699,0.5909,17.8803
778,245.32,17.9258,14.9654,7.3573,0.6109,18.8366
779,245.803,17.9381,15.0358,7.3896,0.6258,17.8101
780,246.285,18.0798,15.029,7.3125,0.6213,18.7628
781,246.768,17.9753,15.0613,7.3396,0.6086,18.7261
782,247.251,18.0423,15.0188,7.3372,0.6215,18.6895
783,247.735,17.9824,15.1308,7.3888,0.6112,18.653
784,248.22,17.901,15.1177,7.3916,0.6095,19.1064
785,248.706,17.9505,15.0392,7.4085,0.6067,18.5802
786,249.191,17.9452,15.0018,7.3151,0.5974,18.544
787,249.677,17.9083,14.9984,7.3006,0.6194,19.482
788,250.163,17.8496,15.051,7.4061,0.6062,18.4719
789,250.65,17.9134,14.9992,7.4357,0.6153,19.4064
790,251.138,17.8744,15.0103,7.4317,0.6087,18.4002
791,251.626,18.2994,14.1516,9.5713,0.6111,17.8813
792,252.114,19.8219,12.1219,13.654,0.599,17.3643
793,252.604,21.4569,12.2305,15.5074,0.6136,18.2934
794,253.094,20.8704,14.8457,14.2933,0.6105,18.7385
795,253.585,19.8117,14.2195,13.2054,0.6073,17.7431
796,254.076,20.021,14.0328,13.3546,0.6012,18.1875
797,254.568,19.9959,13.8801,13.3753,0.6185,19.1077
798,255.06,19.9086,13.8631,13.5003,0.6221,18.5941
799,255.553,19.9144,13.9904,13.2009,0.6071,18.5582
800,256.048,19.9304,13.9446,13.3089,0.6171,18.0474
801,256.542,19.8613,13.8507,13.353,0.6244,18.0126
802,257.036,19.8985,14.0837,13.139,0.6007,17.978
803,257.532,19.8002,14.0633,13.2086,0.6167,18.4156
804,258.027,19.7887,14.2178,13.0382,0.617,18.8515
805,258.525,18.7811,15.2649,9.1761,0.6042,18.8152
806,259.02,18.1625,15.046,7.6844,0.5992,18.7793
807,259.516,17.9417,14.8491,7.4986,0.6158,19.212
808,260.013,17.9275,14.9509,7.375,0.6063,19.1752
809,260.51,17.9204,14.9805,7.3302,0.6035,18.6719
810,261.007,17.9665,14.9526,7.4099,0.608,18.6363
811,261.506,17.9275,14.8321,7.3203,0.6154,18.6007
812,262.004,17.8903,14.9015,7.3758,0.6093,18.5654
813,262.503,17.9452,14.9832,7.2821,0.6096,18.5301
814,263.003,17.9275,15.0001,7.3463,0.61,18.4949
815,263.503,17.8689,14.8966,7.3758,0.6023,18.9213
816,264.003,17.9576,14.9222,7.4211,0.6022,19.3461
817,264.504,17.924,14.9373,7.3295,0.6151,18.3899
818,265.006,18.032,15.0748,7.3274,0.6003,18.814
819,265.508,17.9635,14.9424,7.3542,0.601,18.7784
820,266.01,17.7912,14.8263,7.3451,0.6089,18.2858
821,266.513,17.9559,14.9696,7.3473,0.6134,18.7076
822,267.016,17.986,15.0035,7.325,0.5995,19.1278
823,267.521,18.0302,14.9883,7.3672,0.6086,18.6371
824,268.025,17.8472,14.9407,7.2853,0.6083,18.1483
825,268.53,17.9647,14.9823,7.2979,0.5973,19.0199
826,269.035,17.9169,14.939,7.3664,0.621,18.0802
827,269.542,17.8443,14.9272,7.3329,0.6027,18.0462
828,270.048,17.8177,14.8593,7.3585,0.6008,18.4627
829,270.556,17.9027,14.9577,7.3613,0.626,18.8775
830,271.064,18.0125,14.9221,7.3455,0.6023,18.8421
831,271.572,17.8629,15.0392,7.3597,0.6048,18.3591
832,272.08,17.8531,15.0154,7.388,0.6177,18.7718
833,272.589,17.9339,14.9798,7.3676,0.597,18.7367
834,273.098,17.8903,14.9278,7.3593,0.6101,18.7018
835,273.608,17.7912,15.0293,7.2841,0.6115,18.6669
836,274.118,17.8602,14.8677,7.3203,0.6042,18.6322
837,274.629,17.8071,14.9541,7.3424,0.6186,18.5975
838,275.14,17.8832,15.0406,7.303,0.6127,19.4469
839,275.653,17.8956,15.0613,7.2739,0.6078,18.5284
840,276.165,17.97,14.8451,7.4034,0.6195,18.4941
841,276.678,17.9435,14.9786,7.3742,0.6095,19.3388
842,277.191,17.9399,14.8977,7.2558,0.6101,18.4256
843,277.705,17.8797,14.9917,7.3479,0.6181,19.2673
844,278.219,17.8939,15.0443,7.3211,0.6094,18.7946
845,278.735,17.9812,14.8966,7.3176,0.5997,18.3236
846,279.25,18.0521,14.939,7.3483,0.6099,18.2898
847,279.767,17.9541,14.8898,7.3148,0.6178,19.1253
848,280.284,17.9328,14.917,7.3156,0.5949,19.09
849,280.801,17.8549,14.9611,7.2546,0.6065,19.0549
850,281.319,17.9665,14.9407,7.2551,0.6112,19.0198
851,281.837,17.8903,14.8902,7.3345,0.6308,18.1219
852,282.355,17.993,15.0462,7.266,0.6187,18.5193
853,282.874,17.9792,14.973,7.3042,0.6192,18.9152
854,283.394,17.8815,15.0069,7.1955,0.6228,18.8805
855,283.914,17.8514,14.8864,7.131,0.6086,18.8459
856,284.434,17.908,14.8746,7.0747,0.6022,18.8115
857,284.955,17.908,14.7925,7.144,0.6,19.2039
858,285.476,17.8432,14.8898,7.2062,0.6032,18.7428
859,285.999,17.885,14.9102,7.1547,0.612,18.7086
860,286.521,17.7805,14.7982,7.1647,0.6033,18.6745
861,287.044,17.8602,14.6966,7.1186,0.6169,18.6404
862,287.569,17.8058,14.8593,7.1407,0.6222,18.6064
863,288.093,17.8124,14.8932,7.2046,0.6026,18.9947
864,288.618,17.8053,14.8576,7.096,0.6039,18.5388
865,289.143,17.6521,14.9509,7.1743,0.6127,18.9257
866,289.67,17.8319,14.9221,7.2266,0.5966,19.3111
867,290.196,17.7947,14.9136,7.1229,0.6088,18.438
868,290.723,17.8826,14.8762,7.1329,0.5968,18.4046
869,291.25,17.839,15.0646,7.1955,0.6113,19.2063
870,291.778,17.8868,14.9598,7.1735,0.5998,18.7548
871,292.306,17.8728,14.7252,7.1547,0.6009,18.3049
872,292.835,17.8956,14.8746,7.1855,0.6148,18.6871
873,293.364,17.9435,14.8451,7.1679,0.6034,19.0679
874,293.894,17.7929,14.8796,7.2491,0.5989,18.6198
875,294.424,17.8744,15.018,7.1853,0.6272,18.9993
876,294.956,18.7669,15.5483,7.597,0.6058,18.965
877,295.487,19.2486,16.054,7.9168,0.6142,19.754
878,296.019,20.4151,17.0298,8.5271,0.5992,20.5401
879,296.552,21.3116,17.8343,9.0331,0.6051,21.3233
880,297.085,22.6559,18.822,9.7749,0.5916,21.6944
881,297.619,23.9963,19.9929,10.4497,0.5999,22.0641
882,298.155,24.7206,20.5954,10.6973,0.6193,22.0244
883,298.691,24.7365,20.5448,10.6981,0.6234,21.9849
884,299.228,24.8605,20.6429,10.8138,0.6033,21.9454
885,299.765,24.7507,20.5547,10.9304,0.5969,22.7174
886,300.303,24.9047,20.6565,10.8768,0.6115,22.2718
887,300.841,24.8317,20.6429,11.0283,0.6187,21.8277
888,301.379,24.8215,20.5636,10.9109,0.6143,21.7888
889,301.918,24.8569,20.5423,10.8968,0.6191,22.5554
890,302.457,24.9026,20.6141,10.9235,0.6071,21.7111
891,302.997,24.7949,20.6497,10.8575,0.6133,21.6724
