,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g ()
,7.212776,36.52,31.9373,4.5827,990.8315,24.1444,903.1563,130.2076904,0.2982,0,2.6919,42.9735503252,93.7111652599,0.80272458,2.1806707742,0.0085659439
,7.44621,36.5604,32.0454,4.515,990.8315,24.0612,905.683,129.8487472,0.2923,0,2.6842,42.1168894306,93.9733347219,0.78459166,2.2312505979,0.0083490882
,7.680292,36.6078,32.0717,4.5361,989.9683,24.1645,906.198,130.5246792,0.2814,0,2.6987,42.5194961223,93.9448559865,0.75941418,2.2094536519,0.0080836164
,7.933693,36.5119,31.9232,4.5887,989.9683,23.8423,903.1723,128.7625944,0.3042,0,2.6609,42.4980831134,93.6311839736,0.80944578,2.2031860525,0.0086450448
,8.162939,36.525,31.9434,4.5816,989.9683,24.1472,903.8161,129.6203288,0.2877,0,2.6793,42.966979705,93.6979262289,0.77083461,2.1806961269,0.0082268054
,8.396455,36.4311,31.8586,4.5725,990.9624,24.0288,901.6113,130.81836,0.2904,0,2.705,42.6611852282,93.5632157503,0.785532,2.1931696283,0.0083957354
,8.625894,36.5301,31.9646,4.5655,990.9624,24.065,904.653,134.454408,0.2921,0,2.783,42.6521788542,93.8788631178,0.8129143,2.201033233,0.0086591835
,8.85584,36.6068,32.008,4.5988,990.9624,24.2203,905.184,132.5571368,0.3071,0,2.7423,43.2782650395,93.9339667612,0.84216033,2.1704651671,0.0089654505
,9.092838,36.3463,31.8242,4.5221,995.5928,24.128,901.9976,132.0163912,0.2928,0,2.7307,42.3083345255,94.0406769346,0.79954896,2.222745896,0.0085021608
,9.322203,36.5856,32.01,4.5756,995.5928,24.0936,904.4921,130.2309984,0.2759,0,2.6924,42.8087219761,94.3007490996,0.74283316,2.2028396258,0.0078772774
,9.555555,36.6846,32.1474,4.5372,990.2821,24.1568,906.8417,131.0234704,0.2887,0,2.7094,42.5175061264,94.0413876536,0.78220378,2.2118274617,0.0083176546
,9.785034,36.5634,31.9777,4.5857,990.2821,23.8816,904.7657,132.4219504,0.2865,0,2.7394,42.5369691194,93.8261020963,0.7848381,2.2057542895,0.0083648162
,10.01491,36.4937,31.9555,4.5382,990.2821,24.0631,904.4438,128.9210888,0.2763,0,2.6643,42.3630554106,93.7927203907,0.73614609,2.2140216158,0.0078486485
,10.243829,36.5684,31.9969,4.5715,990.2036,24.1433,904.2667,130.11912,0.2778,0,2.69,42.8539685535,93.7669212238,0.747282,2.1880568916,0.0079695695
,10.473053,36.4584,31.8626,4.5958,990.2036,24.2686,903.269,128.9443968,0.3013,0.0218,2.6648,43.3329004138,93.6634658414,0.80290424,2.1614861906,0.0085722243
,10.706574,36.6199,32.0777,4.5422,993.3775,23.9079,906.375,129.0329672,0.2982,0.2586,2.6667,42.1314249762,94.286790914,0.79520994,2.2379207674,0.0084339485
,10.960398,36.426,31.8374,4.5886,993.3775,24.1741,902.1586,129.1914616,0.3323,0.4772,2.6701,43.0884536953,93.8481746401,0.88727423,2.1780353341,0.0094543579
,11.190467,36.4594,31.8656,4.5938,993.3775,24.0821,903.0758,131.8812048,0.3173,0.6946,2.7278,42.9789435271,93.9435875152,0.86553094,2.1858049502,0.0092133052
,11.419279,36.5745,32.007,4.5675,995.0909,23.8573,904.8784,129.41988,0.311,0.9132,2.675,42.304812245,94.2934646918,0.831925,2.228906351,0.0088227217
,11.648688,36.4584,31.8505,4.6079,995.0909,24.2241,901.9976,132.2215016,0.3076,1.1302,2.7351,43.3809443884,93.9932689825,0.84131676,2.1666948543,0.0089508192
,11.878039,36.5694,31.9787,4.5907,995.0909,24.2531,904.7978,132.8275096,0.3238,1.3503,2.7481,43.2514198403,94.2850657144,0.88983478,2.1799299552,0.0094377065
,12.107405,36.627,32.0696,4.5574,1002.2718,24.2946,906.4716,132.6736768,0.3364,1.5669,2.7448,42.9735155085,95.1411355807,0.92335072,2.2139481598,0.0097050631
,12.337339,36.5704,31.9404,4.63,1002.2718,24.3035,903.9449,130.7530976,0.3641,1.7911,2.7036,43.7567725784,94.8759390679,0.98438076,2.1682572429,0.0103754521
,12.574215,36.7371,32.1433,4.5938,1017.501,24.065,907.2119,129.41988,0.4344,2.0049,2.675,42.9484254272,96.6656555424,1.16202,2.2507380557,0.0120210223
,12.807709,36.5088,31.7536,4.7552,1017.501,24.2783,901.0319,130.072504,0.6791,2.2282,2.689,45.0336214574,96.0071613678,1.8260999,2.1318996399,0.0190204551
,13.037011,36.4089,31.6364,4.7725,1017.501,24.0802,899.6801,130.3195688,0.6571,2.4416,2.6943,44.8473794903,95.8631237585,1.77042453,2.1375412532,0.0184682541
,13.266459,36.3826,31.6132,4.7694,1088.5656,24.1299,898.7144,136.039352,0.7024,2.6642,2.817,44.9074030729,102.4483395385,1.9786608,2.2813240697,0.019313742
,13.496485,36.5351,31.7061,4.829,1088.5656,24.0479,900.2916,132.3986424,0.8105,2.8764,2.7389,45.3782494846,102.6281313847,2.21987845,2.2616150369,0.0216303115
,13.725131,36.5785,31.6647,4.9138,1136.6391,24.1568,899.4708,133.1911144,1.0296,3.1009,2.7559,46.4748223261,107.0627213497,2.83747464,2.3036714503,0.0265029191
,13.958657,36.4331,31.4395,4.9936,1136.6391,24.2049,895.4153,135.340112,1.3347,3.3175,2.802,47.4075698137,106.5800009918,3.7398294,2.2481641943,0.0350894104
,14.192129,36.5846,31.5475,5.0371,1257.5452,24.0326,897.5718,132.9673576,1.6173,3.5401,2.7511,47.5248523451,118.2010734872,4.44935403,2.4871423614,0.0376422472
,14.421317,36.6139,31.5041,5.1098,1257.5452,23.8348,896.735,136.5800976,1.7312,3.7563,2.8286,47.8874490295,118.0908754415,4.89687232,2.4660088987,0.041466983
,14.651503,36.7037,31.5688,5.1349,1355.1604,24.1204,897.8294,133.8484,2.0124,3.976,2.77,48.7246130017,127.4128242379,5.574348,2.6149581575,0.0437502899
,14.880056,36.9239,31.7162,5.2077,1355.1604,23.8666,900.4044,135.9041656,2.1076,4.191,2.8141,48.9677153956,127.7782478054,5.93099716,2.6094386224,0.0464163288
,15.113642,36.8532,31.5869,5.2663,1427.9187,23.861,898.4248,132.8275096,2.3388,4.4128,2.7481,49.5644549659,134.3426250834,6.42725628,2.7104630763,0.047842271
,15.343051,37.0037,31.6475,5.3562,1503.9704,24.0479,899.503,134.6828264,2.4544,4.6326,2.7879,50.8930980619,141.6675954141,6.84262176,2.7836308028,0.0483005428
,15.576467,36.7613,31.3011,5.4602,1503.9704,24.1395,893.8704,134.7480888,2.8267,4.8515,2.7893,52.1790034521,140.7804867575,7.88451431,2.6980294265,0.0560057327
,15.810557,36.8865,31.3456,5.5409,1605.1707,23.9531,893.9991,135.1350016,3.135,5.0749,2.7976,52.6169341459,150.2750644151,8.770476,2.8560209152,0.0583628164
,16.043382,36.9067,31.3254,5.5813,1605.1707,24.1108,894.3209,133.2144224,3.2879,5.2875,2.7564,53.3870633775,150.329156769,9.06276756,2.8158349094,0.0602861597
,16.27258,36.9239,31.3112,5.6127,1671.123,24.2261,893.7094,134.9531992,3.3693,5.5112,2.7937,53.9732631191,156.3987795934,9.41281341,2.8977084311,0.0601846986
