,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
0,0.201,39.8988,33.2653,59.7386,13.8904,1.1867,3369.7263,27.8489,0.0,6.633499999999998
1,0.448,39.7181,33.0694,59.7547,13.8923,1.1218,3406.9228,28.0442,0.0,6.648699999999998
2,0.699,39.8605,33.3107,60.6077,13.8107,1.1489,3407.0002,27.3559,0.0,6.549800000000005
3,0.946,39.7514,33.1734,59.7225,13.8485,1.085,3403.8303,27.9443,0.0,6.577999999999996
4,1.193,39.8383,33.2481,59.7708,13.8362,1.0985,3399.8957,28.0203,0.0,6.590199999999996
5,1.441,39.914,33.3208,59.4489,13.7989,1.1107,3402.132,27.9597,0.0,6.593200000000003
6,1.688,39.9039,33.2471,59.5938,13.8942,1.1286,3413.28,28.1741,0.0,6.656799999999997
7,1.935,39.7393,33.137,59.111,13.854,1.1136,3407.7741,27.6665,0.0,6.6023
8,2.182,40.0049,33.4107,59.7869,13.8324,1.0458,3402.0549,27.7536,0.0,6.594200000000001
9,2.428,39.7009,33.1047,59.9317,13.8519,1.1402,3413.5905,27.9154,0.0,6.596199999999996
10,2.676,39.9029,33.2935,59.0788,13.8408,0.9746,3404.7575,27.8917,0.0,6.609400000000001
11,2.923,39.7282,33.0522,59.3363,13.8851,1.0545,3405.6853,28.2573,0.0,6.676000000000002
12,3.17,39.7878,33.1936,59.5938,13.8167,1.0743,3409.6333,27.7277,0.0,6.594199999999994
13,3.416,39.8019,33.2027,59.5294,13.8239,1.0559,3408.1613,27.5799,0.0,6.599200000000003
14,3.663,39.8787,33.2602,59.127,13.8458,1.1014,3409.4008,27.647,0.0,6.6185000000000045
15,3.909,40.015,33.3683,59.9478,13.8105,1.1199,3401.5148,27.4411,0.0,6.646700000000003
16,4.155,39.9332,33.2733,59.2236,13.8461,1.0855,3408.3164,27.7422,0.0,6.6599
17,4.402,39.8423,33.2138,60.0766,13.8456,1.039,3405.2214,27.5843,0.0,6.6285000000000025
18,4.649,39.8544,33.2461,59.8352,13.8555,1.1111,3404.5256,27.6652,0.0,6.6083
19,4.902,39.9211,33.2966,60.6559,13.8389,1.0869,3404.7575,27.8943,0.0,6.624500000000005
20,5.154,39.9544,33.3178,59.7708,13.8646,1.1528,3404.9121,27.7327,0.0,6.636600000000001
21,5.4,39.7262,33.1249,58.8535,13.8117,1.0729,3404.7575,27.664,0.0,6.601300000000002
22,5.647,39.8787,33.2885,59.7708,13.881,1.0399,3402.6721,27.9161,0.0,6.590200000000003
23,5.893,39.7777,33.1986,59.1914,13.8933,1.0879,3411.029,27.8502,0.0,6.579100000000004
24,6.139,39.7534,33.1542,59.4167,13.8266,1.0375,3407.6967,27.5893,0.0,6.599199999999996
25,6.386,39.8655,33.2491,60.3984,13.901,1.1446,3402.9809,28.0183,0.0,6.616399999999999
26,6.633,39.9604,33.3693,59.9317,13.8535,1.0947,3404.1394,27.6288,0.0,6.591099999999997
