,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
0,0.0,35.7636,29.9338,7.885,7.5956,2.2098,2435.5788,27.1156,0.0,5.829799999999995
1,0.688,35.806,29.9773,7.885,7.5185,2.1643,2468.9731,26.806,0.0,5.828699999999998
2,0.933,35.8444,30.054,7.885,7.5609,2.1977,2458.4924,26.7123,0.0,5.790400000000002
3,1.178,35.8777,30.0156,7.885,7.5602,2.1754,2459.5925,26.7129,0.0,5.862099999999998
4,1.422,35.7686,29.9308,7.885,7.574,2.1667,2464.2275,26.3534,0.0,5.837799999999998
5,1.667,35.9191,30.0045,7.885,7.4419,2.1551,2461.3164,27.0926,0.0,5.9146
6,1.912,35.7979,29.9258,7.885,7.5985,2.1972,2456.7207,26.9264,0.0,5.8721
7,2.157,35.8313,29.9954,7.885,7.5628,2.1909,2471.4545,26.8539,0.0,5.835899999999999
8,2.402,35.8535,30.0277,7.885,7.5391,2.2224,2465.8073,26.6042,0.0,5.825799999999997
9,2.647,35.8121,29.9662,7.885,7.5766,2.2171,2458.0895,27.2096,0.0,5.8459
10,2.891,35.7697,29.951,7.885,7.6225,2.2123,2460.1052,26.5016,0.0,5.8187
11,3.136,35.7838,29.9187,7.885,7.567,2.1657,2470.071,26.7558,0.0,5.865099999999998
12,3.381,35.6869,29.8066,7.885,7.565,2.1672,2465.402,26.9306,0.0,5.880300000000002
13,3.625,35.7939,29.8965,7.885,7.6312,2.1347,2466.3713,26.5421,0.0,5.897400000000001
14,3.871,35.8898,30.0328,7.885,7.5956,2.1652,2469.9082,26.374,0.0,5.856999999999999
15,4.115,35.8605,29.951,7.885,7.6559,2.1614,2464.997,26.867,0.0,5.909500000000001
16,4.359,35.8161,29.9611,7.885,7.6023,2.1546,2472.4323,27.0721,0.0,5.855
17,4.604,35.8222,29.9914,7.885,7.6431,2.1749,2471.3325,26.5421,0.0,5.8308000000000035
18,4.849,35.9151,30.152,7.885,7.5762,2.1468,2468.4045,26.7617,0.0,5.763100000000001
19,5.094,35.8615,30.0368,7.885,7.5861,2.1328,2463.2563,26.9659,0.0,5.8247
20,5.339,35.7283,29.9278,7.885,7.6002,2.1754,2462.1687,26.994,0.0,5.800499999999996
21,5.584,35.8929,30.0429,7.885,7.556,2.1299,2464.5109,26.5996,0.0,5.849999999999998
22,5.829,35.81,29.9278,7.885,7.6225,2.1555,2468.77,27.2102,0.0,5.882200000000001
23,6.073,35.7727,29.9773,7.885,7.567,2.1764,2475.656,26.6054,0.0,5.795400000000001
24,6.317,35.8434,29.9975,7.885,7.5163,2.1429,2466.2939,26.8338,0.0,5.845900000000004
25,6.562,35.802,29.9439,7.885,7.5352,2.157,2465.1997,26.7094,0.0,5.8581
26,6.807,35.8434,30.0358,7.885,7.5827,2.1623,2462.7709,26.6403,0.0,5.807600000000004
27,7.052,35.8383,30.0247,7.885,7.6234,2.1914,2463.6608,26.8693,0.0,5.813599999999997
28,7.297,35.8747,29.9954,7.885,7.5953,2.1851,2465.2902,26.6742,0.0,5.879299999999997
29,7.542,35.8888,30.051,7.885,7.5788,2.1953,2466.4562,26.6983,0.0,5.837800000000005
30,7.787,35.8191,29.9762,7.885,7.5597,2.189,2467.3081,26.5984,0.0,5.8429
31,8.032,35.6929,29.8379,7.885,7.59,2.1672,2468.2419,26.8723,0.0,5.855
32,8.278,35.805,29.9692,7.885,7.6101,2.2171,2470.5998,26.7729,0.0,5.835799999999999
33,8.522,35.7182,29.8904,7.885,7.6096,2.1706,2468.2419,26.8723,0.0,5.827800000000003
34,8.767,35.7868,29.9773,7.885,7.5369,2.1148,2468.8107,26.6188,0.0,5.8095
35,9.011,35.8393,30.0671,7.885,7.5558,2.1866,2465.4445,26.4261,0.0,5.7722000000000016
36,9.256,35.7555,29.9268,7.885,7.5968,2.1221,2458.5729,27.1713,0.0,5.828699999999998
37,9.5,35.7787,29.9429,7.885,7.6862,2.1308,2478.2329,26.7912,0.0,5.835799999999999
38,9.744,35.9545,30.0853,7.885,7.5919,2.1667,2480.8969,26.6398,0.0,5.869200000000003
39,9.988,35.7606,29.9116,7.885,7.6607,2.1347,2469.7048,26.7153,0.0,5.848999999999997
40,10.233,35.8383,29.9641,7.885,7.6404,2.2695,2477.4143,26.7758,0.0,5.874199999999998
41,10.479,35.699,29.8086,7.885,7.6704,2.2152,2477.4667,26.7882,0.0,5.8904
42,10.725,35.7313,29.9106,7.885,7.5619,2.1488,2479.134,27.012,0.0,5.820699999999999
43,10.971,35.8353,30.0126,7.885,7.5192,2.1473,2466.7807,26.4699,0.0,5.8226999999999975
44,11.217,35.8898,30.0591,7.885,7.5982,2.2021,2463.1755,26.8142,0.0,5.8307
45,11.462,35.8383,29.9843,7.885,7.5631,2.1303,2469.1552,26.9145,0.0,5.853999999999996
46,11.707,35.7202,29.8753,7.885,7.5878,2.1255,2464.3896,27.0276,0.0,5.844899999999999
47,11.953,35.8262,30.0015,7.885,7.5929,2.1095,2471.414,27.3123,0.0,5.8247
48,12.199,35.7757,29.8894,7.885,7.6976,2.1153,2474.3901,26.9306,0.0,5.886300000000002
49,12.445,35.7454,29.9146,7.885,7.6084,2.1987,2483.4045,27.1658,0.0,5.830799999999996
50,12.69,35.7626,29.9348,7.885,7.606,2.1871,2476.7187,26.813,0.0,5.8278
51,12.936,35.7272,29.9086,7.885,7.6098,2.1686,2468.0795,26.5804,0.0,5.8186000000000035
52,13.182,35.7616,29.9066,7.885,7.6091,2.1614,2473.4516,26.9318,0.0,5.855
53,13.429,35.804,30.0217,7.885,7.5439,2.1531,2473.1875,26.5022,0.0,5.782300000000003
54,13.675,35.7353,29.8692,7.885,7.5587,2.1294,2463.7014,26.8349,0.0,5.866100000000003
55,13.921,35.8686,30.0803,7.885,7.557,2.1652,2467.9169,26.6561,0.0,5.7883
56,14.166,35.7868,29.9611,7.885,7.5672,2.1783,2462.8923,26.9473,0.0,5.825700000000001
57,14.412,35.7131,29.9136,7.885,7.604,2.1904,2466.4968,26.97,0.3709,5.799499999999998
58,14.657,35.7505,29.9298,7.885,7.5798,2.1633,2468.0332,26.793,0.7609,5.820700000000002
59,14.903,35.7767,29.8773,7.885,7.7022,2.1362,2478.1508,27.1859,1.1504,5.899399999999996
60,15.149,35.8626,29.9662,7.885,7.7756,2.1817,2496.5048,26.5844,1.5403,5.8964
61,15.395,35.9565,29.9035,7.885,7.9174,2.1778,2517.2209,26.2953,1.9311,6.052999999999997
62,15.64,36.01,29.7743,7.885,8.3961,2.1308,2568.7026,26.0967,2.3171,6.235699999999998
63,15.885,36.1908,29.7177,7.885,8.9406,2.2186,2670.2053,26.3523,2.7066,6.473100000000002
64,16.13,36.2392,29.4572,7.885,9.714,2.2229,2790.4042,26.6054,3.095,6.7819999999999965
65,16.376,36.5311,29.4027,7.885,10.3611,2.1948,3031.4665,26.2805,3.4857,7.128400000000003
66,16.623,36.7512,29.3825,7.885,10.7991,2.1953,3146.7651,26.3095,3.8773,7.368699999999997
