,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,0.0,30.0,8.2621,6.6082,28.9701,5.0343,0.3341,1350.0,12.1605,3.0
1,0.47,30.0,8.3911,6.836,16.9733,4.8355,0.5172,1350.0,12.1605,3.0
2,0.94,30.0,8.3689,6.836,9.1531,5.0229,0.7118,1350.0,12.1605,3.0
3,1.409,30.0,8.38,6.7749,8.6199,5.0394,0.4799,1350.0,12.7685,3.0
4,1.878,30.0,8.3633,6.9526,16.4401,4.8418,0.2399,1500.0,12.7685,3.0
5,2.348,30.0,8.3578,6.8415,26.8373,4.9393,0.5172,1500.0,12.1605,3.0
6,2.818,30.0,8.2356,6.836,9.4197,4.529,0.4372,1350.0,12.1605,3.0
7,3.287,30.0,8.2245,6.7804,5.1542,4.5353,0.6958,1350.0,12.1605,3.0
8,3.756,30.0,8.1967,6.836,13.5964,4.5226,0.5838,1500.0,12.1605,3.0
9,4.226,30.0,8.3022,6.9304,26.0375,4.6392,0.4905,1350.0,12.1605,3.0
10,4.696,30.0,8.4577,6.8859,25.3266,5.1952,0.4559,1350.0,12.7685,3.0
11,5.166,30.0,8.4689,6.9804,26.7484,4.5885,0.5225,1350.0,13.3766,3.0
12,5.636,30.0,8.43,7.0303,29.8587,5.0065,0.8851,1350.0,12.1605,3.0
13,6.106,30.0,8.23,6.786,31.0139,4.7379,0.2586,1500.0,12.7685,3.0
14,6.576,30.0,8.4744,7.097,21.8608,4.9153,0.5145,1500.0,13.3766,3.0
15,7.046,30.0,8.2967,6.836,16.0846,5.1686,0.2426,1500.0,12.7685,3.0
16,7.516,30.0,8.3189,6.7915,11.3747,4.529,0.5225,1350.0,12.7685,0.0
17,9.765,30.0,8.2682,6.7971,20.0835,5.0356,0.6558,1500.0,12.1605,0.0
18,10.235,30.0,8.1867,6.7082,12.0857,5.0396,0.9491,1350.0,12.1605,0.0
19,10.706,30.0,8.38,6.8693,3.9101,4.8449,0.5625,1350.0,12.1605,0.0
20,11.176,30.0,8.28,6.8415,4.1651,4.6251,0.5678,1500.0,12.1605,0.0
21,11.645,30.0,8.3365,6.8748,26.6596,4.8714,0.4879,1350.0,13.3766,0.0
22,12.115,30.0,8.4355,6.8804,33.1506,5.1547,0.3999,1350.0,12.1605,0.0
23,12.585,30.0,8.3189,6.8137,24.6157,4.7671,0.5652,1500.0,12.1605,0.0
24,13.056,30.0,8.38,6.8582,14.485,4.9444,0.5625,1350.0,12.1605,0.0
25,13.527,30.0,8.3911,6.9359,12.2634,4.7278,0.6665,1350.0,13.3766,0.0
26,13.998,30.0,8.2578,6.8249,7.8201,4.515,0.2773,1350.0,12.1605,0.0
27,14.468,30.0,8.38,6.9415,11.7302,5.033,1.1544,1500.0,12.7685,0.0
28,14.939,30.0,8.4133,6.8859,16.0846,5.1065,0.2986,1350.0,12.7685,0.0
29,15.41,30.0,8.3522,6.7971,24.0825,4.9254,0.5758,1350.0,13.3766,0.0
30,15.881,30.0,8.4577,6.8859,26.2152,4.6696,0.4372,1350.0,12.1605,0.0
31,16.351,30.0,8.18,6.7971,25.2377,5.0571,0.6372,1350.0,12.1605,0.0
32,16.821,30.0,8.2467,6.8249,27.6371,4.9707,0.5599,1350.0,12.1605,0.0
33,17.291,30.0,8.2189,6.9415,25.682,4.6379,0.9651,1350.0,12.1605,0.0
34,17.761,30.0,8.2911,6.9248,8.7088,5.1787,0.3172,1350.0,12.7685,0.0
35,18.23,30.0,8.23,6.8748,9.5086,4.6392,0.6132,1500.0,13.3766,0.0
36,18.699,30.0,8.3744,6.8526,23.3715,5.09,0.3332,1350.0,12.7685,0.0
37,19.169,30.0,8.4355,6.8859,28.5257,4.8118,0.6299,1350.0,12.1605,0.0
38,19.639,30.0,8.2411,6.8304,27.5482,4.5809,0.4719,1500.0,12.1605,0.0
39,20.109,30.0,8.3578,6.9026,14.2184,4.6531,0.4719,1350.0,12.7685,0.0
40,20.579,30.0,8.4689,7.0914,5.6874,5.1389,0.5151,1350.0,13.3766,0.0
41,21.048,30.0,8.9076,7.3691,12.0857,5.0077,0.6931,1500.0,13.3766,0.0
42,21.518,30.0,9.4908,7.8912,16.9733,5.5692,1.0991,1500.0,13.3766,0.0
43,21.988,30.0,10.9015,9.0076,28.0814,6.0412,0.3492,1800.0,14.5926,0.0
