,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
0,31.198280913043476,41.21890434782609,35.50256956521739,5.716334782608694,2779.1039956521736,25.641391304347824,90.32060866086955,90.32060866086955,9.025595652173914,0.11286956521739135,6.391799999999993,3245.614000000001,41.10090000000002,25.914410090262813,2702.5367665822646,0.0,1.7506999999999997,0.0,1.716247826086957,58.28348828106212,26.285803106088384,15.48998648956522,0.45130728131643055,0.5892843071122764,9.216472510347584,41.20686255410308,35.496027164937956,0.0,1.8882705336629069
1,47.877437173913044,41.45084347826087,35.440226086956514,6.010617391304348,3137.5639260869566,25.794069565217395,76.35871130434779,76.35871130434779,11.027252173913043,0.11404347826086958,6.391799999999993,3245.614000000001,41.10090000000002,25.760096547277602,3047.0878379477754,0.0,1.7506999999999997,0.0,1.4167391304347827,61.9345116827959,25.088722902817594,15.623376020434785,0.405310399152431,0.6226558720774508,11.231146744427312,41.447791963678725,35.466768603618576,0.0,1.5806067577471838
2,60.34672569565218,41.51807826086957,35.21292173913044,6.305156521739133,3463.537513043478,25.52654782608696,64.11836309565211,64.11836309565211,12.929395652173913,0.11265217391304348,6.391799999999993,3245.614000000001,41.10090000000002,25.716776216853923,3378.89559036893,0.0,1.7506999999999997,0.0,1.1541608695652175,64.55692024088539,23.25567099768638,14.922641281304346,0.3604599246989387,0.6416095521484424,13.107021136980094,41.53811151956966,35.24316962372088,0.0,1.3162069660732643
3,72.88415621739128,41.81811739130435,35.18229130434782,6.635826086956524,3800.3574,25.56172608695652,51.259643513043436,51.259643513043436,14.877165217391305,0.11539130434782612,6.391799999999993,3245.614000000001,41.10090000000002,25.698409933344614,3715.0320116512275,0.0,1.7506999999999997,0.0,0.8783173913043478,68.32939781275245,20.399778932286132,13.066938156086955,0.29884700631876476,0.640411817284007,15.079238524748188,41.81788757183049,35.19006570042486,0.0,1.0494880150776145
4,83.40551623809523,42.007804761904765,35.31309047619047,6.694714285714283,3904.2504190476197,25.83841904761905,46.751065599999954,46.751065599999954,15.463066666666666,0.11647619047619048,6.391799999999994,3245.6140000000005,41.10090000000001,25.76585659885707,3825.6809132627263,0.0,1.7506999999999995,0.0,0.7816,69.72555873886212,19.114417576953905,12.086177108095237,0.27420854249835536,0.6321000363252359,15.676946878908046,42.00295570866359,35.323146981089224,0.0,0.9443770552334265
5,101.3186325217391,41.162652173913045,35.5510695652174,5.611582608695653,2538.8103260869566,25.66612608695652,99.13184337391303,99.13184337391303,7.655160869565219,0.11434782608695651,6.391799999999993,3245.614000000001,41.10090000000002,25.375597886802385,2482.1314518817917,0.0,1.7506999999999997,0.0,1.9052652173913038,57.168406046487306,26.355517137628617,14.585005232173916,0.4614773772371667,0.5533740899417583,7.859554156032554,41.17515912302617,35.58107816243031,0.0,2.0694275319320226
6,116.14226243478258,40.94333913043479,35.52882173913044,5.414517391304347,2105.785060869565,25.707921739130434,113.0556372173913,113.0556372173913,5.316217391304348,0.1143913043478261,6.391799999999993,3245.614000000001,41.10090000000002,25.740086703562937,2039.1426084127547,0.0,1.7506999999999997,0.0,2.2039565217391304,55.05855984364489,24.93050398550809,11.716535336086956,0.45321647658997477,0.4699518949420229,5.513476923537727,40.93433637530454,35.54576487173958,0.0,2.3685888166761115
7,141.53794873913046,41.19697826086957,35.88446521739131,5.31251304347826,1638.3818304347828,25.655152173913038,126.63751283478258,126.63751283478258,2.8313086956521745,0.11543478260869566,6.391799999999993,3245.614000000001,41.10090000000002,25.84989828547012,1594.4550892558382,0.0,1.7506999999999997,0.0,2.495313043478261,53.80577760788743,21.727467604938262,7.065119356521738,0.40418838034447374,0.32516398116534156,3.039932562832045,41.187224324493926,35.84729484354103,0.0,2.6670117429462596
8,158.7861841304348,41.366465217391294,35.2699347826087,6.096530434782607,2275.57457826087,25.665234782608685,126.58765398260869,126.58765398260869,5.739856521739131,0.11517391304347828,6.391799999999993,3245.614000000001,41.10090000000002,25.163807526781476,2183.946664665483,0.0,1.7506999999999997,4.543300000000001,2.49424347826087,62.579207088020254,30.165308599237594,14.316002058260867,0.4823960960165638,0.4745843995357184,5.959024607268608,41.40139930041681,35.25403076922064,4.543300000000001,2.6602818675950757
9,175.27942434782608,41.541956521739124,35.236939130434784,6.305017391304349,2681.212482608696,25.557534782608695,112.34220973913042,112.34220973913042,7.956373913043476,0.11421739130434785,6.391799999999993,3245.614000000001,41.10090000000002,25.00545181635971,2602.8633907595727,0.0,1.7506999999999997,4.543300000000001,2.188652173913043,64.63762266120149,31.54326560118016,17.413353585217394,0.48843156695582857,0.5520470773251267,8.168516726226521,41.51761474323172,35.21115220203891,4.543300000000001,2.3546358358545167
10,184.96108356521736,41.683282608695656,35.1635652173913,6.519717391304347,3100.0049478260858,25.58378260869565,99.67096754782607,99.67096754782607,10.262191304347827,0.11413043478260868,6.391799999999993,3245.614000000001,41.10090000000002,25.08887093079813,2930.241781682717,0.0,1.7506999999999997,4.543300000000001,1.9168304347826084,67.09281547234671,32.35655463179821,19.670159820000002,0.4825857211174892,0.6079251523896655,10.291542960465028,41.64063507353692,35.129215448820084,4.543300000000001,2.0930958054835647
