,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,0.0,0.0,40.1715,34.3675,57.0515,13.0635,1.6955,3300.0,27.9692,3.0
1,0.544,30.0,40.0208,34.3027,81.3294,13.0662,1.357,3300.0,26.7531,3.0
2,0.817,30.0,40.0215,34.5175,60.4283,13.0225,1.4876,3300.0,26.7531,3.0
3,1.089,30.0,40.0049,34.6619,79.2678,13.2251,1.5063,3600.0,29.1852,3.0
4,1.361,30.0,40.0864,34.3064,70.6478,13.3125,1.4183,3600.0,26.7531,3.0
5,1.633,30.0,39.9199,34.2794,69.3612,13.0516,1.3463,3300.0,29.1852,3.0
6,1.905,30.0,40.2493,34.1453,81.9337,12.9943,1.4636,3300.0,27.9692,3.0
7,2.178,30.0,40.3826,34.3897,60.0729,12.9497,1.4156,3300.0,29.1852,3.0
8,2.45,30.0,40.499,34.198,77.9464,13.1509,1.6449,3600.0,29.1852,3.0
9,2.722,30.0,40.0715,34.6937,66.0268,13.3469,1.317,3600.0,29.1852,3.0
10,2.995,30.0,39.9783,34.1689,74.6313,13.1761,1.5569,3600.0,26.7531,3.0
11,3.267,30.0,39.916,34.2953,74.0363,13.0953,1.6156,3300.0,29.1852,3.0
12,3.54,30.0,40.2048,34.4175,59.0953,12.8888,1.2583,3300.0,26.7531,3.0
13,3.812,30.0,39.8083,34.6518,83.3015,13.049,1.5623,3300.0,29.1852,3.0
14,4.084,30.0,40.3381,34.4786,58.5114,13.2171,1.2503,3600.0,26.7531,0.0
15,6.136,30.0,40.0438,34.2701,67.0044,12.0718,1.437,3000.0,27.9692,0.0
16,6.409,30.0,40.3604,34.0287,90.7816,11.9579,1.5516,3300.0,29.1852,0.0
17,6.682,30.0,40.2811,34.3551,72.6029,12.1066,1.8224,3300.0,29.1852,0.0
18,6.955,30.0,40.2826,34.0065,76.1575,12.0202,1.7569,3300.0,29.1852,0.0
19,7.227,30.0,40.2493,34.6841,90.1866,11.9884,1.8928,3000.0,27.9692,0.0
20,7.499,30.0,40.2652,34.4831,67.2532,11.9632,1.5463,3000.0,29.1852,0.0
21,7.772,30.0,40.1326,34.3731,90.998,11.9341,1.5009,3300.0,29.1852,0.0
22,8.044,30.0,39.8402,34.3376,71.4013,12.1685,1.6822,3300.0,26.7531,0.0
23,8.316,30.0,39.9146,34.6111,77.2663,11.9844,1.6449,3300.0,27.9692,0.0
24,8.589,30.0,40.016,34.4897,86.9102,12.0639,1.3974,3300.0,29.1852,0.0
25,8.861,30.0,40.313,34.326,67.7153,12.3686,1.8395,3300.0,27.9692,0.0
26,9.134,30.0,40.2104,34.7507,89.8427,11.9262,1.5276,3000.0,29.1852,0.0
27,9.406,30.0,39.8774,34.1921,70.7367,11.9632,1.3923,3300.0,29.1852,0.0
28,9.678,30.0,40.5415,34.2707,84.3331,12.1181,1.7382,3300.0,29.1852,0.0
29,9.951,30.0,40.2604,34.4897,87.1767,11.9791,1.4765,3300.0,27.9692,0.0
30,10.224,30.0,40.3236,34.71,66.3012,11.9738,1.8022,3000.0,27.9692,0.0
31,10.499,30.0,40.2437,34.3675,84.4219,12.0162,1.5969,3300.0,26.7531,0.0
32,10.772,30.0,39.8327,34.2009,82.7064,12.044,1.9328,3300.0,27.9692,0.0
33,11.045,30.0,40.0293,34.1342,66.3823,11.9751,1.3783,3300.0,29.1852,0.0
