,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
0,0.0,34.5471,29.0452,100.5148,8.4474,1.9787,2691.6291,29.6984,5.501899999999999
1,0.0,34.4045,29.2489,97.646,8.468900000000001,,2514.458,26.1329,5.1556
2,0.258,34.4656,29.2658,91.3653,8.4765,2.052,2630.041,27.6271,5.199800000000003
3,0.507,34.348,28.9569,101.1665,8.5553,1.9346999999999999,2613.6958,28.1624,5.391099999999998
4,0.757,34.4016,28.8144,91.3131,8.434800000000001,2.0436,2633.8894,28.6985,5.587200000000003
5,1.005,34.2131,28.7668,101.9828,8.6088,1.9721,2590.3007,28.4545,5.446299999999997
6,1.257,34.5889,28.889,90.9743,8.5408,2.0425,2613.468,28.8392,5.699900000000003
7,1.506,34.469,28.8924,100.6191,8.6797,1.8431,2624.2893,28.9238,5.576600000000003
8,1.756,34.5323,29.0904,90.6713,8.5687,2.0816,2623.0654,29.7687,5.4419
9,2.003,34.3673,28.8955,100.9058,8.456100000000001,1.9948,2596.3535,30.5848,5.471800000000002
10,2.252,34.3667,28.8646,93.1639,8.4907,2.0775,2571.3552,26.8345,5.502100000000002
11,2.507,34.186,28.5401,99.0811,8.7371,1.7869,2693.2399,27.6711,5.645900000000001
12,2.756,34.2585,28.9187,89.9608,8.4411,2.1335,2642.008,27.4442,5.339799999999997
13,3.007,34.2959,28.5632,100.2542,8.5622,2.0632,2691.79,27.5063,5.732700000000005
14,3.257,34.1546,28.682,91.9127,8.586,1.9068999999999998,2682.8032,28.7234,5.4726000000000035
15,3.504,34.4196,29.0519,100.5148,8.578100000000001,2.0679,2631.1943,29.2156,5.367700000000003
16,3.755,34.61,29.0418,90.9221,8.625300000000001,1.9935999999999998,2643.56,28.9651,5.568200000000001
17,4.004,34.4632,28.5639,99.8124,8.507200000000001,1.9821,2653.5366,28.7914,5.8993
18,4.254,34.4156,29.0045,90.7486,8.5222,1.8731,2641.7751,28.8187,5.411099999999998
19,4.504,34.3727,28.7833,100.9031,8.528500000000001,2.0046,2651.3476,28.0304,5.589400000000001
20,4.756,34.5471,29.035,91.3913,8.554400000000001,1.9855999999999998,2684.0832,29.1363,5.5121
21,5.004,34.3367,28.9319,100.3144,8.6041,1.8778,2665.403,29.8028,5.404800000000002
22,5.253,34.5261,28.7872,91.913,8.4277,2.0099,2658.2392,29.8564,5.738900000000001
23,5.502,34.3589,29.0044,98.6901,8.428500000000001,2.0068,2631.7329,27.1359,5.354499999999998
24,5.757,34.3885,28.8427,92.4943,8.5191,1.9825,2732.904,26.6444,5.5458
25,6.008,34.44,29.1721,101.349,8.6852,1.9783,2540.0769,28.2038,5.267899999999997
26,6.268,34.4769,29.0655,100.6712,8.501700000000001,1.9253,2743.2331,29.5828,5.4114
27,6.515,34.4138,29.0739,91.1571,8.4695,1.9850999999999999,2685.2045,29.0273,5.339900000000004
28,6.765,34.5573,28.9875,101.37,8.5356,1.984,2694.5302,28.2847,5.569799999999997
29,7.017,34.4271,29.0282,91.4956,8.5321,1.9025999999999998,2520.1613,29.5708,5.398900000000005
30,7.275,34.5142,28.6854,95.1189,8.5411,2.0288,2699.7031,29.113,5.828800000000001
31,7.526,34.2548,28.5389,101.8203,8.7789,2.0298,2736.4772,28.4879,5.715900000000001
32,7.777,34.2887,29.0621,92.0691,8.5364,2.0065,2728.8439,28.7868,5.226599999999998
33,8.026,34.3064,28.6809,101.9524,8.7867,2.0618,2757.6909,25.7003,5.625499999999995
34,8.283,34.5573,28.7139,96.8799,8.5805,1.9822,2656.3562,27.2007,5.843399999999999
35,8.54,34.376,29.1168,93.0755,8.600900000000001,2.0505,2577.0244,28.3484,5.259199999999996
36,8.799,34.2068,28.7193,90.088,8.625300000000001,1.9163999999999999,2743.4006,29.5517,5.487500000000001
37,9.047,34.4952,28.8551,99.9935,8.3947,1.9876999999999998,2745.1579,27.144,5.640099999999997
38,9.3,34.2131,29.0519,91.8345,8.483600000000001,1.9269999999999998,2583.3857,27.7511,5.161199999999997
39,9.561,34.3805,29.1266,91.4435,8.4734,2.0094,2574.9599,30.0458,5.253899999999998
