,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
0,0.0,34.0244,27.3038,0.0,16.0401,,3821.8183,25.0491,6.720600000000001
1,0.211,34.0961,27.3335,0.0,16.007,0.6527000000000001,4041.6743,27.1178,6.762599999999999
2,0.413,34.0398,27.0121,0.0,16.0338,0.9627,3970.0043,29.069,7.027699999999999
3,0.613,34.1512,27.1651,0.0,16.0535,0.8203,3870.801,27.6879,6.986100000000004
4,0.819,33.9996,27.284,0.0793,16.0433,1.1031,3979.4833,28.4257,6.715600000000002
5,1.02,34.1007,27.2191,0.0,15.961400000000001,1.0923,3892.9018,25.6949,6.881600000000002
6,1.229,34.0925,27.0907,0.0,16.1645,1.1471,4128.0615,27.9895,7.001800000000003
7,1.429,34.1466,27.0188,0.0261,15.8476,0.9437,3965.6313,26.3405,7.127800000000001
8,1.636,33.9383,27.1342,0.0,15.940700000000001,1.0675,4157.0439,29.4396,6.804099999999998
9,1.833,33.8954,26.7523,0.0261,16.0102,1.1353,3862.6611,27.6041,7.1431000000000004
10,2.039,34.0298,26.9673,0.0,15.9031,1.4457,3994.1418,25.7838,7.0625
11,2.247,34.0212,27.1221,0.0,16.0787,1.0378,3842.0488,25.5419,6.899100000000001
12,2.459,34.1434,27.1648,0.0863,16.0472,1.0324,3850.4318,27.1017,6.9786
13,2.668,34.0719,27.099,0.0,15.9905,1.1088,4079.0427,29.6502,6.972899999999999
14,2.867,33.9601,26.8967,0.0521,15.9511,1.0777999999999999,3903.7082,25.8167,7.063399999999998
15,3.078,34.0643,27.0495,0.0,16.0063,1.0689,3905.9111,28.0347,7.014800000000005
16,0.0,34.0244,27.066,0.0,16.0913,,3824.4167,25.6894,6.958400000000001
17,0.212,34.0402,27.2278,0.0,16.0551,1.013,4118.4277,26.0099,6.8124
18,0.415,34.1188,27.142,0.0,16.1461,1.1722,4077.3798,26.2457,6.976800000000001
19,0.618,34.1131,27.1155,0.0,15.994200000000001,1.1722,4037.3227,29.4135,6.997600000000002
20,0.816,33.9794,27.2344,0.0782,16.0291,1.0213999999999999,4167.2456,26.7519,6.744999999999997
21,1.016,34.1398,27.2424,0.0,16.1102,0.9594,4020.7292,25.693,6.897400000000001
22,1.223,34.1299,27.1309,0.0,15.9708,1.0024,4179.0488,28.0218,6.998999999999999
23,1.422,34.2077,27.1682,0.0,15.9905,0.8304,4016.9604,25.9305,7.039500000000004
24,1.629,34.0953,26.934,0.0,16.1262,1.034,3868.4719,27.3352,7.161300000000001
25,1.837,34.0244,26.9611,0.0,16.0566,1.0767,4081.6328,25.9176,7.063300000000002
26,2.042,33.9932,27.0429,0.0261,15.9259,0.9338000000000001,3882.6577,26.9994,6.950300000000002
27,2.251,34.1435,27.0627,0.0,16.1047,1.1071,4141.3583,29.5661,7.0808000000000035
28,2.45,34.0246,27.0627,0.0,15.8466,0.9737,3881.6528,26.662,6.9619
29,2.659,34.0281,27.1585,0.0,15.9984,1.0004,4152.6323,27.6271,6.869600000000002
30,2.861,33.8989,27.0732,0.0,15.9803,0.9533,4046.7626,25.0388,6.825699999999998
31,3.069,34.2049,27.1056,0.0,15.911800000000001,1.0141,3955.696,26.1254,7.099300000000003
32,3.279,34.1102,27.4404,0.0,16.1147,1.1188,3834.3557,26.7303,6.669799999999999
33,3.49,34.1092,27.2361,0.0,16.0094,1.063,4155.3164,29.3969,6.873100000000001
34,3.689,34.1014,26.9735,0.0,15.732000000000001,0.8734000000000001,3916.2785,27.469,7.127899999999997
35,3.896,33.9072,27.0891,0.0,16.0637,1.1901,4103.2187,25.9084,6.818100000000005
36,4.103,33.7535,27.4058,0.0,16.081,1.0684,3956.7397,25.9212,6.347700000000003
37,4.315,33.8822,26.9883,0.0,15.935400000000001,0.9553,3956.7397,27.2515,6.893899999999999
38,4.524,34.0455,27.2476,0.0,16.0503,1.044,3851.915,30.4216,6.7978999999999985
39,4.729,34.1782,27.2401,0.0261,16.1267,1.0044,3911.343,28.8141,6.938099999999995
40,4.935,34.0065,26.9999,0.0,15.936200000000001,1.1265,4011.5891,25.8112,7.006600000000002
