,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A)
726,10.257,38.3545,32.2628,15.1728,0.87
727,10.49,38.4374,32.2272,15.0671,0.8749
728,10.723,38.4656,32.1985,14.9142,0.8922
729,10.956,38.4355,32.2136,15.0783,0.8694
730,11.189,38.3837,32.0953,15.1217,0.8731
731,11.422,38.4388,32.2035,15.02,0.8764
732,11.655,38.5816,32.2764,14.9337,0.8704
733,11.888,38.6143,32.2449,15.0942,0.8749
734,12.121,38.469,32.2966,14.9769,0.8895
735,12.354,38.4009,32.3257,14.9478,0.8673
736,12.588,38.5059,32.3629,15.1345,0.8793
737,12.821,38.5197,32.5411,15.0744,0.8615
738,13.054,38.4966,32.4478,15.0016,0.8616
739,13.287,38.5556,32.4498,14.8899,0.8788
740,13.52,38.5596,32.4206,14.9821,0.8597
741,13.753,38.5522,32.3431,15.0122,0.8786
742,13.986,38.4069,32.3273,15.0992,0.8712
743,14.219,38.4945,32.2742,15.0642,0.8715
744,14.452,38.5142,32.3483,15.0755,0.8727
745,14.685,38.5231,32.4597,15.0144,0.8642
746,14.918,38.5765,32.4498,15.0399,0.8976
747,15.151,38.4078,32.4427,15.087,0.8794
748,15.384,38.5641,32.4883,15.0308,0.8631
749,15.618,38.6763,32.3375,14.9709,0.8778
750,15.851,38.6074,32.4953,15.0777,0.8841
751,16.086,38.4724,32.3895,14.9394,0.8644
752,16.319,38.6539,32.5462,14.9528,0.8803
753,16.552,38.6852,32.4653,15.1078,0.8667
754,16.785,38.4673,32.3568,15.0868,0.8711
755,17.018,38.6458,32.3551,15.1078,0.8983
756,17.251,38.542,32.4171,15.0709,0.8728
757,17.484,38.5386,32.458,14.996,0.8705
758,17.717,38.744,32.4962,15.0252,0.8803
759,17.95,38.6006,32.5494,15.0619,0.9015
760,18.183,38.4283,32.2622,15.2151,0.8731
761,18.416,38.351,32.1904,15.1062,0.8661
762,18.649,38.5438,32.3035,15.0205,0.8841
763,18.882,38.4622,32.0511,15.0707,0.8742
764,19.116,38.4921,32.1932,15.0344,0.8862
765,19.349,38.5317,32.2289,15.0572,0.8871
766,19.582,38.4374,32.3494,15.0116,0.8813
767,19.815,38.4371,32.1949,15.0095,0.8633
768,20.048,38.594,32.458,15.1102,0.8814
769,20.281,38.5558,32.1797,15.1463,0.8668
770,20.514,38.5672,32.3918,15.0092,0.8819
771,20.747,38.5988,32.2832,15.022,0.8785
772,20.98,38.4419,32.1359,15.0373,0.8709
773,21.213,38.5912,32.3895,15.034,0.8692
774,21.446,38.7107,32.3709,14.9769,0.878
775,21.679,38.4113,32.2509,15.2347,0.8787
776,21.912,38.382,32.4479,15.0739,0.8652
777,22.146,38.6315,32.3748,14.9289,0.8625
778,22.379,38.5627,32.402,15.0668,0.8732
779,22.614,38.4491,32.2543,15.1142,0.869
780,22.847,38.6212,32.5259,15.1053,0.8528
781,23.08,38.594,32.2272,15.1473,0.8875
782,23.313,38.4767,32.3086,15.1781,0.8691
783,23.546,38.5272,32.3205,15.0188,0.8682
784,23.779,38.6298,32.3375,15.0113,0.8642
785,24.012,38.4279,32.2068,14.9992,0.8667
786,24.245,38.43,32.2553,14.9953,0.869
787,24.478,38.5145,32.3314,15.0644,0.8825
788,24.711,38.6436,32.4037,15.1259,0.8625
789,24.944,38.4027,32.5284,15.113,0.859
790,25.177,38.4571,32.3706,15.0531,0.8549
791,25.41,38.6057,32.2248,15.0095,0.8694
792,25.644,38.5266,32.3748,15.097,0.8784
793,25.877,38.5115,32.4549,15.1302,0.8893
794,26.11,38.5725,32.4016,15.0894,0.8732
795,26.343,38.5042,32.4444,14.9694,0.8682
796,26.576,38.2904,32.1389,15.0647,0.8664
797,26.809,38.5816,32.329,14.9711,0.8712
798,27.042,38.5959,32.4257,15.0964,0.8649
799,27.275,38.5661,32.2492,15.097,0.8681
800,27.508,38.413,32.3633,15.0519,0.8676
801,27.741,38.5386,32.4902,14.9988,0.8706
802,27.974,38.4405,32.322,15.0152,0.8638
803,28.207,38.4904,32.3154,14.9637,0.869
804,28.44,38.5013,32.496,15.0595,0.8671
805,28.674,38.4422,32.2866,14.9877,0.8715
806,28.907,38.4388,32.4512,15.0842,0.8895
807,29.142,38.4577,32.3901,15.0483,0.8646
808,29.375,38.5438,32.2708,14.9663,0.8852
809,29.608,38.3611,32.2645,14.9867,0.8772
810,29.841,38.4164,32.1559,15.0082,0.8658
811,30.074,38.4508,32.7855,15.064,0.8712
812,30.307,38.4216,32.7753,15.1181,0.8791
813,30.54,38.6818,32.7041,15.1609,0.8733
814,30.773,38.4147,32.5819,15.0212,0.8876
815,31.006,38.4319,32.525,15.0272,0.8764
816,31.239,38.604,32.8178,14.9179,0.8697
817,31.472,38.5076,32.6885,14.9809,0.8696
818,31.705,38.374,32.5055,15.0381,0.8664
819,31.938,38.318,32.3432,15.0308,0.8867
820,32.172,38.3579,32.5751,15.0675,0.8822
821,32.405,38.5472,32.5717,15.0002,0.869
822,32.638,38.5367,32.6158,15.0834,0.8731
823,32.871,38.3958,32.626,15.1922,0.8689
824,33.104,38.4584,32.6073,15.0304,0.8684
825,33.337,38.3825,32.4722,14.946,0.8902
826,33.57,38.5076,32.5191,15.0336,0.8731
827,33.803,38.5558,32.6192,15.0755,0.8662
828,34.036,38.4646,32.6923,14.9617,0.8734
829,34.269,38.3441,32.5462,15.1061,0.8725
830,34.502,38.6109,32.6434,15.0745,0.8793
831,34.735,38.4732,32.6192,15.1114,0.8698
832,34.968,38.4233,32.5363,15.0747,0.8739
833,35.202,38.5472,32.6158,15.0886,0.8608
834,35.435,38.5421,32.5615,15.1943,0.871
835,35.67,38.5042,32.4665,15.1497,0.865
836,35.903,38.4577,32.5394,15.0993,0.891
837,36.136,38.4527,32.4088,15.1445,0.8744
838,36.369,38.425,32.5242,15.0387,0.8673
839,36.602,38.3859,32.5004,15.1186,0.8681
840,36.835,38.3304,32.6073,15.077,0.8632
841,37.068,38.4412,32.4546,15.1142,0.8735
842,37.301,38.5524,32.368,15.0024,0.8855
843,37.534,38.5267,32.5814,15.0004,0.8667
844,37.767,38.3604,32.5152,15.0427,0.8729
845,38.0,38.4491,32.4743,15.0036,0.8757
846,38.233,38.6212,32.6005,15.0672,0.8548
847,38.466,38.6797,32.4498,15.0431,0.8708
848,38.7,38.3441,32.4325,15.0284,0.8616
849,38.933,38.4199,32.4902,14.9839,0.8752
850,39.166,38.6054,32.4665,15.0368,0.8779
851,39.399,38.5641,32.5616,15.123,0.8571
852,39.632,38.5555,32.658,15.1864,0.8871
853,39.865,38.5145,32.6226,15.0726,0.863
854,40.098,38.5157,32.5377,15.0328,0.8732
855,40.331,38.4457,32.4463,15.0379,0.8775
856,40.564,38.4973,32.557,15.0759,0.8779
857,40.797,38.4887,32.5971,15.0691,0.8527
858,41.03,38.3906,32.5983,15.1761,0.8714
859,41.263,38.5507,32.5225,15.0842,0.8693
860,41.496,38.5128,32.5137,15.0044,0.8752
861,41.73,38.5748,32.3901,15.1186,0.8713
862,41.963,38.5216,32.3379,15.0362,0.8674
863,42.198,38.592,32.5276,15.1289,0.8753
864,42.431,38.3596,32.3689,15.1062,0.8636
865,42.664,38.3801,32.3969,15.1553,0.8859
866,42.897,38.4199,32.5377,15.1212,0.8698
867,43.13,38.4954,32.5513,15.0431,0.8677
868,43.363,38.4317,32.4274,15.0131,0.873
869,43.596,38.6532,32.5564,15.0399,0.8625
870,43.829,38.4853,32.531,15.0471,0.8695
871,44.062,38.4921,32.5626,15.0332,0.8823
872,44.295,38.5059,32.5479,15.0866,0.8601
873,44.528,38.4009,32.4611,15.1579,0.8734
874,44.761,38.4904,32.5615,15.0579,0.8724
875,44.994,38.4894,32.3986,15.1597,0.8767
876,45.228,38.3717,32.5547,15.0463,0.8885
877,45.461,38.3958,32.5004,15.1265,0.881
878,45.694,38.5157,32.5751,15.1369,0.8782
879,45.927,38.5765,32.4902,15.0634,0.8743
880,46.16,38.4298,32.458,14.9825,0.8685
881,46.393,38.3304,32.3816,15.011,0.8722
882,46.626,38.3534,32.4885,15.0599,0.8597
883,46.859,38.5988,32.4682,15.1118,0.8744
884,47.092,38.6212,32.463,15.1303,0.8802
885,47.325,38.6401,32.5394,15.0918,0.8731
886,47.558,38.4199,32.4066,15.0348,0.8815
887,47.791,38.3562,32.4325,15.0116,0.8625
888,48.024,38.5541,32.6942,15.103,0.8808
889,48.258,38.4181,32.5377,14.9857,0.8784
890,48.491,38.4698,32.5191,14.9873,0.88
891,48.726,38.4147,32.4223,15.1579,0.87
892,48.959,38.5661,32.5462,15.1168,0.8677
893,49.192,38.5443,32.5276,15.0695,0.8978
894,49.425,38.5455,32.4257,15.1755,0.8562
895,49.658,38.468,32.553,15.1505,0.8704
896,49.891,38.5059,32.4291,15.3661,0.8979
897,50.124,38.615,32.4291,15.5775,0.8809
898,50.357,38.688,32.3414,15.9629,0.8679
899,50.59,38.7296,32.1058,16.5555,0.8683
900,50.823,39.0411,31.959,17.0723,0.8804
901,51.056,39.2683,31.9836,17.67,0.8647
902,51.289,39.4058,31.7906,18.235,0.8704
903,51.522,39.8913,31.8652,18.862,0.8736
904,51.756,40.2372,31.4414,19.7614,0.8819
905,51.989,40.4833,31.6892,20.4387,0.8754
906,52.222,40.7514,31.1869,21.0974,0.8642
907,52.455,41.1528,31.7724,21.3802,0.8785
908,52.688,41.2401,32.2381,21.4129,0.8774
909,52.921,41.4554,32.0761,21.4667,0.8805
910,53.154,41.1962,31.9455,21.4722,0.8761
911,53.387,41.2474,32.0507,21.4378,0.8945
912,53.62,41.2607,32.8671,21.4458,0.881
913,53.853,41.2853,33.0587,21.34,0.879
914,54.086,41.1786,32.9724,21.4174,0.8787
915,54.319,41.2165,32.128,21.4773,0.8648
916,54.552,41.1665,31.5757,21.3677,0.8731
917,54.786,41.4508,33.3963,21.409,0.871
918,55.019,41.2624,32.4756,21.4434,0.8798
919,55.254,41.3042,32.5038,21.4074,0.8677
920,55.487,41.2956,32.7838,21.5095,0.885
921,55.72,41.2611,32.732,21.447,0.8678
922,55.953,41.2887,32.3324,21.4918,0.8707
923,56.186,41.3051,32.8318,21.4055,0.8751
924,56.419,41.3184,32.5806,21.5925,0.8806
925,56.652,41.1943,32.5479,21.5244,0.8808
926,56.885,41.1855,32.2968,21.4378,0.8717
927,57.118,41.108,32.1678,21.4003,0.8746
928,57.351,41.213,32.531,21.4569,0.8726
929,57.584,41.2664,32.5838,21.4609,0.8623
930,57.817,41.4109,32.8381,21.5391,0.8869
931,58.05,41.2405,32.9968,21.4162,0.8862
932,58.284,41.1182,32.6718,21.413,0.8882
933,58.517,41.3817,32.4851,21.6212,0.8723
934,58.75,41.3089,32.3969,21.4904,0.8803
935,58.983,41.3576,33.0214,21.4106,0.8688
936,59.216,41.4521,32.7062,21.4972,0.8663
937,59.449,41.3438,32.9518,21.5037,0.8684
938,59.682,41.3452,32.979,21.4541,0.8796
939,59.915,41.2337,32.6718,21.5487,0.876
940,60.148,41.3696,33.089,21.5315,0.8657
941,60.381,41.1803,32.6922,21.4426,0.8927
942,60.614,41.3541,32.3088,21.407,0.8786
943,60.847,41.3524,32.5221,21.5096,0.8825
944,61.08,41.2113,32.5322,21.4573,0.8819
945,61.314,41.1674,32.9282,21.4892,0.8658
946,61.547,41.2371,33.1996,21.427,0.8604
947,61.782,41.4522,32.8009,21.4541,0.8767
948,62.015,41.2726,32.9816,21.4993,0.8656
949,62.248,41.4005,32.7007,21.518,0.8659
950,62.481,41.3886,33.2794,21.3471,0.8702
951,62.714,41.3318,32.8245,21.4314,0.8796
952,62.947,41.2199,33.1979,21.5245,0.871
953,63.18,41.3031,33.3557,21.504,0.8866
954,63.413,41.3232,32.8432,21.4493,0.8813
955,63.646,41.392,33.5063,21.4709,0.8699
956,63.879,41.422,33.0831,21.4003,0.8746
957,64.112,41.1992,32.8352,21.4625,0.8644
958,64.345,41.1866,33.186,21.4888,0.8705
959,64.578,41.2939,32.7193,21.5084,0.878
960,64.812,41.3128,32.7753,21.4869,0.8778
961,65.045,41.2543,32.553,21.434,0.861
962,65.278,41.1986,32.9041,21.49,0.9053
963,65.511,41.1996,33.5994,21.4305,0.872
964,65.744,41.2211,32.6374,21.5375,0.8797
965,65.977,41.478,32.7838,21.4715,0.8858
966,66.21,41.4234,32.5926,21.4988,0.8902
967,66.443,41.3082,32.7561,21.5164,0.8701
968,66.676,41.2819,33.0608,21.4665,0.8709
969,66.909,41.2913,32.5307,21.4581,0.8784
970,67.142,41.3197,33.8057,21.5846,0.8793
971,67.375,41.1545,33.7973,21.4521,0.863
972,67.608,41.3249,32.9254,21.4509,0.8833
973,67.842,41.3817,33.4151,21.4406,0.8784
974,68.075,41.3369,33.4151,21.4849,0.8691
975,68.31,41.2973,33.2047,21.4621,0.884
976,68.543,41.2607,33.1089,21.5832,0.8838
977,68.776,41.391,33.0265,21.3632,0.8765
978,69.009,41.2664,33.0129,21.4495,0.873
979,69.242,41.1867,32.8517,21.4462,0.8972
980,69.475,41.2405,33.1589,21.5797,0.8887
981,69.708,41.5208,33.4728,21.4777,0.8713
982,69.941,41.3627,33.7138,21.4892,0.8693
983,70.174,41.3094,33.8071,21.5403,0.8684
984,70.407,41.2302,33.8241,21.5008,0.8799
985,70.64,41.2147,33.4612,21.5311,0.8767
986,70.873,41.3696,33.13,21.4669,0.8662
987,71.106,41.3713,33.5063,21.4888,0.8676
988,71.34,41.3627,34.2891,21.5244,0.8785
989,71.573,41.2302,33.5492,21.438,0.8736
990,71.806,41.2745,32.8212,21.5535,0.8736
991,72.039,41.3386,34.0515,21.4398,0.8631
992,72.272,41.433,33.3337,21.4106,0.8728
993,72.505,41.2578,33.4236,21.3961,0.8796
994,72.738,41.2401,33.3252,21.4797,0.8776
995,72.971,41.318,33.5187,21.5471,0.8722
996,73.204,41.349,33.5928,21.5635,0.8646
997,73.437,41.2405,33.3371,21.4278,0.872
998,73.67,41.3438,33.3108,21.4553,0.8946
999,73.903,41.2624,33.4049,21.413,0.8775
1000,74.136,41.2801,33.0927,21.4414,0.867
1001,74.37,41.4677,33.904,21.3983,0.8692
1002,74.603,41.1928,33.2655,21.4757,0.8542
1003,74.838,41.3249,32.9416,21.4757,0.8622
1004,75.071,41.2268,33.5,21.4839,0.8781
1005,75.304,41.265,33.6374,21.4849,0.8786
1006,75.537,41.3123,33.0333,21.4751,0.8741
1007,75.77,41.3299,32.5191,21.4984,0.8624
1008,76.003,41.3266,33.2285,21.4062,0.8746
1009,76.236,41.1328,32.7561,21.3835,0.8727
1010,76.469,41.3283,32.962,21.4705,0.8753
1011,76.702,41.3163,32.7243,21.2315,0.8537
1012,76.935,40.9325,32.9281,20.8093,0.8778
1013,77.168,40.7139,33.0871,20.3113,0.8866
1014,77.401,40.5281,32.4716,19.8851,0.8856
1015,77.634,40.251,32.8797,19.3727,0.8751
1016,77.868,40.1149,32.3986,18.8908,0.8724
1017,78.101,39.6796,32.5208,18.2189,0.8614
1018,78.334,39.6173,32.7516,17.6485,0.8787
1019,78.567,39.2064,32.5751,16.9418,0.8613
1020,78.8,39.035,32.592,16.4362,0.8757
1021,79.033,38.8661,32.7269,15.7029,0.8808
1022,79.266,38.7849,32.6905,15.599,0.8713
1023,79.499,38.6333,32.5734,15.4394,0.8703
1024,79.732,38.5679,32.4761,15.3883,0.8642
1025,79.965,38.487,32.5615,15.4478,0.8754
1026,80.198,38.5696,32.54,15.415,0.8751
1027,80.431,38.7134,32.4842,15.4547,0.8732
1028,80.664,38.5145,32.3915,15.5822,0.8751
1029,80.898,38.3149,32.3241,15.3979,0.8806
1030,81.131,38.4853,32.5038,15.421,0.8875
1031,81.366,38.5868,32.4223,15.4526,0.8621
1032,81.599,38.5507,32.4206,15.4977,0.8787
1033,81.832,38.5668,32.3207,15.4765,0.867
1034,82.065,38.6315,32.3918,15.3866,0.8793
1035,82.298,38.5119,32.4037,15.3576,0.8753
1036,82.531,38.6677,32.6328,15.4994,0.8835
1037,82.764,38.6761,32.4614,15.5459,0.8651
1038,82.997,38.5679,32.4614,15.4518,0.8794
1039,83.23,38.6092,32.3314,15.4266,0.864
1040,83.463,38.4181,32.2747,15.4689,0.8677
1041,83.696,38.4181,32.1697,15.4099,0.8751
1042,83.929,38.3528,32.2611,15.4218,0.8707
1043,84.162,38.5093,32.3521,15.4745,0.8936
1044,84.396,38.4612,32.3379,15.4681,0.8993
1045,84.629,38.5782,32.4704,15.3719,0.8754
1046,84.862,38.6971,32.2985,15.4949,0.871
1047,85.095,38.5386,32.1287,15.4963,0.8822
1048,85.328,38.548,32.2846,15.4929,0.8826
1049,85.561,38.4784,32.3002,15.574,0.8851
1050,85.794,38.6856,32.3595,15.4294,0.8686
1051,86.027,38.4594,32.256,15.5647,0.8817
1052,86.26,38.5128,32.2994,15.3939,0.8804
1053,86.493,38.4336,32.3443,15.4677,0.8781
1054,86.726,38.5816,32.3163,15.3935,0.8729
1055,86.959,38.5042,32.3018,15.3699,0.8825
1056,87.192,38.6419,32.4291,15.4757,0.8953
1057,87.426,38.5868,32.2708,15.449,0.8732
1058,87.659,38.5455,32.4189,15.3696,0.8646
1059,87.894,38.6143,32.3154,15.4709,0.8922
1060,88.127,38.7365,32.2713,15.39,0.8649
1061,88.36,38.7009,32.3358,15.364,0.8649
1062,88.593,38.6143,32.3103,15.4447,0.8661
1063,88.826,38.657,32.4173,15.4334,0.8632
1064,89.059,38.5111,32.2425,15.5215,0.8824
1065,89.292,38.5004,32.0795,15.454,0.8655
1066,89.525,38.5556,32.2123,15.4948,0.8714
1067,89.758,38.6126,32.2092,15.3879,0.8614
1068,89.991,38.5162,32.3426,15.4681,0.8745
1069,90.224,38.6711,32.4329,15.4661,0.8729
1070,90.457,38.4698,32.3799,15.4358,0.8583
1071,90.69,38.647,32.4635,15.4004,0.8614
1072,90.924,38.6935,32.2238,15.4988,0.8691
1073,91.157,38.4956,32.2255,15.5639,0.8686
1074,91.39,38.3381,32.144,15.4047,0.8932
1075,91.623,38.3028,32.2017,15.3401,0.869
1076,91.856,38.4985,32.0999,15.5132,0.8754
1077,92.089,38.6353,32.2863,15.4146,0.8844
1078,92.322,38.573,32.3069,15.4701,0.8885
1079,92.555,38.4267,32.1304,15.5,0.877
1080,92.788,38.5782,32.3145,15.3903,0.8759
1081,93.021,38.749,32.3947,15.3752,0.8671
1082,93.254,38.592,32.1733,15.4641,0.8663
1083,93.487,38.4199,32.0829,15.4534,0.864
1084,93.72,38.3579,32.2599,15.4234,0.8687
1085,93.954,38.382,32.1593,15.4342,0.8735
1086,94.187,38.7004,32.2985,15.4055,0.8881
1087,94.422,38.5199,32.183,15.3883,0.8721
1088,94.655,38.4749,32.3952,15.5731,0.8642
1089,94.888,38.5806,32.1881,15.4541,0.8767
1090,95.121,38.6092,32.4885,15.2549,0.8677
1091,95.354,38.5081,32.2153,15.4075,0.875
1092,95.587,38.5644,32.3375,15.5003,0.8798
1093,95.82,38.4432,32.2425,15.4478,0.8839
1094,96.053,38.5748,32.4529,15.4633,0.8834
1095,96.286,38.5093,32.0513,15.4745,0.8739
1096,96.519,38.6057,32.3731,15.4823,0.8967
1097,96.752,38.5541,32.463,15.3931,0.8899
1098,96.985,38.5231,32.178,15.5188,0.8634
1099,97.218,38.277,32.0776,15.4885,0.8692
1100,97.452,38.573,32.3782,15.4099,0.8825
1101,97.685,38.5713,32.2628,15.5851,0.8716
1102,97.918,38.6398,32.1389,15.364,0.8683
1103,98.151,38.4354,32.2408,15.3423,0.8726
1104,98.384,38.678,32.4206,15.427,0.8621
1105,98.617,38.5827,32.4987,15.544,0.8799
1106,98.85,38.4966,32.1491,15.4297,0.8844
1107,99.083,38.5851,32.2017,15.4422,0.8838
1108,99.316,38.635,32.1622,15.449,0.8664
1109,99.549,38.3734,32.1949,15.4809,0.861
1110,99.782,38.5403,32.2573,15.4182,0.8703
1111,100.015,38.4843,32.1004,15.5168,0.8711
1112,100.248,38.5076,32.2325,15.3951,0.8728
1113,100.482,38.584,32.1763,15.4426,0.8729
1114,100.715,38.4835,32.2475,15.4829,0.873
1115,100.95,38.4698,32.1355,15.3939,0.8885
1116,101.183,38.4044,32.1355,15.5211,0.8795
1117,101.416,38.5062,32.2085,15.4709,0.8839
1118,101.649,38.4887,32.3035,15.4602,0.8762
1119,101.882,38.4565,32.1831,15.3783,0.9517
1120,102.115,38.4095,32.2696,15.1031,0.9737
1121,102.348,38.4107,32.1966,14.9192,0.9813
1122,102.581,38.6014,32.4105,14.8225,0.9652
1123,102.814,38.4371,32.2186,14.9107,0.9564
1124,103.047,38.4095,32.312,14.9013,0.9769
1125,103.28,38.3493,32.337,14.7826,0.9793
1126,103.513,38.6212,32.329,14.9254,0.9727
1127,103.746,38.4612,32.242,14.7798,0.9679
1128,103.98,38.4698,32.2985,14.775,0.971
1129,104.213,38.4784,32.1797,14.9208,0.9729
1130,104.446,38.5883,32.4359,14.761,0.9512
1131,104.679,38.4835,32.312,14.9451,0.9676
1132,104.912,38.4221,32.3358,14.8002,0.9781
1133,105.145,38.4302,32.2645,14.8407,0.9788
1134,105.378,38.3286,32.2917,14.8447,0.9796
1135,105.611,38.4629,32.3154,14.7299,1.0546
1136,105.844,38.4749,32.4272,14.2949,1.0712
1137,106.077,38.3717,32.3069,14.2763,1.06
1138,106.31,38.3063,32.2077,14.3111,1.0475
1139,106.543,38.4042,32.3697,14.1735,1.0622
1140,106.776,38.5748,32.5006,14.2071,1.0548
1141,107.01,38.3786,32.3002,14.2152,1.0607
1142,107.243,38.3923,32.441,14.3717,1.0692
1143,107.478,38.4112,32.4173,14.3321,1.0665
1144,107.711,38.3854,32.3697,14.1739,1.0704
1145,107.944,38.4565,32.3613,14.1998,1.053
1146,108.177,38.4113,32.3121,14.3514,1.116
1147,108.41,38.4412,32.4817,13.864,1.1524
1148,108.643,38.2392,32.2849,13.6239,1.1668
1149,108.876,38.3078,32.402,13.6564,1.161
1150,109.109,38.4302,32.3528,13.7048,1.1529
1151,109.342,38.308,32.3126,13.7188,1.1807
1152,109.575,38.3493,32.3477,13.7455,1.1459
1153,109.808,38.3975,32.3909,13.6043,1.1418
1154,110.041,38.4422,32.4515,13.6415,1.1729
1155,110.274,38.4216,32.3652,13.5674,1.1614
1156,110.508,38.308,32.5428,13.7459,1.1684
1157,110.741,38.2994,32.4308,13.6545,1.1567
1158,110.974,38.2637,32.234,13.5836,1.1624
1159,111.207,38.4025,32.3256,13.6271,1.1604
1160,111.44,38.4088,32.3392,13.5805,1.1586
1161,111.673,38.3459,32.5428,13.6153,1.2326
1162,111.906,38.3641,32.4512,13.3182,1.2593
1163,112.139,38.3459,32.4071,13.0544,1.258
1164,112.372,38.1893,32.3032,13.1956,1.2391
1165,112.605,38.3355,32.3964,13.1851,1.2665
1166,112.838,38.3407,32.5363,12.9553,1.2626
1167,113.071,38.222,32.2917,13.0844,1.2445
1168,113.304,38.1032,32.2374,13.119,1.2497
1169,113.538,38.2047,32.329,13.0067,1.2603
1170,113.771,38.3854,32.4687,13.0399,1.2489
1171,114.006,38.2202,32.3816,13.0275,1.2456
1172,114.239,38.3046,32.3816,13.0194,1.256
1173,114.472,38.1739,32.3448,12.8275,1.3623
1174,114.705,38.0739,32.2492,12.6276,1.3464
1175,114.938,38.302,32.475,12.4929,1.3524
1176,115.171,38.1893,32.4105,12.4117,1.347
1177,115.404,38.235,32.4733,12.3836,1.3573
1178,115.637,38.4095,32.4699,12.4225,1.367
1179,115.87,38.2357,32.2675,12.5264,1.3593
1180,116.103,38.2116,32.2153,12.4993,1.36
1181,116.336,38.2684,32.4235,12.3852,1.3372
1182,116.569,38.098,32.3913,12.6891,1.3588
1183,116.802,38.0653,32.284,12.4783,1.3462
1184,117.036,38.2495,32.5123,12.4743,1.3373
1185,117.269,38.3631,32.6022,12.4866,1.3642
1186,117.502,38.2768,32.5394,12.4609,1.3568
1187,117.735,38.3132,32.6379,12.4521,1.3547
1188,117.968,38.2675,32.4206,12.385,1.3307
1189,118.201,38.3269,32.5341,12.4624,1.3563
1190,118.434,38.2826,32.4919,12.3941,1.363
1191,118.667,38.2873,32.4136,12.541,1.3564
1192,118.9,38.0998,32.2975,12.522,1.3652
1193,119.133,38.2116,32.4614,12.3448,1.3448
1194,119.366,38.3064,32.4536,12.3856,1.3558
1195,119.599,38.1049,32.3511,12.5989,1.3607
1196,119.832,38.3166,32.538,12.5099,1.3573
1197,120.066,38.1927,32.4003,12.3233,1.3532
1198,120.299,38.1411,32.4478,12.5159,1.3487
1199,120.534,38.1895,32.3171,12.4759,1.3556
1200,120.767,38.2787,32.4699,12.4678,1.3592
1201,121.0,38.172,32.3103,12.3977,1.348
1202,121.233,38.1979,32.4515,12.4579,1.3636
1203,121.466,38.3381,32.5411,12.5396,1.3405
1204,121.699,38.3545,32.6022,12.4642,1.3524
1205,121.932,38.4319,32.5513,12.361,1.3588
1206,122.165,38.2116,32.4817,12.5572,1.3609
1207,122.398,38.0154,32.1378,12.4783,1.3566
1208,122.631,38.16,32.2679,12.6357,1.3625
1209,122.864,38.2856,32.4743,12.4815,1.3515
1210,123.097,38.3269,32.5666,12.3848,1.3212
1211,123.33,38.2174,32.4423,12.3472,1.338
1212,123.564,38.1703,32.5004,12.4241,1.3483
1213,123.797,38.1703,32.3002,12.5198,1.3525
1214,124.03,38.1415,32.312,12.5146,1.3497
1215,124.263,38.0602,32.2764,12.4234,1.3556
1216,124.496,38.2427,32.3477,12.3177,1.3609
1217,124.729,38.2139,32.4054,12.5238,1.3517
1218,124.962,38.2981,32.3748,12.579,1.3458
1219,125.195,37.9896,32.3392,12.4395,1.3499
1220,125.428,38.0929,32.2712,12.5689,1.3527
1221,125.661,38.2541,32.2628,12.3488,1.3533
1222,125.894,38.1493,32.3878,12.3606,1.3629
1223,126.127,38.2598,32.4648,12.596,1.3502
1224,126.36,38.3252,32.3257,12.5139,1.337
1225,126.594,38.16,32.4257,12.4649,1.3478
1226,126.827,38.2908,32.4614,12.5309,1.3488
1227,127.062,38.172,32.3273,12.5039,1.3533
1228,127.295,38.1843,32.1932,12.5112,1.3493
1229,127.528,38.1759,32.5377,12.4428,1.3591
1230,127.761,38.1497,32.2815,12.4861,1.3511
1231,127.994,38.0288,32.1142,12.4981,1.3588
1232,128.227,38.1634,32.4359,12.4774,1.3509
1233,128.46,38.2389,32.4291,12.4666,1.3572
1234,128.693,38.3648,32.5293,12.4455,1.3288
1235,128.926,38.2392,32.4818,12.4382,1.3474
1236,129.159,38.055,32.4173,12.5216,1.3454
1237,129.392,38.2925,32.5628,12.4743,1.354
1238,129.625,38.1325,32.3307,12.5001,1.3701
1239,129.858,38.2013,32.3031,12.5038,1.349
1240,130.092,38.3596,32.368,12.4285,1.3472
1241,130.325,38.0567,32.3782,12.4781,1.342
1242,130.558,37.9792,32.3935,12.4989,1.3419
1243,130.791,38.32,32.3579,12.4997,1.3408
1244,131.024,38.2045,32.329,12.5569,1.3381
1245,131.257,38.203,32.5123,12.3932,1.3551
1246,131.49,38.5405,32.5937,12.4543,1.3357
1247,131.723,38.2288,32.4444,12.437,1.3601
1248,131.956,38.2306,32.4348,12.5317,1.3601
1249,132.189,38.3459,32.5089,12.4419,1.3538
1250,132.422,38.1359,32.3577,12.3945,1.358
1251,132.655,38.3256,32.4834,12.4144,1.3379
1252,132.888,38.2667,32.3165,12.5293,1.3839
1253,133.122,38.0172,32.0935,12.4338,1.3537
1254,133.355,38.2082,32.3069,12.5313,1.3379
