,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
61,29.39,7.8947,5.7231,4.0492,447.6231,7.6287,12.4617,3000.0,14.5926,-10.0
62,29.811,7.6699,4.7393,3.5394,466.5041,6.7025,14.5758,3600.0,14.5926,-10.0
63,30.232,5.757,-3.2891,-5.6967,272.3347,5.1544,12.5994,3600.0,14.5926,-10.0
64,30.656,7.1043,3.8101,2.1858,425.6875,6.718,11.4575,3600.0,14.5926,-10.0
65,31.078,7.6254,4.8757,3.0761,511.8497,7.3697,15.2891,3600.0,14.5926,-10.0
66,31.5,5.663,-3.4796,-5.6986,423.4076,5.2906,10.4089,3600.0,14.5926,-10.0
67,31.924,7.6556,5.6729,4.6997,361.4811,6.7787,14.2228,3600.0,14.5926,-10.0
68,32.346,7.8344,4.972,1.1677,313.4992,5.7879,13.1206,3600.0,14.5926,-10.0
69,32.768,5.2328,-4.3401,-7.2602,195.1388,4.5336,11.7165,3600.0,14.5926,-10.0
70,33.191,8.2256,6.7985,3.6966,445.0678,7.4346,12.3499,3000.0,14.5926,-10.0
71,33.612,7.6675,4.7559,3.5583,455.4912,7.3881,12.1583,3600.0,14.5926,-10.0
72,34.034,4.9954,-5.0446,-6.6349,204.504,4.7667,11.4876,3600.0,14.5926,-10.0
73,34.457,7.4667,4.4693,1.9291,323.7736,6.0989,13.4205,3600.0,14.5926,-10.0
74,34.879,8.0499,5.9528,2.59,508.4949,6.8076,14.2927,3600.0,14.5926,-10.0
75,35.302,5.3871,-4.2196,-6.6292,323.6358,3.9186,11.2958,3600.0,14.5926,-10.0
76,35.726,8.3122,7.8101,6.1311,554.5563,7.1407,15.1495,3600.0,14.5926,-10.0
77,36.148,7.2248,2.1521,-0.7858,433.1405,6.0028,11.5487,3600.0,14.5926,-10.0
78,36.571,5.2981,-3.9352,-5.5669,331.0421,5.8668,12.6352,3600.0,14.5926,-10.0
79,36.996,8.2688,7.1209,5.0198,540.6573,7.5261,14.9349,3600.0,14.5926,-10.0
80,37.417,5.8612,-2.2688,-4.4784,294.6231,5.7592,13.0338,3600.0,14.5926,-10.0
81,37.841,7.7808,4.3517,1.9717,385.7093,6.581,14.1253,3600.0,14.5926,-10.0
82,38.262,8.2267,7.5812,6.1826,573.427,7.2866,15.6834,3600.0,14.5926,-10.0
83,38.683,6.4447,-0.9033,-3.6027,329.6344,5.6857,12.9082,3600.0,14.5926,-10.0
84,39.107,6.8535,1.5419,-0.0144,296.3559,5.7116,12.7494,3600.0,14.5926,-10.0
85,39.53,8.0744,6.1783,3.1553,400.6244,6.7621,14.8499,3600.0,14.5926,-10.0
86,39.952,5.6661,-4.577,-6.6279,260.5626,5.3039,12.7678,3600.0,14.5926,-10.0
87,40.376,7.9896,5.9732,4.2289,535.1472,7.2075,14.6039,3600.0,14.5926,-10.0
88,40.798,8.0646,5.6168,2.5673,497.2872,6.8518,14.9764,3600.0,14.5926,-10.0
89,41.22,5.5799,-3.757,-6.1703,252.9951,5.0336,12.5025,3600.0,14.5926,-10.0
90,41.644,7.8122,6.5596,5.5272,527.1294,7.683,15.8002,3600.0,14.5926,-10.0
91,42.065,7.8174,5.558,3.244,479.7006,7.2035,12.208,3600.0,14.5926,-10.0
92,42.486,4.9924,-4.8247,-6.3211,329.0245,6.0418,12.5766,3600.0,14.5926,-10.0
93,42.909,7.5367,4.462,1.8864,323.2218,6.3286,13.5808,3600.0,12.1605,-10.0
94,43.33,8.6491,8.4365,4.9531,543.5314,7.1046,15.4339,3600.0,14.5926,-10.0
95,43.752,6.0656,-2.2636,-5.0726,269.3436,5.0803,12.761,3600.0,14.5926,-10.0
96,44.176,6.9186,3.1069,1.7681,492.9945,6.7148,13.9272,3600.0,14.5926,0.0
97,48.297,11.469,16.5146,13.1786,594.9909,8.6369,17.6486,3600.0,14.5926,0.0
98,48.72,6.5372,-1.2863,-3.912,237.3107,4.9648,12.9649,3600.0,14.5926,0.0
99,49.141,6.0673,-1.3811,-4.8993,366.1889,5.5354,12.3196,3600.0,14.5926,0.0
100,49.562,8.3093,7.7725,5.9055,459.6243,7.682,12.688,3600.0,14.5926,0.0
101,49.982,8.1869,6.6229,4.3448,445.5102,7.6947,12.6079,3600.0,14.5926,0.0
102,50.402,6.1882,-1.0226,-3.162,398.9913,5.6496,10.0922,3600.0,14.5926,0.0
103,50.825,5.3285,-3.4145,-4.366,312.9671,5.9503,12.1224,3600.0,14.5926,0.0
104,51.247,8.3984,7.9168,6.0505,382.0598,6.9901,15.0488,3600.0,14.5926,0.0
105,51.666,8.2389,6.9559,3.6414,472.247,7.1758,12.2451,3600.0,14.5926,0.0
106,52.085,6.1873,-0.9534,-2.2347,431.5078,6.243,13.367,3600.0,14.5926,0.0
107,52.506,5.2677,-4.4371,-5.9274,260.1205,5.6131,12.4426,3600.0,14.5926,0.0
108,52.928,7.6083,4.7573,3.3527,503.7667,7.1872,14.4961,3600.0,14.5926,0.0
109,53.348,8.8586,8.9627,6.8206,430.8292,7.109,15.427,3600.0,14.5926,0.0
110,53.768,7.6354,2.4857,-0.1748,375.6968,5.8438,13.8909,3600.0,14.5926,0.0
111,54.189,5.446,-4.1727,-6.4459,204.5777,4.5029,11.7939,3600.0,14.5926,0.0
112,54.61,6.9221,1.4042,-1.5787,272.9302,5.4894,12.5041,3600.0,14.5926,0.0
113,55.03,8.5676,8.3466,4.9982,461.0365,7.5951,12.6152,3600.0,14.5926,0.0
114,55.449,8.2802,7.0947,4.4874,462.1053,7.6805,12.6074,3600.0,14.5926,0.0
