,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
53,15.949,36.5312,30.3814,112.9228,8.602500000000001,2.4546,2864.6909,27.7743,6.149799999999999
54,16.257,36.4503,30.3948,113.4977,8.893500000000001,2.5241,2900.8864,27.2729,6.0554999999999986
55,16.565,36.5836,30.2127,112.9749,8.8245,2.4842999999999997,2913.187,26.9028,6.370899999999995
56,16.874,36.6545,30.189,115.0342,8.6495,2.3889,2970.9833,28.805,6.465499999999999
57,17.174,36.598,29.9853,116.7286,8.9237,2.5057,2869.3488,27.7997,6.6127
58,17.484,36.4963,30.3519,111.9844,8.842600000000001,2.5112,2912.1501,27.7838,6.144399999999997
59,17.792,36.4021,30.2874,113.3399,8.863900000000001,2.4886999999999997,2925.0219,27.4349,6.114699999999996
60,18.1,36.5242,30.2132,114.1053,8.819,2.493,2730.7482,27.4308,6.311
61,18.417,36.6151,30.4232,116.31,8.7474,2.4724999999999997,2947.9199,27.1916,6.191899999999997
62,18.726,36.5487,30.1109,120.013,8.8048,2.5097,2785.6015,27.3567,6.437799999999996
63,19.042,36.4244,30.2908,113.2877,8.7773,2.4485,2759.2973,27.4669,6.133599999999998
64,19.359,36.429,29.9887,117.7333,8.9292,2.5236,2741.5622,27.6051,6.440300000000001
65,19.677,36.3316,30.2429,112.1503,8.9536,2.582,2981.0209,28.17,6.088700000000003
66,19.982,36.3776,30.3349,111.3066,8.7269,2.4184,2941.8493,27.2372,6.0427
67,20.292,36.4649,30.189,114.5592,8.8434,2.5312,2781.8132,27.2352,6.2759
68,20.611,36.5941,30.0085,121.2121,8.6529,2.4756,2803.6508,27.4421,6.585599999999996
69,20.927,36.2709,30.2365,112.6361,8.9418,2.4657999999999998,2785.7739,27.0134,6.034399999999998
70,21.245,36.494,29.9127,121.3425,8.5584,2.4187,2830.6337,27.2149,6.581299999999999
71,21.563,36.5598,30.3553,114.2001,8.5931,2.5509999999999997,2795.3781,27.0254,6.204500000000003
72,21.882,36.4865,30.0973,121.1079,8.601700000000001,2.4907,2847.8308,27.3762,6.389199999999999
73,22.199,36.623,30.276,113.1806,8.7592,2.4598,2836.4323,26.8168,6.346999999999998
74,22.518,36.5009,30.0443,122.6719,8.5828,2.4746,2884.8002,26.7715,6.456600000000002
75,22.836,36.5243,30.0091,115.5816,8.612,2.5067999999999997,2867.612,28.145,6.5151999999999965
76,23.149,36.6277,30.4312,108.6649,9.009500000000001,2.5446,2785.343,28.0908,6.196499999999997
77,23.467,36.5143,30.3849,111.437,8.8198,2.5093,2783.8784,28.3451,6.1294
78,23.784,36.3293,30.2161,113.0792,8.9564,2.5082,2768.2084,28.2267,6.113200000000003
79,24.102,36.4177,30.1306,112.3754,8.9883,2.4531,2771.4479,28.1841,6.287100000000002
80,24.421,36.3664,30.1381,114.174,8.785200000000001,2.4829,2814.1708,28.7959,6.228299999999997
81,24.736,36.4207,30.3783,115.0081,8.9206,2.4684,2786.3776,29.2367,6.042399999999997
82,25.052,36.4084,30.0349,115.347,8.600900000000001,2.4863,2749.0988,27.0364,6.3735
83,25.377,36.4429,30.1286,114.0697,8.697000000000001,2.5192,2919.708,26.8266,6.314300000000003
84,25.696,36.4614,29.9005,121.6031,8.483600000000001,2.5174,2902.196,26.8109,6.560899999999997
85,26.015,36.5874,30.0382,116.5726,8.626100000000001,2.4836,2943.7739,26.9306,6.549200000000003
86,26.334,36.4111,30.206,121.6813,8.6308,2.5075,2948.8859,27.1057,6.205099999999998
87,26.651,36.4392,30.077,115.7495,8.8938,2.5056,2957.7048,26.9366,6.362199999999998
88,26.969,36.5917,30.025,122.4894,8.5639,2.4852,2957.6076,28.2682,6.566700000000004
89,27.281,36.5184,30.4213,113.1574,8.9922,2.4617999999999998,2853.3383,28.4335,6.097100000000001
90,27.599,36.6065,29.912,114.1317,8.9253,2.5006999999999997,2830.0104,27.9584,6.694499999999998
91,27.919,36.6123,30.0702,112.3754,8.808,2.4644,2884.5229,27.8762,6.542099999999998
92,28.237,36.5452,29.9727,114.4868,8.817400000000001,2.4179999999999997,2870.905,27.9606,6.572500000000002
93,28.556,36.4947,30.2331,111.854,8.6986,2.4435,2911.114,27.8528,6.261600000000001
94,28.874,36.4003,30.0349,112.3999,8.789900000000001,2.4781999999999997,2920.2766,27.1077,6.365400000000001
95,29.194,36.5915,30.0091,113.8091,8.6655,2.4974,2754.8208,27.1007,6.582400000000003
96,29.523,36.5958,30.206,114.7735,8.7781,2.4962999999999997,2766.9321,27.5104,6.3897999999999975
97,29.849,36.5402,30.155,109.3094,8.741900000000001,2.5036,2950.7229,27.0936,6.3851999999999975
98,30.17,36.5428,29.8103,121.3706,8.5128,2.5059,2775.1225,28.2781,6.732499999999998
99,30.494,36.427,30.1041,109.8557,9.026900000000001,2.4848,2912.527,28.0218,6.322900000000001
100,30.813,36.4688,30.3078,112.1929,8.8568,2.476,2914.8852,28.3627,6.161000000000001
101,31.131,36.58,30.5434,110.4157,9.0001,2.4506,2962.0852,28.6478,6.0366
102,31.448,36.4542,30.1245,115.1385,8.8796,2.495,2905.6628,28.9032,6.329699999999999
103,31.765,36.3826,30.0976,113.3656,8.706900000000001,2.4648,2877.6979,27.2271,6.284999999999997
104,32.091,36.5768,30.276,114.211,8.646600000000001,2.4823999999999997,2820.3439,26.7735,6.300799999999999
105,32.421,36.483,30.1736,116.0868,8.5671,2.4848,2839.027,28.1961,6.309399999999997
106,32.746,36.4987,30.2976,112.8446,8.872900000000001,2.4865,2743.0661,26.6085,6.2011
107,33.081,36.554,30.0547,115.5319,8.7356,2.4668,2886.5581,26.8939,6.499300000000002
108,33.409,36.4647,30.2892,115.7697,8.582,2.4461999999999997,2871.5461,27.5468,6.1754999999999995
109,33.736,36.5904,30.3123,112.3999,8.716700000000001,2.4743999999999997,2788.1042,27.9895,6.278100000000002
110,34.064,36.3664,30.1769,112.388,8.7985,2.4661,2833.1286,26.8751,6.189499999999999
111,34.396,36.4219,30.1042,116.1924,8.5687,2.5133,2897.4309,27.1198,6.317700000000002
112,34.723,36.5721,30.2623,113.8411,8.7962,2.471,2853.1574,27.5447,6.309799999999999
113,35.05,36.4383,30.3057,113.8939,8.811900000000001,2.4552,2905.8503,27.6344,6.1325999999999965
114,35.379,36.58,30.1538,113.5241,8.723,2.4656,2837.7739,28.2027,6.426199999999998
115,35.706,36.4207,29.8801,111.9844,8.8466,2.4506,2840.371,28.6737,6.540599999999998
116,36.032,36.2134,30.0085,113.7619,8.8651,2.4577,2806.7988,26.7784,6.2048999999999985
117,36.367,36.5757,30.0566,116.5461,8.6285,2.4997,2954.7917,27.2545,6.519099999999998
118,36.694,36.3659,30.2365,114.0697,8.743400000000001,2.4821,2914.0358,28.2256,6.129400000000004
119,37.018,36.3944,29.8499,108.4023,8.904,2.4711,2819.9023,28.2529,6.544499999999996
120,37.347,36.553,30.167,112.2031,8.977300000000001,2.4804,2854.5148,28.8951,6.385999999999996
121,37.672,36.4125,30.2603,118.7357,8.4986,2.4607,2786.8955,27.0735,6.152200000000001
122,38.008,36.4651,30.3182,113.4963,8.765500000000001,2.4795,2937.5285,27.9509,6.146899999999999
