,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,0.0,0.0,37.961,31.1739,57.0515,16.3274,1.122,3900.0,27.9692,3.0
1,0.544,30.0,38.1189,31.4051,35.4513,16.3327,0.8451,3900.0,26.7531,3.0
2,0.817,30.0,38.0392,31.6087,39.0157,16.1566,0.8078,3900.0,26.7531,3.0
3,1.089,30.0,38.272,31.4683,57.6735,15.9125,0.8158,3900.0,26.7531,3.0
4,1.361,30.0,38.0499,31.3516,39.9005,16.5141,1.0608,3900.0,27.9692,3.0
5,1.633,30.0,38.257,31.5272,36.8056,16.1858,0.8184,3900.0,26.7531,3.0
6,1.905,30.0,38.0776,31.5571,58.9176,16.4504,0.7166,3900.0,26.7531,3.0
7,2.178,30.0,38.1933,31.3294,54.571,16.4585,0.8664,3900.0,25.5371,3.0
8,2.45,30.0,37.9808,31.8996,32.7256,16.342,0.9118,3900.0,26.7531,3.0
9,2.722,30.0,38.1887,31.3294,47.2763,16.3288,0.9677,3900.0,29.1852,3.0
10,2.995,30.0,37.832,31.0385,57.716,16.2202,0.9038,3900.0,26.7531,3.0
11,3.267,30.0,37.9554,31.2794,45.5878,16.5274,0.8078,3900.0,27.9692,3.0
12,3.54,30.0,38.0943,31.4127,35.8127,16.4003,0.7358,3900.0,26.7531,3.0
13,3.812,30.0,37.763,30.9221,47.6008,16.2175,1.1064,3900.0,25.5371,3.0
14,4.084,30.0,37.9388,31.5627,57.2173,16.1752,0.8025,3900.0,26.7531,3.0
15,4.357,30.0,38.1083,31.4109,36.4656,16.5565,0.7731,3900.0,26.7531,3.0
16,4.629,30.0,37.9967,31.0573,37.0568,16.2731,0.8451,3600.0,26.7531,3.0
17,4.901,30.0,38.1069,31.5516,58.2956,16.3314,0.7956,3900.0,26.7531,3.0
18,5.174,30.0,38.0887,31.0184,48.1649,16.5115,0.8696,3900.0,26.7531,3.0
19,5.446,30.0,37.8555,31.3128,35.1018,16.4216,1.085,3900.0,26.7531,3.0
20,5.72,30.0,38.1332,31.4183,47.3651,16.3089,0.9997,3900.0,27.9692,3.0
21,5.992,30.0,38.061,31.4683,57.4958,16.4469,1.085,3900.0,26.7531,0.0
22,8.045,30.0,37.9832,31.6904,35.1906,16.252,0.9038,3900.0,26.7531,0.0
23,8.318,30.0,38.0388,31.335,59.3619,15.9765,0.7731,3900.0,26.7531,0.0
24,8.59,30.0,37.9702,31.4283,36.9757,16.4148,1.069,3900.0,26.7531,0.0
25,8.862,30.0,38.342,31.1607,52.9559,16.2043,0.9571,3900.0,26.7531,0.0
26,9.136,30.0,38.0388,31.0739,53.408,16.1725,1.1224,3900.0,25.5371,0.0
27,9.408,30.0,37.9277,31.4633,35.6156,16.2043,1.0237,3600.0,26.7531,0.0
28,9.68,30.0,38.2593,31.5294,57.4958,16.2718,0.9997,3900.0,26.7531,0.0
29,9.953,30.0,38.257,31.6902,34.6806,16.203,1.0424,3900.0,26.7531,0.0
30,10.225,30.0,38.0721,31.4294,56.2517,16.0739,0.9358,3900.0,26.7531,0.0
31,10.499,30.0,37.9888,31.435,51.0975,16.3446,0.8594,3900.0,26.7531,0.0
32,10.772,30.0,37.8666,31.4127,36.257,16.2162,0.8619,3900.0,26.7531,0.0
33,11.045,30.0,37.8951,31.6071,61.1393,16.203,0.9384,3900.0,26.7531,0.0
34,11.319,30.0,37.9777,31.5905,40.0782,16.1791,0.9384,3900.0,27.9692,0.0
35,11.592,30.0,38.3498,31.7293,37.6788,16.272,1.261,3900.0,26.7531,0.0
36,11.866,30.0,37.9388,31.5183,57.318,15.9249,0.816,3900.0,26.7531,0.0
37,12.139,30.0,38.0832,31.4849,40.1671,16.2056,0.918,3900.0,26.7531,0.0
38,12.412,30.0,38.1943,31.5072,36.9679,15.9739,0.765,3900.0,26.7531,0.0
39,12.686,30.0,37.9777,31.2683,57.206,16.2016,0.7678,3900.0,27.9692,0.0
