,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
0,0.0,36.7092,30.2165,134.1153,6.0973,,2284.9599,26.3605,6.492700000000003
1,0.338,36.573,30.3123,135.4969,5.9902999999999995,2.9736,2295.5083,27.224,6.2607
2,0.663,36.686,30.3689,136.5314,6.1362,2.9652,2447.1149,28.9559,6.3171
3,0.971,36.6744,30.2094,134.376,6.206799999999999,3.4565,2347.3566,27.8347,6.465
4,1.291,36.7201,30.3825,134.376,6.2711,3.0197,2426.6608,26.563,6.337600000000002
5,1.611,36.601,29.9921,139.9283,6.1575999999999995,2.9988,2298.3808,26.5185,6.608899999999998
6,1.94,36.7983,30.2569,136.4875,6.0813,2.9694,2487.9748,28.1624,6.541399999999996
7,2.249,36.595,30.1769,139.6828,6.2185999999999995,2.9358999999999997,2432.2353,27.2047,6.418099999999999
8,2.567,36.6687,30.4774,135.8358,6.198099999999999,2.9865999999999997,2287.3408,27.0104,6.191300000000002
9,2.895,36.7453,30.0016,136.4297,6.0855999999999995,2.8799,2466.3615,26.9107,6.7437000000000005
10,3.212,36.6027,30.2,136.6675,6.0687,2.8338,2297.2661,26.435,6.402699999999999
11,3.544,36.5109,30.1177,135.6794,6.102799999999999,2.9358999999999997,2357.5021,27.2892,6.3932
12,3.867,36.6861,30.3156,136.5314,6.0682,3.0317,2489.489,28.4025,6.370500000000003
13,4.177,36.6243,30.0811,134.5539,6.2504,2.9431,2436.9111,27.7595,6.543199999999999
14,4.495,36.6515,30.1075,134.9495,6.2272,2.9985,2453.185,27.2698,6.543999999999997
15,4.813,36.5836,30.1075,136.7481,6.1627,3.0191,2321.6218,27.366,6.476099999999995
16,5.139,36.4996,30.1042,137.7506,6.225899999999999,2.9053,2309.35,26.7755,6.395400000000002
17,5.469,36.6487,30.2925,136.696,6.0973,2.9314,2330.7004,27.0554,6.356199999999998
18,5.797,36.5333,30.0362,135.7315,6.2303999999999995,2.9692,2358.9851,26.8365,6.497099999999996
19,6.125,36.6662,30.3451,137.5136,6.1524,2.9652,2354.7265,27.138,6.321100000000005
20,6.452,36.6391,30.2264,138.625,6.1083,3.0747,2332.3918,27.9327,6.412699999999997
21,6.777,36.5306,30.1401,133.594,6.3312,2.9393,2303.8525,28.703,6.390499999999999
22,7.102,36.3154,30.1769,141.4663,6.200699999999999,3.0189,2469.9489,27.6627,6.138499999999997
23,7.42,36.7763,30.2925,139.5373,6.280799999999999,3.0532,2316.6618,28.0865,6.483799999999999
24,7.747,36.5688,30.2099,133.1757,6.111599999999999,3.005,2285.8303,28.039,6.358900000000002
25,8.076,36.6391,30.3553,139.9283,6.2764,2.9613,2321.5622,28.0854,6.283799999999999
26,8.403,36.4782,30.0396,132.7077,6.2879,3.0080999999999998,2330.821,28.1743,6.438600000000001
27,8.73,36.6549,30.0125,140.475,6.206799999999999,3.0168999999999997,2313.9816,27.8145,6.6423999999999985
28,9.059,36.6354,30.2806,133.6983,6.2249,2.9276,2323.4199,28.0519,6.354799999999997
29,9.388,36.6379,30.276,139.8906,6.2565,2.9621,2357.5639,27.4793,6.361900000000002
30,9.717,36.6595,30.1313,136.4614,6.1806,2.9771,2384.9904,28.1179,6.528200000000002
31,10.042,36.5902,30.2991,139.042,6.256399999999999,2.9676,2352.3261,28.6996,6.291100000000004
32,10.37,36.6397,30.3485,133.7504,6.3201,2.9794,2347.7241,28.6467,6.291199999999996
33,10.697,36.5725,30.4675,141.171,6.1312,2.9703,2292.9353,26.9884,6.104999999999997
34,11.034,36.587,30.3651,138.3989,6.1217,3.0284999999999997,2448.5131,27.2078,6.2219000000000015
35,11.361,36.2651,29.931,135.4969,6.280799999999999,2.9688,2433.4846,26.8671,6.334099999999996
36,11.689,36.5738,30.2229,136.4614,6.1697999999999995,2.992,2419.4848,27.1946,6.350899999999999
37,12.018,36.6734,30.3981,136.2688,6.1335,2.9579999999999997,2450.3129,27.3937,6.275300000000001
38,12.345,36.5798,30.2806,136.6178,6.1052,2.9137999999999997,2431.7094,28.2463,6.299199999999999
39,12.669,36.7107,30.0532,139.6155,6.4006,2.9392,2412.8686,28.1961,6.657500000000002
40,12.996,36.5904,30.1835,135.4518,6.3293,2.9392,2398.9765,28.1504,6.406900000000004
