,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV,power
24,373.591,37.44036667,29.71803333,64.4746,16.81278889,1.315055556,4336.682956,27.33327778,7.722333333,4.38,22.10975144
25,383.039,37.30705556,29.6004,68.26147778,16.2228,1.4136,4195.083844,27.83442222,7.706655556,4.38,22.93255008
26,392.014,37.20446667,29.68442222,71.17737778,15.68243333,1.509044444,4069.833711,27.59175556,7.520044444,4.38,23.66548889
27,400.47,37.25882222,29.95202222,76.52711111,15.15995556,1.608455556,4037.5714,27.63811111,7.3068,4.38,24.38411475
28,417.124,37.227,29.82008889,81.65015556,14.62862222,1.702266667,3949.380833,27.56636667,7.406911111,4.38,24.90181599
29,427.372,37.11261111,30.02438889,85.92417778,14.06218889,1.801688889,3856.688989,28.16773333,7.088222222,4.38,25.33568948
30,436.364,37.06912222,29.91214444,89.77148889,13.48012222,1.9002,3770.632256,27.83163333,7.156977778,4.38,25.61492824
31,447.645,37.03025,30.003025,95.1256625,12.82485,1.99065,3635.088963,27.322,7.027225,4.38,25.52978765
32,457.735,36.9072,29.9669125,100.3564,12.2339875,2.0898875,3542.062688,27.2406625,6.9402875,4.38,25.56765755
33,468.03,36.8675125,30.00315,102.8708375,11.631775,2.1843,3386.555125,28.0316,6.8643625,4.38,25.40728613
34,477.737,36.9602,30.284275,106.341675,10.8531625,2.2795875,3245.6522,27.65765,6.675925,4.38,24.74073357
35,486.109,36.7591875,30.0033,111.8377125,10.273875,2.37915,3219.00635,27.5998875,6.7558875,4.38,24.44308971
36,495.382,36.7135,30.12885,117.349625,9.54925,2.478125,2983.075863,27.4151625,6.58465,4.38,23.66423516
37,570.992,37.9054,29.45284286,116.4331857,13.25488571,2.483528571,3868.542043,27.65124286,8.452557143,8.76,32.91888737
38,581.904,37.70778571,29.40598571,119.7507,12.62848571,2.5758,3717.355457,27.76218571,8.3018,8.76,32.52845349
39,591.292,37.70425714,29.48901429,125.9242286,12.02647143,2.678257143,3512.903271,27.60704286,8.215242857,8.76,32.20998301
40,602.57,37.69307143,29.37598571,130.7119,11.30041429,2.778157143,3473.760671,28.11491429,8.317085714,8.76,31.39432668
41,613.134,37.63371429,29.55191429,133.1502,10.54961429,2.871342857,3327.596843,27.72908571,8.0818,8.76,30.29155964
42,623.881,37.50948571,29.50804286,138.4236286,9.9163,2.968085714,3208.526771,28.00852857,8.001442857,8.76,29.43242837
43,634.775,37.56118571,29.58938571,143.1793286,9.3094,3.066028571,3065.546086,27.48145714,7.9718,8.76,28.54288638
44,645.897,37.47651429,29.63052857,148.8504714,8.699071429,3.164785714,2934.618471,26.99278571,7.845985714,8.76,27.53069698
45,679.82,37.82272857,29.4087,115.7482286,13.30995714,2.479042857,3841.390814,27.63364286,8.414028571,8.76,32.99595417
46,689.292,37.95255714,29.41307143,112.7485571,13.91258571,2.379542857,4031.608557,27.13427143,8.539485714,8.76,33.10559395
47,699.788,37.94611429,29.3405,108.2642143,14.54535714,2.280314286,4121.165229,27.22125714,8.605614286,8.76,33.16798568
48,710.361,37.94584286,29.12841429,102.8208714,15.23082857,2.179171429,4213.564914,27.51722857,8.817428571,8.76,33.19058646
49,721.026,37.97737143,29.09541429,97.60084286,15.86768571,2.079285714,4333.811186,27.39572857,8.881957143,8.76,32.99345221
50,738.693,38.05377143,29.10037143,94.7368,16.44032857,1.971628571,4474.117414,27.76778571,8.9534,8.76,32.41422153
51,819.96,39.42066667,28.4,93.20345,19.18223333,1.97285,5055.6274,26.8875,11.02066667,10.95,37.84366903
52,833.868,39.3703,28.46518333,98.27695,18.44951667,2.0609,4983.557967,27.53846667,10.90511667,10.95,38.02260891
53,845.759,39.24728333,28.45796667,102.9024667,17.90623333,2.173466667,4807.120733,27.12088333,10.78931667,10.95,38.91860127
54,856.731,39.09583333,28.44946667,108.2013667,17.32091667,2.272933333,4658.800067,27.20025,10.64636667,10.95,39.36928886
55,866.724,39.02471667,28.52868333,113.0157833,16.66966667,2.377766667,4570.848833,27.08301667,10.49603333,10.95,39.63657776
56,892.699,38.93863333,28.61695,115.3815833,16.06406667,2.479483333,4460.97685,26.64645,10.32168333,10.95,39.83058557
57,903.07,38.95571667,28.59656667,120.0989667,15.38178333,2.583083333,4314.57955,27.28418333,10.35915,10.95,39.73242815
58,913.528,38.88853333,28.58673333,126.70745,14.78883333,2.676583333,4218.6203,27.28558333,10.3018,10.95,39.58354481
59,922.918,38.8498,28.7358,130.2298167,14.16413333,2.778133333,4132.27605,27.27626667,10.114,10.95,39.34985094
60,933.592,38.73611667,28.76698333,135.37485,13.47738333,2.874216667,3954.9042,27.45905,9.969133333,10.95,38.73691979
61,945.596,38.71156667,28.74373333,138.5215167,12.81423333,2.969916667,3883.654667,27.05531667,9.967833333,10.95,38.05720514
62,961.408,38.7628,28.83676667,140.5250667,12.19843333,3.071666667,3805.008,27.12435,9.926033333,10.95,37.46952105
63,973.758,38.65168333,28.8771,147.6756833,11.61086667,3.169483333,3638.366233,27.02876667,9.774583333,10.95,36.80044839
