,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM),GV,DP
1247,534.109,37.8927,31.8182,11.9495,1.358,27.3214,0,6.0745
1248,534.881,38.0952,31.8097,12.0405,1.3625,27.5093,0,6.2855
1249,535.654,38.1319,32.1287,11.9811,1.3602,27.2426,0,6.0032
1250,536.427,38.0935,31.9268,12.0142,1.3739,27.6568,0,6.1667
1251,537.202,38.0289,31.9573,11.9447,1.3639,27.3905,0,6.0716
1252,537.977,38.0052,31.9268,11.8953,1.3505,27.351,0,6.0784
1253,538.753,37.8439,31.7571,11.9378,1.3557,27.0859,0,6.0868
1254,539.529,38.1267,32.0032,11.8941,1.3668,27.4977,0,6.1235
1255,540.306,38.097,31.8606,11.9963,1.3782,27.4582,0,6.2364
1256,541.084,38.0324,31.8595,11.9782,1.3749,27.4187,0,6.1729
1257,541.863,37.8753,31.7321,12.0519,1.3862,27.3793,0,6.1432
1258,542.642,37.9661,31.7062,12.0745,1.3655,27.5641,0,6.2599
1259,543.422,37.9992,31.9251,11.9336,1.3719,27.5245,0,6.0741
1260,544.203,38.1511,31.8742,12.0276,1.3517,27.7085,0,6.2769
1261,544.987,38.0499,32.0218,11.9483,1.3622,27.2224,0,6.0281
1262,545.769,38.0429,31.8097,11.9986,1.3462,27.629,0,6.2332
1263,546.552,38.1468,31.8844,12.0442,1.3519,27.1444,0,6.2624
1264,547.336,38.09,31.92,11.924,1.3689,27.5499,0,6.17
1265,548.121,37.9416,31.8201,12.0175,1.3803,27.5104,0,6.1215
1266,548.909,37.9835,31.713,12.0025,1.3825,27.4709,0,6.2705
1267,549.695,38.0656,31.8623,11.9515,1.3571,27.4317,0,6.2033
1268,550.482,38.2225,31.8436,12.0041,1.377,27.6133,0,6.3789
1269,551.27,37.8369,31.8759,11.9918,1.3636,27.3533,0,5.961
1270,552.059,37.9936,31.8233,12.0575,1.3609,27.7547,0,6.1703
1271,552.849,38.09,31.7995,11.9784,1.3562,27.2752,0,6.2905
1272,553.639,37.9548,31.8284,11.9329,1.3679,27.2362,0,6.1264
1273,554.43,37.9957,31.8182,12.0232,1.3531,27.636,0,6.1775
1274,555.223,38.0603,31.7791,12.0264,1.3537,27.3776,0,6.2812
1275,556.016,37.9853,31.6095,12.0017,1.3811,27.3385,0,6.3758
1276,556.81,37.8561,31.6909,12.1235,1.3485,27.0811,0,6.1652
1277,557.604,38.046,31.8063,11.9455,1.3676,27.4787,0,6.2397
1278,558.399,37.8875,31.7639,12.0219,1.3625,27.4396,0,6.1236
1279,559.196,37.9783,31.8402,11.8872,1.3637,27.8354,0,6.1381
1280,559.993,37.7648,31.7316,12.0357,1.3767,27.3615,0,6.0332
1281,560.79,37.9259,31.7741,11.9058,1.3616,27.3226,0,6.1518
1282,561.589,38.1284,31.9489,11.886,1.3496,27.5003,0,6.1795
1283,562.388,37.9917,31.8199,11.9782,1.3583,27.4612,0,6.1718
1284,563.188,37.8491,31.7825,12.0098,1.3663,27.2063,0,6.0666
1285,563.989,37.912,31.8267,11.9766,1.3558,27.5989,0,6.0853
1286,564.79,38.0289,31.8793,11.8718,1.3566,27.1291,0,6.1496
1287,565.593,38.0062,31.808,12.0438,1.3676,27.5206,0,6.1982
1288,566.396,38.1371,31.9675,11.9701,1.3703,27.4816,0,6.1696
1289,567.2,38.076,31.8691,11.9527,1.3551,27.657,0,6.2069
1290,568.006,38.2244,32.0099,12.0385,1.3486,27.4037,0,6.2145
1291,568.812,37.987,31.8088,11.9188,1.3609,27.3649,0,6.1782
1292,569.618,38.1389,31.9047,12.068,1.3688,27.1127,0,6.2342
1293,570.425,37.9189,31.6654,11.96,1.3615,27.2875,0,6.2535
1294,571.233,37.7723,31.8131,12.0086,1.3725,27.6747,0,5.9592
1295,572.043,37.9451,31.9675,11.9001,1.3848,27.2103,0,5.9776
1296,572.853,37.9643,31.7231,11.9888,1.3626,27.1718,0,6.2412
1297,573.663,37.7007,31.8301,11.9956,1.3617,27.1335,0,5.8706
1298,574.474,38.0778,31.8827,12.0118,1.3583,27.5185,0,6.1951
1299,575.286,37.8805,31.7469,11.9588,1.3647,27.0569,0,6.1336
1300,576.099,37.8875,31.9302,11.9354,1.3741,27.4409,0,5.9573
1301,576.913,37.8893,31.7978,12.0599,1.3757,27.4022,0,6.0915
1302,577.727,38.0202,31.7333,11.9219,1.3659,27.5741,0,6.2869
1303,578.542,37.8194,31.8238,12.0778,1.3557,26.9046,0,5.9956
1304,579.358,38.0795,31.9366,12.0179,1.3502,27.7063,0,6.1429
1305,580.175,38.0343,31.847,11.9584,1.3815,27.6673,0,6.1873
