,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
0,0.0,31.3125,26.2569,102.1109,6.7494,,2161.2275,24.897,5.055599999999998
1,0.295,31.3041,26.5607,92.2255,6.8145999999999995,2.0687,2220.7416,28.0067,4.743399999999998
2,0.569,31.4013,26.7853,91.2871,6.747599999999999,2.1693,2161.7985,27.146,4.616
3,0.849,31.5171,26.5742,91.2871,6.7248,2.0101,2187.1201,26.5128,4.942899999999998
4,1.128,31.3027,26.28,89.9316,6.826,1.9604,2213.6408,25.0888,5.0227
5,1.409,31.3885,26.5541,93.9737,6.845199999999999,1.9876999999999998,2256.4873,28.9146,4.834400000000002
6,1.68,31.4947,26.6301,92.2516,6.7957,2.2363,2333.5407,25.3961,4.864600000000003
7,1.951,31.3864,26.5805,101.2533,6.8176,1.9974999999999998,2221.5639,28.0887,4.805899999999998
8,2.227,31.3566,26.469,101.9225,6.7256,2.1121,2204.2617,27.4483,4.887599999999999
9,2.506,31.5146,26.564,103.8468,6.8083,1.9922,2199.7897,25.8863,4.950600000000001
10,2.789,31.62,26.8763,100.958,6.8586,1.8625999999999998,2254.8479,25.3661,4.7437000000000005
11,3.068,31.5127,26.6726,101.1404,6.8892999999999995,1.978,2276.5791,27.3106,4.8401
12,3.343,31.4319,26.34,100.3063,6.7801,2.0108,2212.77,25.6263,5.091899999999999
13,3.625,31.4663,26.5233,101.5575,6.8224,2.064,2266.1462,25.3415,4.943000000000001
14,3.905,31.5405,26.6659,98.9769,6.9437,2.0386,2296.6799,28.7324,4.874600000000001
15,4.175,31.4753,26.6483,97.1261,6.758699999999999,2.2012,2178.6494,27.2372,4.827000000000002
16,4.457,31.3925,26.374,101.6357,6.8396,2.0348,2222.7709,25.5903,5.0184999999999995
17,4.741,31.6043,26.5838,97.4128,6.9901,1.9063999999999999,2330.4589,27.9467,5.020499999999998
18,5.012,31.3724,26.374,102.7827,6.9455,2.0202,2241.259,25.1095,4.9984
19,5.296,31.495,26.3692,97.4875,6.898899999999999,1.9215,2321.6218,28.2168,5.125800000000002
20,5.568,31.4075,26.5277,103.4319,6.8115,2.0764,2212.1718,28.6152,4.8797999999999995
21,5.847,31.4681,26.6268,101.6618,6.7634,1.8913,2242.4318,26.6289,4.8413
22,6.129,31.5368,26.5878,102.3913,6.9089,1.9885,2294.9816,24.8495,4.948999999999998
23,6.411,31.4122,26.4385,98.3773,6.9483999999999995,1.9446999999999999,2352.9411,27.2454,4.973699999999997
24,6.682,31.4813,26.5145,104.4339,6.8145999999999995,1.9850999999999999,2245.9572,26.2287,4.966799999999999
25,6.966,31.445,26.4961,101.4011,6.9326,2.0255,2304.9147,24.7904,4.948900000000002
26,7.247,31.4656,26.674,98.3065,6.9158,1.9611999999999998,2143.7758,27.1359,4.791599999999999
27,7.535,31.3103,26.4683,91.8574,6.783099999999999,1.8379999999999999,2264.4926,25.8039,4.842000000000002
28,7.817,31.4701,26.6523,93.1639,6.913799999999999,2.0112,2335.7814,25.4457,4.817799999999998
29,8.095,31.3752,26.5708,93.0079,6.9357999999999995,2.0286,2344.9711,28.1624,4.804400000000001
30,8.368,31.4249,26.4484,92.8377,6.7847,1.9542,2275.1403,26.3824,4.9765000000000015
31,8.649,31.4096,26.5267,91.9441,6.8823,2.145,2306.4501,25.8167,4.882899999999999
32,8.929,31.3767,26.6466,93.2421,6.938199999999999,2.0249,2343.2009,28.3154,4.7301
33,9.201,31.1739,26.3604,91.5416,6.8681,1.9924,2301.2604,24.9686,4.813500000000001
34,9.485,31.2615,26.6928,93.972,6.8594,1.9577,2182.4531,26.2646,4.568700000000003
35,9.774,31.3035,26.498,101.0806,6.882,1.8699,2356.8229,26.1367,4.8054999999999986
36,10.052,31.5147,26.6285,99.9368,6.8656999999999995,1.9488999999999999,2168.4135,29.1549,4.886200000000002
37,10.339,31.5093,26.7609,92.434,6.6972,2.0386,2275.9458,27.3577,4.7484
38,10.62,31.4414,26.5244,90.5392,6.7562999999999995,1.9810999999999999,2321.0234,26.8306,4.917000000000002
39,10.9,31.3885,26.4286,90.46,6.769699999999999,1.9874999999999998,2335.842,26.4993,4.959900000000001
40,11.18,31.5594,26.5131,93.3724,6.8862,2.0047,2192.4482,26.8365,5.046299999999999
41,11.47,31.5509,26.6088,100.7635,6.7931,1.9852999999999998,2350.9128,26.1367,4.9421
42,11.752,31.4551,26.7291,99.0029,6.924099999999999,1.988,2188.5031,25.9212,4.726000000000003
43,12.044,31.424,26.706,94.0794,6.8652,1.9333,2218.0053,25.6912,4.718
44,12.336,31.4889,26.4011,96.709,6.876799999999999,1.9727,2216.0393,26.3728,5.087800000000001
