label,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM),GV,DP,Power
1119,40.806,38.3204,31.8453,15.1084,1.0411,27.5498,0,6.4751,15.72935524
1120,41.485,38.3222,31.6824,15.0711,1.038,27.5074,0,6.6398,15.6438018
1121,42.166,38.3675,31.8674,15.054,1.0227,27.1905,0,6.5001,15.3957258
1122,42.846,38.1738,31.6375,15.1115,1.0332,27.423,0,6.5363,15.6132018
1123,43.528,38.5299,31.8793,15.1119,1.0432,27.6547,0,6.6506,15.76473408
1124,44.211,38.385,31.7435,15.0508,1.051,27.3389,0,6.6415,15.8183908
1125,44.894,38.1843,31.6587,15.0815,1.0324,27.297,0,6.5256,15.5701406
1126,45.577,38.5229,31.8182,15.1322,1.0331,27.8003,0,6.7047,15.63307582
1127,46.261,38.3396,31.7537,15.0352,1.0321,27.7577,0,6.5859,15.51782992
1128,46.945,38.3344,31.7825,15.1597,1.0425,27.7153,0,6.5519,15.80398725
1129,47.63,38.1406,31.5755,15.157,1.0427,27.4016,0,6.5651,15.8042039
1130,48.316,38.2227,31.7333,14.9762,1.0287,27.0889,0,6.4894,15.40601694
1131,49.002,38.3326,31.6688,15.0599,1.0341,27.5885,0,6.6638,15.57344259
1132,49.689,38.406,31.7223,15.0249,1.0314,27.2763,0,6.6837,15.49668186
1133,50.377,38.2262,31.6039,15.1418,1.0399,27.5044,0,6.6223,15.74595782
1134,51.065,38.3214,31.7231,15.032,1.0444,27.4625,0,6.5983,15.6994208
1135,51.754,38.3,31.5823,15.0759,1.0535,27.4206,0,6.7177,15.88246065
1136,52.445,38.3885,31.6621,15.218,1.0324,26.842,0,6.7264,15.7110632
1137,53.136,38.2856,31.6874,15.082,1.0246,27.3371,0,6.5982,15.4530172
1138,53.827,38.406,31.6528,15.2227,1.0412,27.8308,0,6.7532,15.84987524
1139,54.519,38.3012,31.8402,15.151,1.0275,27.5213,0,6.461,15.5676525
1140,55.214,38.1651,31.7978,15.1641,1.0364,27.2125,0,6.3673,15.71607324
1141,55.907,38.4042,31.5704,15.0161,1.0222,27.1712,0,6.8338,15.34945742
1142,56.602,38.2977,31.7204,15.0883,1.0377,27.6618,0,6.5773,15.65712891
1143,57.297,38.279,31.727,15.0975,1.0402,27.3543,0,6.552,15.7044195
1144,57.993,38.2384,31.4957,15.0969,1.0442,27.3128,0,6.7427,15.76418298
1145,58.689,38.2663,31.7147,15.176,1.0462,27.2714,0,6.5516,15.8771312
1146,59.386,38.5405,31.8436,15.0604,1.0351,26.9657,0,6.6969,15.58902004
1147,60.083,38.3082,31.696,15.1701,1.0482,27.4528,0,6.6122,15.90129882
1148,60.781,38.207,31.713,15.0354,1.0363,27.4113,0,6.494,15.58118502
1149,61.481,38.3311,31.7147,15.0895,1.0302,27.3698,0,6.6164,15.5452029
1150,62.181,38.5369,31.6705,15.097,1.0447,27.3284,0,6.8664,15.7718359
1151,62.881,38.3675,31.5416,15.1869,1.0474,27.2871,0,6.8259,15.90675906
1152,63.583,38.275,31.7571,15.0815,1.0547,27.2458,0,6.5179,15.90645805
1153,64.285,38.385,31.6584,15.0957,1.0382,27.2047,0,6.7266,15.67235574
1154,64.988,38.2855,31.6145,14.9832,1.028,27.1636,0,6.671,15.4027296
1155,65.691,38.282,31.7073,15.158,1.0396,27.6442,0,6.5747,15.7582568
1156,66.397,38.3623,31.7707,15.1434,1.0424,27.6024,0,6.5916,15.78548016
