,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM),,
0,0,42.7566,36.1187,6.6379,3534.1516,25.6949,57.9715368,57.9715368,13.9911,0,6.6379,3534.1516,36.1187,25.567,3258,0,1.0223,0,1.0223,68.7043307128,21.4550042998,14.30310153,0.3122802315,0.6666557289,14.1911,42.7566,36.1187,0,1.1223,25.6949,3334.1516,42.35349893,42.7566
1,1.673457,42.99,36.2903,6.6997,3534.1516,25.6949,54.321504,54.321504,13.978,0.11,6.6379,3534.1516,36.1187,25.567,3258,0,1.0223,0,0.944,69.3950736301,20.1041436233,13.195232,0.2897056314,0.6563438984,14.178,42.99,36.2903,0,1.044,25.6949,3334.1516,42.34788782,42.99
2,1.693468,42.566,36.1015,6.4645,3621.0329,26.124,54.2096256,54.2096256,14.0735,0.112,6.6379,3534.1516,36.1187,27.8932872796,3544.8130258057,0,1.0223,0,0.9416,67.8812102365,20.5559473216,13.2516076,0.3028223458,0.6446605156,14.2735,42.566,36.1015,0,1.0416,26.124,3421.0329,42.34461235,42.566
3,1.895375,43.012,36.429,6.583,3621.0329,26.124,52.9556552,52.9556552,14.4626,0.11,6.6379,3534.1516,36.1187,27.8932872796,3544.8130258057,0,1.0223,0,0.9147,69.2278116282,20.0804496733,13.22894022,0.2900633315,0.6587970108,14.6626,43.012,36.429,0,1.0147,26.124,3421.0329,42.34372608,43.012
4,2.112629,42.6399,36.0178,6.6221,3690.6003,25.7159,55.1839,55.1839,14.4655,0.12,6.6379,3534.1516,36.1187,27.8932872796,3544.8130258057,0,1.0223,0,0.9625,68.5837395471,21.3274052009,13.92304375,0.3109688294,0.6528240833,14.6655,42.6399,36.0178,0,1.0625,25.7159,3490.6003,42.34513713,42.6399
5,2.357993,42.6625,35.9702,6.6923,3690.6003,25.7159,52.7785144,52.7785144,14.3919,0.109,6.6379,3534.1516,36.1187,28.7868218314,3629.1458603994,0,1.0223,0,0.9109,69.369011116,20.3977747587,13.10958171,0.2940473625,0.6426966601,14.5919,42.6625,35.9702,0,1.0109,25.7159,3490.6003,42.34858323,42.6625
6,2.599789,42.9338,36.2304,6.7034,3698.728,26.2811,53.622264,53.622264,14.5226,0.114,6.6379,3534.1516,36.1187,28.7868218314,3629.1458603994,0,1.0223,0,0.929,71.0205421556,20.7695056152,13.4914954,0.2924436365,0.6495819231,14.7226,42.9338,36.2304,0,1.029,26.2811,3498.728,42.35331133,42.9338
7,2.824998,42.8788,36.1547,6.7241,3698.728,26.2811,54.6897704,54.6897704,14.4654,0.11,6.6379,3534.1516,36.1187,28.7868218314,3629.1458603994,0,1.0223,0,0.9519,71.2571858397,21.1829827516,13.76961426,0.2972750397,0.6500318875,14.6654,42.8788,36.1547,0,1.0519,26.2811,3498.728,42.3580812,42.8788
8,3.05439,42.9478,36.2531,6.6947,3709.2304,25.8351,57.1510952,57.1510952,14.5298,0.124,6.6379,3534.1516,36.1187,27.1343766887,3641.9675482568,0,1.0223,0,1.0047,69.7175261687,22.1991826904,14.59809006,0.3184160987,0.6575958342,14.7298,42.9478,36.2531,0,1.1047,25.8351,3509.2304,42.36163475,42.9478
9,3.313016,42.6863,35.8993,6.787,3711.2177,25.8351,55.9484024,55.9484024,14.5194,0.114,6.6379,3534.1516,36.1187,27.1343766887,3641.9675482568,0,1.0223,0,0.9789,70.7547987102,21.7436644864,14.21304066,0.3073101031,0.6536635381,14.7194,42.6863,35.8993,0,1.0789,25.8351,3511.2177,42.36330532,42.6863
10,3.533628,42.6515,36.1193,6.5322,3711.2177,25.6588,53.5430168,53.5430168,14.4459,0.117,6.6379,3534.1516,36.1187,27.1343766887,3641.9675482568,0,1.0223,0,0.9273,67.4280482409,20.8088406987,13.39568307,0.3086080829,0.6437496093,14.6459,42.6515,36.1193,0,1.0273,25.6588,3511.2177,42.36325519,42.6515
11,3.775856,42.7639,36.2433,6.5206,3697.7219,25.6588,54.088424,54.088424,14.4274,0.11,6.6379,3534.1516,36.1187,26.6876724515,3649.8236895237,0,1.0223,0,0.939,67.2985763877,20.944364639,13.5473286,0.3112155674,0.6468245198,14.6274,42.7639,36.2433,0,1.039,25.6588,3497.7219,42.36211554,42.7639
12,4.019848,42.9142,36.2072,6.707,3697.7219,25.6883,56.4798248,56.4798248,14.5273,0.11,6.6379,3534.1516,36.1187,26.6876724515,3649.8236895237,0,1.0223,0,0.9903,69.458820442,21.8703736932,14.38638519,0.3148681989,0.6578024405,14.7273,42.9142,36.2072,0,1.0903,25.6883,3497.7219,42.36047406,42.9142
13,4.238738,42.6753,36.1956,6.4797,3705.8493,25.6883,54.321504,54.321504,14.5287,0.116,6.6379,3534.1516,36.1187,26.6876724515,3649.8236895237,0,1.0223,0,0.944,66.9189250291,21.0808519288,13.7150928,0.3150207795,0.6505948074,14.7287,42.6753,36.1956,0,1.044,25.6883,3505.8493,42.3586586,42.6753
14,4.477309,42.8788,36.1968,6.682,3705.8493,25.6527,53.132796,53.132796,14.5015,0.115,6.6379,3534.1516,36.1187,26.6983712773,3665.389829584,0,1.0223,0,0.9185,69.0835934585,20.6195433219,13.31962775,0.2984723621,0.6459710354,14.7015,42.8788,36.1968,0,1.0185,25.6527,3505.8493,42.35669153,42.8788
15,4.728694,42.7847,36.2488,6.5359,3708.4399,25.6527,52.7085904,52.7085904,14.4677,0.11,6.6379,3534.1516,36.1187,26.6983712773,3665.389829584,0,1.0223,0,0.9094,67.4533054591,20.4692186213,13.15692638,0.3034576064,0.6427664203,14.6677,42.7847,36.2488,0,1.0094,25.6527,3508.4399,42.35432187,42.7847
16,4.947299,42.8476,36.1773,6.6703,3708.4399,25.914,54.7457096,54.7457096,14.4881,0.111,6.6379,3534.1516,36.1187,26.6983712773,3665.389829584,0,1.0223,0,0.9531,69.6553964387,21.2603275838,13.80860811,0.3052215431,0.6495011921,14.6881,42.8476,36.1773,0,1.0531,25.914,3508.4399,42.35135994,42.8476
17,5.180721,43.0492,36.2964,6.7528,3706.6386,25.914,58.1346928,58.1346928,14.4727,0.116,6.6379,3534.1516,36.1187,26.7710812614,3673.3407154787,0,1.0223,0,1.0258,70.5853675044,22.5654627182,14.84609566,0.3196903766,0.6579123081,14.6727,43.0492,36.2964,0,1.1258,25.914,3506.6386,42.34817096,43.0492
18,5.43271,43.0163,36.3679,6.6484,3706.6386,25.4997,51.8601792,51.8601792,14.4845,0.113,6.6379,3534.1516,36.1187,26.7710812614,3673.3407154787,0,1.0223,0,0.8912,68.2988626975,20.1299582733,12.9085864,0.294733433,0.6412624519,14.6845,43.0163,36.3679,0,0.9912,25.4997,3506.6386,42.34566264,43.0163
19,5.652628,42.6265,36.1101,6.5164,3702.6003,25.4997,54.8389416,54.8389416,14.4108,0.114,6.6379,3534.1516,36.1187,26.7710812614,3673.3407154787,0,1.0223,0,0.9551,66.8346976479,21.2629987528,13.76375508,0.3181431128,0.6473101579,14.6108,42.6265,36.1101,0,1.0551,25.4997,3502.6003,42.34448042,42.6265
20,5.889148,42.9173,36.1901,6.7272,3702.6003,25.978,53.5849712,53.5849712,14.4718,0.111,6.6379,3534.1516,36.1187,26.7696484466,3670.5793937174,0,1.0223,0,0.9282,70.4704071852,20.7767900428,13.43272476,0.2948299985,0.6465255091,14.6718,42.9173,36.1901,0,1.0282,25.978,3502.6003,42.34417185,42.9173
21,6.134273,42.8751,36.3545,6.5206,3700.364,25.978,55.207208,55.207208,14.5264,0.116,6.6379,3534.1516,36.1187,26.7696484466,3670.5793937174,0,1.0223,0,0.963,68.1357825541,21.392859983,13.9889232,0.3139739382,0.653906173,14.7264,42.8751,36.3545,0,1.063,25.978,3500.364,42.34320565,42.8751
22,6.356097,43.0969,36.4168,6.6801,3700.364,25.7741,53.3798608,53.3798608,14.5254,0.113,6.6379,3534.1516,36.1187,26.7696484466,3670.5793937174,0,1.0223,0,0.9238,69.3892258966,20.6847607292,13.41856452,0.2980975859,0.6487174155,14.7254,43.0969,36.4168,0,1.0238,25.7741,3500.364,42.33951894,43.0969
23,6.593138,42.6026,35.9952,6.6074,3700.9936,25.7741,54.7596944,54.7596944,14.4163,0.113,6.6379,3534.1516,36.1187,26.8023175299,3653.4111450496,0,1.0223,0,0.9534,68.5741483049,21.2230583128,13.74450042,0.3094906585,0.6476211024,14.6163,42.6026,35.9952,0,1.0534,25.7741,3500.9936,42.33083224,42.6026
24,6.842608,42.9998,36.3606,6.6392,3700.9936,25.8019,51.3007872,51.3007872,14.4669,0.114,6.6379,3534.1516,36.1187,26.8023175299,3653.4111450496,0,1.0223,0,0.8792,69.0050234541,19.8824995312,12.71929848,0.2881311901,0.6397233135,14.6669,42.9998,36.3606,0,0.9792,25.8019,3500.9936,42.31491643,42.9998
25,7.064976,42.899,36.2421,6.6569,3705.1232,25.8019,58.2978488,58.2978488,14.5167,0.112,6.6379,3534.1516,36.1187,26.8023175299,3653.4111450496,0,1.0223,0,1.0293,69.2036814215,22.6195416508,14.94203931,0.3268546006,0.6605809941,14.7167,42.899,36.2421,0,1.1293,25.8019,3505.1232,42.29030338,42.899
26,7.298258,42.982,36.2964,6.6856,3705.1232,25.7509,55.347056,55.347056,14.5186,0.116,6.6379,3534.1516,36.1187,26.6478981543,3668.1933559112,0,1.0223,0,0.966,69.3883745438,21.4746352432,14.0249676,0.3094846274,0.6530945667,14.7186,42.982,36.2964,0,1.066,25.7509,3505.1232,42.2572028,42.982
27,7.550711,42.811,36.2078,6.6032,3711.4699,25.7509,55.3890104,55.3890104,14.4861,0.116,6.6379,3534.1516,36.1187,26.6478981543,3668.1933559112,0,1.0223,0,0.9669,68.4653767615,21.5277264471,14.00661009,0.3144323082,0.6506311813,14.6861,42.811,36.2078,0,1.0669,25.7509,3511.4699,42.21795973,42.811
28,7.777629,42.7462,36.0264,6.7198,3711.4699,25.7017,53.7994048,53.7994048,14.4691,0.113,6.6379,3534.1516,36.1187,26.6478981543,3668.1933559112,0,1.0223,0,0.9328,69.6381571758,20.9099036287,13.49677648,0.300265034,0.6454729166,14.6691,42.7462,36.0264,0,1.0328,25.7017,3511.4699,42.17671758,42.7462
29,8.012825,43.0871,36.4693,6.6178,3703.8928,25.7017,52.3263392,52.3263392,14.4688,0.113,6.6379,3534.1516,36.1187,26.9025222759,3664.723297122,0,1.0223,0,0.9012,68.4977943399,20.2958562504,13.03928256,0.2962994129,0.6424603327,14.6688,43.0871,36.4693,0,1.0012,25.7017,3503.8928,42.13846524,43.0871
30,8.262857,42.6613,36.0227,6.6386,3703.8928,25.7501,52.9556552,52.9556552,14.4821,0.116,6.6379,3534.1516,36.1187,26.9025222759,3664.723297122,0,1.0223,0,0.9147,68.8597680378,20.5399495171,13.24677687,0.2982866498,0.6449274308,14.6821,42.6613,36.0227,0,1.0147,25.7501,3503.8928,42.10782386,42.6613
31,8.481943,42.8446,36.1852,6.6594,3700.6159,25.7501,51.1609392,51.1609392,14.4188,0.11,6.6379,3534.1516,36.1187,26.9025222759,3664.723297122,0,1.0223,0,0.8762,69.092750531,19.8262754906,12.63375256,0.2869516026,0.6372226879,14.6188,42.8446,36.1852,0,0.9762,25.7501,3500.6159,42.08790786,42.8446
32,8.715613,42.9417,36.2182,6.7235,3700.6159,25.8034,53.2539976,53.2539976,14.5386,0.117,6.6379,3534.1516,36.1187,26.6881482697,3684.1556502517,0,1.0223,0,0.9211,69.9552407416,20.6373933689,13.39150446,0.295008539,0.6488951497,14.7386,42.9417,36.2182,0,1.0211,25.8034,3500.6159,42.07952292,42.9417
33,8.971913,42.6387,35.8358,6.8029,3705.0285,25.8034,54.0464696,54.0464696,14.4906,0.109,6.6379,3534.1516,36.1187,26.6881482697,3684.1556502517,0,1.0223,0,0.9381,70.8464474989,20.9694722716,13.59363186,0.2959848096,0.6482581766,14.6906,42.6387,35.8358,0,1.0381,25.8034,3505.0285,42.08094116,42.6387
34,9.188321,42.6362,36.0728,6.5634,3705.0285,25.9028,55.3750256,55.3750256,14.4415,0.116,6.6379,3534.1516,36.1187,26.6881482697,3684.1556502517,0,1.0223,0,0.9666,68.4207952125,21.4849382847,13.9591539,0.3140118179,0.6497181288,14.6415,42.6362,36.0728,0,1.0666,25.9028,3505.0285,42.08859216,42.6362
35,9.423883,42.7389,36.206,6.5329,3699.2312,25.9028,51.7249928,51.7249928,14.4444,0.11,6.6379,3534.1516,36.1187,26.7710474945,3683.1020241334,0,1.0223,0,0.8883,68.0771363208,20.0373614175,12.83096052,0.2943332005,0.6403518034,14.6444,42.7389,36.206,0,0.9883,25.9028,3499.2312,42.09863121,42.7389
36,9.672174,42.9906,36.3093,6.6813,3699.2312,25.9553,55.7992312,55.7992312,14.5748,0.11,6.6379,3534.1516,36.1187,26.7710474945,3683.1020241334,0,1.0223,0,0.9757,69.8906023097,21.6156504206,14.22063236,0.3092783537,0.6578859337,14.7748,42.9906,36.3093,0,1.0757,25.9553,3499.2312,42.10845633,42.9906
37,9.890979,42.8482,36.1956,6.6526,3713.7905,25.9553,54.414736,54.414736,14.4475,0.115,6.6379,3534.1516,36.1187,26.7710474945,3683.1020241334,0,1.0223,0,0.946,69.5665695025,21.1622843187,13.667335,0.3042019244,0.6458345798,14.6475,42.8482,36.1956,0,1.046,25.9553,3513.7905,42.11719832,42.8482
38,10.128562,42.7004,36.096,6.6044,3713.7905,25.4505,56.46584,56.46584,14.4179,0.114,6.6379,3534.1516,36.1187,26.7807591507,3665.7062755083,0,1.0223,0,0.99,67.6799711716,21.9599734964,14.273721,0.3244678317,0.6499880796,14.6179,42.7004,36.096,0,1.09,25.4505,3513.7905,42.12517138,42.7004
39,10.377126,42.6283,36.2335,6.3948,3694.0166,25.4505,55.3610408,55.3610408,14.4361,0.113,6.6379,3534.1516,36.1187,26.7807591507,3665.7062755083,0,1.0223,0,0.9663,65.3595403217,21.4156719967,13.94960343,0.3276594647,0.651373603,14.5963705002,42.6283,35.9257408094,0,1.02547999,27.5870117397,3506.0468877793,42.13286799,42.6283
40,10.599351,42.9075,36.1804,6.7271,3694.0166,25.73,56.9879392,56.9879392,14.5411,0.116,6.6379,3534.1516,36.1187,26.7807591507,3665.7062755083,0,1.0223,0,1.0012,69.7965394341,22.0450157013,14.55854932,0.3158468297,0.6604009504,14.6069652764,42.9075,35.9492628614,0,1.0234695658,28.0229993595,3509.7930521403,42.14021954,42.9075
41,10.837222,42.8745,36.2653,6.6092,3703.7983,25.73,55.906448,55.906448,14.4103,0.11,6.6379,3534.1516,36.1187,26.7721837921,3655.1114164133,0,1.0223,0,0.978,68.4769627758,21.6839224723,14.0932734,0.3166601086,0.649941145,14.6256621124,42.8745,35.9981659077,0,1.024088615,28.3718031312,3505.291383952,42.14669987,42.8745
42,11.085731,43.001,36.2524,6.7486,3703.7983,25.8884,54.6338312,54.6338312,14.4606,0.115,6.6379,3534.1516,36.1187,26.7721837921,3655.1114164133,0,1.0223,0,0.9507,70.4683402088,21.1903242378,13.74769242,0.300707015,0.6487721597,14.647478375,43.001,36.0604379668,0,1.0276276928,28.6362514459,3496.3925024778,42.15197926,43.001
43,11.308215,42.7969,36.1993,6.5976,3709.9265,25.8884,52.7878376,52.7878376,14.5342,0.11,6.6379,3534.1516,36.1187,26.7721837921,3655.1114164133,0,1.0223,0,0.9111,68.7678928533,20.5082118471,13.24210962,0.2982236476,0.6456979145,14.6680866424,42.7969,36.1249917397,0,1.0339068039,28.8201751899,3495.2219904532,42.15631798,42.7969
44,11.53886,43.0163,36.3722,6.6441,3709.9265,25.8679,54.1443632,54.1443632,14.505,0.117,6.6379,3534.1516,36.1187,26.7425546276,3655.8130103918,0,1.0223,0,0.9402,69.2366713186,21.0352255617,13.637601,0.3038162459,0.648322071,14.684382249,43.0163,36.1831115422,0,1.0421964924,28.9282931235,3503.5315064319,42.16050458,43.0163
45,11.793823,42.96,36.239,6.721,3707.9555,25.8679,53.389184,53.389184,14.5375,0.118,6.6379,3534.1516,36.1187,26.7425546276,3655.8130103918,0,1.0223,0,0.924,70.1019749906,20.7308168151,13.43265,0.2957237199,0.6479556556,14.6948130857,42.96,36.2291952029,0,1.0512573294,28.9660890938,3511.2467239531,42.1656036,42.96
46,12.016663,42.8818,36.1693,6.7125,3707.9555,25.6298,54.3494736,54.3494736,14.5229,0.114,6.6379,3534.1516,36.1187,26.7425546276,3655.8130103918,0,1.0223,0,0.9446,69.3619599126,21.1036936095,13.71833134,0.3042545746,0.6500440915,14.6994114275,42.8818,36.2608641168,0,1.0595813068,28.9396816208,3511.8602341946,42.17256159,42.8818
47,12.254186,42.6289,36.0227,6.6062,3705.5019,25.6298,51.0956768,51.0956768,14.4375,0.112,6.6379,3534.1516,36.1187,26.7428702593,3658.8789815747,0,1.0223,0,0.8748,68.1768475862,19.8271281609,12.629925,0.290819081,0.6370022374,14.6994423699,42.6289,36.2783865171,0,1.065753731,28.8556870701,3508.4545315963,42.18180549,42.6289
48,12.502593,42.9387,36.4082,6.5305,3705.5019,26.0359,54.9228504,54.9228504,14.4446,0.112,6.6379,3534.1516,36.1187,26.7428702593,3658.8789815747,0,1.0223,0,0.9569,68.3997656793,21.3122217386,13.82203774,0.3115832566,0.6485498279,14.6967538392,42.9387,36.2835794801,0,1.0687503641,28.7210793092,3506.1582917034,42.1932371,42.9387
49,12.722363,42.4071,36.0258,6.3813,3699.9548,26.0359,50.918536,50.918536,14.4235,0.116,6.6379,3534.1516,36.1187,26.7428702593,3658.8789815747,0,1.0223,0,0.871,66.7100156935,19.7288124607,12.5628685,0.2957398864,0.6367777343,14.6930457784,42.4071,36.2788768667,0,1.0680825148,28.5430520469,3505.6993885442,42.20660077,42.4071
50,12.958793,42.7804,36.1975,6.5829,3699.9548,25.6855,57.1091408,57.1091408,14.3611,0.113,6.6379,3534.1516,36.1187,26.7483984738,3659.9751243852,0,1.0223,0,1.0038,68.0646825632,22.1274140449,14.41567218,0.3250939138,0.6514847217,14.689337881,42.7804,36.2669491562,0,1.0638359637,28.3288900475,3504.7049985192,42.22174564,42.7804
51,13.210696,42.7309,36.1889,6.542,3687.9721,25.6855,55.3750256,55.3750256,14.4535,0.114,6.6379,3534.1516,36.1187,26.7483984738,3659.9751243852,0,1.0223,0,0.9666,67.6077076429,21.3860306241,13.9707531,0.3163253329,0.6532653649,14.6858017382,42.7309,36.2504987161,0,1.0566724038,28.0858491741,3501.6856162762,42.23862723,42.7309
52,13.42987,42.8397,36.228,6.6117,3687.9721,25.8185,55.8924632,55.8924632,14.472,0.113,6.6379,3534.1516,36.1187,26.7483984738,3659.9751243852,0,1.0223,0,0.9777,68.7405708075,21.5858668542,14.1492744,0.3140193135,0.6554878938,14.6819590791,42.8397,36.23200861,0,1.0478030138,27.8210417369,3496.9394600209,42.25719621,42.8397
53,13.667431,42.8,36.1321,6.6679,3708.4399,25.8185,52.8857312,52.8857312,14.5154,0.113,6.6379,3534.1516,36.1187,26.7735175885,3658.1179090784,0,1.0223,0,0.9132,69.3717437255,20.538010705,13.25546328,0.2960572937,0.6454112558,14.6771737963,42.8,36.2136355256,0,1.0388345071,27.5413284721,3492.1681731347,42.2772602,42.8
54,13.917706,42.9173,36.1791,6.7382,3708.4399,25.9481,55.3190864,55.3190864,14.5273,0.112,6.6379,3534.1516,36.1187,26.7735175885,3658.1179090784,0,1.0223,0,0.9654,70.5134568933,21.4829966968,14.02465542,0.3046652035,0.6528258426,14.6712221233,42.9173,36.1971723158,0,1.0313999755,27.2532226783,3491.6498569736,42.29844588,42.9173
55,14.134241,42.8635,36.2274,6.6361,3711.7307,25.9481,54.4706752,54.4706752,14.5391,0.112,6.6379,3534.1516,36.1187,26.7735175885,3658.1179090784,0,1.0223,0,0.9472,69.3610327755,21.172290058,13.77143552,0.3052476183,0.6504461956,14.6646285357,42.8635,36.1839055503,0,1.0267159352,26.9628098706,3498.9191352899,42.32021858,42.8635
56,14.36785,42.5929,36.0288,6.5641,3711.7307,26.0034,52.1631832,52.1631832,14.4792,0.112,6.6379,3534.1516,36.1187,26.7742473805,3651.2649288924,0,1.0223,0,0.8977,68.6944423626,20.2753874632,12.99797784,0.2951532433,0.641071736,14.6586012334,42.5929,36.174483507,0,1.0253117556,26.6756829257,3509.6173048743,42.34159311,42.5929
57,14.619867,42.6796,36.0013,6.6783,3695.6799,26.0034,53.995192,53.995192,14.405,0.115,6.6379,3534.1516,36.1187,26.7742473805,3651.2649288924,0,1.0223,0,0.937,69.9861888048,20.8967167117,13.497485,0.2985834358,0.6459141494,14.6545964405,42.6796,36.1688320941,0,1.0269861354,26.3968915174,3514.4508175485,42.36061853,42.6796
58,14.838951,43.1317,36.3196,6.8121,3695.6799,25.9565,56.4798248,56.4798248,14.4867,0.109,6.6379,3534.1516,36.1187,26.7742473805,3651.2649288924,0,1.0223,0,0.9903,71.3706785575,21.8582961751,14.34617901,0.3062643738,0.6563264993,14.6536861612,43.1317,36.1660630925,0,1.0309285792,26.1309044871,3509.8912301621,42.37445589,43.1317
59,15.073511,42.9576,36.2347,6.7229,3702.3166,25.9565,51.5058976,51.5058976,14.462,0.117,6.6379,3534.1516,36.1187,26.7545947875,3647.5777365261,0,1.0223,0,0.8836,70.3635335152,19.9691294282,12.7786232,0.2837994119,0.6399188931,14.6560735206,42.9576,36.1647104851,0,1.035999909,25.8815838335,3500.8640563949,42.38044069,42.9576
60,15.350924,42.701,36.0612,6.6398,3702.3166,25.7387,54.2795496,54.2795496,14.5044,0.112,6.6379,3534.1516,36.1187,26.7545947875,3647.5777365261,0,1.0223,0,0.9431,68.8427180137,21.0444900832,13.67909964,0.3056894134,0.6500086049,14.6610659638,42.701,36.1634833843,0,1.0410680943,25.6521690619,3495.2889659203,42.37738247,42.701
61,15.547432,43.0175,36.3752,6.6423,3708.5979,25.7387,54.7596944,54.7596944,14.4727,0.114,6.6379,3534.1516,36.1187,26.7545947875,3647.5777365261,0,1.0223,0,0.9534,68.8707083199,21.2666645764,13.79827218,0.3087911406,0.6488216396,14.6674551512,43.0175,36.1618961601,0,1.0452153339,25.4452705927,3497.3283551465,42.36613301,43.0175
62,15.780929,42.993,36.33,6.663,3708.5979,25.7543,55.113976,55.113976,14.5104,0.11,6.6379,3534.1516,36.1187,26.7485709835,3650.740212519,0,1.0223,0,0.961,69.1443504546,21.4042546056,13.9444944,0.3095589801,0.6514823645,14.6739861903,42.993,36.1603181113,0,1.0478354381,25.2628714931,3503.8234948603,42.3492491,42.993
63,16.028782,42.8452,36.1956,6.6496,3713.3466,25.7543,55.836524,55.836524,14.5188,0.115,6.6379,3534.1516,36.1187,26.7485709835,3650.740212519,0,1.0223,0,0.9765,68.9942314824,21.7126323869,14.1776082,0.3147021413,0.652965884,14.6796952344,42.8452,36.1597982108,0,1.0487315818,25.1063383594,3508.8029609251,42.33017744,42.8452
64,16.252961,42.6491,36.0484,6.6007,3713.3466,25.4001,53.6642184,53.6642184,14.5075,0.115,6.6379,3534.1516,36.1187,26.7485709835,3650.740212519,0,1.0223,0,0.9299,67.505062841,20.8679080103,13.49052425,0.3091310064,0.6464722886,14.6840835392,42.6491,36.1617414564,0,1.0481594972,24.9764423509,3510.606949021,42.31236332,42.6491
65,16.489468,43.1,36.4088,6.6912,3706.007,25.4001,53.8413592,53.8413592,14.4431,0.11,6.6379,3534.1516,36.1187,26.7576827207,3655.879876856,0,1.0223,0,0.9337,68.5049823439,20.8954085853,13.48552247,0.3050202755,0.6453820903,14.6871271328,43.1,36.1671894778,0,1.046708549,24.8733887416,3511.3846483451,42.29848033,43.1
66,16.733567,42.6888,36.0136,6.6752,3706.007,25.9363,56.4238856,56.4238856,14.3743,0.11,6.6379,3534.1516,36.1187,26.7576827207,3655.879876856,0,1.0223,0,0.9891,69.77061978,21.8976667956,14.21762013,0.3138522614,0.6492755718,14.6890748439,42.6888,36.1761583694,0,1.0450548992,24.7968527954,3511.5996114221,42.28980896,42.6888
67,16.952326,41.7119,35.1906,6.5213,3681.9802,25.9363,54.0185,54.0185,14.211,0.111,6.6379,3534.1516,36.1187,26.7576827207,3655.879876856,0,1.0223,0,0.9375,68.0343081497,20.828240638,13.3228125,0.3061431975,0.6396513624,14.6900329801,41.7119,36.187373882,0,1.0437543601,24.7460242688,3508.8186921791,42.28590145,41.7119
68,17.1858,41.2836,34.8387,6.4449,3681.9802,25.0199,53.8972984,53.8972984,14.0843,0.118,6.6379,3534.1516,36.1187,26.7738270498,3658.091069321,0,1.0223,0,0.9349,64.798975445,20.781508202,13.16741207,0.3207073578,0.6336119565,14.6894441945,41.2836,36.1975450601,0,1.0431693131,24.7196632131,3501.0254096807,42.28498254,41.2836
69,17.438196,41.3423,34.9108,6.4315,3615.5888,25.0199,54.2375952,54.2375952,14.0087,0.112,6.6379,3534.1516,36.1187,26.7738270498,3658.091069321,0,1.0223,0,0.9422,64.6531372094,20.5356321027,13.19899714,0.3176277748,0.642736346,14.685662476,41.3423,36.1998867715,0,1.0434460117,24.7161604205,3487.5326894083,42.28510885,41.3423
70,17.656886,41.3031,35.1356,6.1675,3615.5888,25.1067,53.5430168,53.5430168,13.9804,0.109,6.6379,3534.1516,36.1187,26.7738270498,3658.091069321,0,1.0223,0,0.9273,61.9942355276,20.272648347,12.96402492,0.3270086029,0.6394835395,14.6759049236,41.3031,36.1837880916,0,1.0444837848,24.7335918461,3466.3055489355,42.28514845,41.3031
71,17.890152,41.3557,35.1741,6.1816,3605.3359,25.1067,53.2679824,53.2679824,14.0196,0.113,6.6379,3534.1516,36.1187,26.7816203373,3653.5399932351,0,1.0223,0,0.9214,62.1482245563,20.1113210097,12.91765944,0.3236025028,0.6423078541,14.6567988582,41.3557,36.137457928,0,1.0459521473,24.7697668712,3437.1206679825,42.28473424,41.3557
72,18.139452,41.5011,35.212,6.2891,3605.3359,25.4591,54.71774,54.71774,14.0082,0.112,6.6379,3534.1516,36.1187,26.7816203373,3653.5399932351,0,1.0223,0,0.9525,64.2110514961,20.6586768352,13.3428105,0.3217308602,0.6458695591,14.6254456052,41.5011,36.052588263,0,1.0473800801,24.8222790927,3410.0343231091,42.28361766,41.5011
73,18.357297,41.9611,35.4863,6.4748,3608.3403,25.4591,52.7785144,52.7785144,14.1236,0.111,6.6379,3534.1516,36.1187,26.7816203373,3653.5399932351,0,1.0223,0,0.9109,66.2675859234,19.943127597,12.86518724,0.300948455,0.6450937636,14.5806024473,41.9611,35.9282819714,0,1.0482865794,24.8885650792,3398.8267563391,42.28149068,41.9611
74,18.591231,41.864,35.4399,6.4241,3608.3403,25.6084,53.3239216,53.3239216,14.1562,0.112,6.6379,3534.1516,36.1187,26.8158695868,3633.9132301244,0,1.0223,0,0.9226,66.091429684,20.1492176225,13.06051012,0.3048688418,0.6481894416,14.5235264587,41.864,35.7724349429,0,1.0483053967,24.9659701832,3403.1241827775,42.27843384,41.864
75,18.865882,41.776,35.3953,6.3807,3640.1567,25.6084,54.1956408,54.1956408,14.1626,0.115,6.6379,3534.1516,36.1187,26.8158695868,3633.9132301244,0,1.0223,0,0.9413,65.6079778548,20.659178713,13.33125538,0.3148882101,0.6452945475,14.458191025,41.776,35.6004410941,0,1.0472496234,25.0518170758,3410.8051182141,42.27518277,41.776
76,19.061695,41.8408,35.4662,6.3746,3640.1567,25.8587,50.7507184,50.7507184,14.1947,0.113,6.6379,3534.1516,36.1187,26.8158695868,3633.9132301244,0,1.0223,0,0.8674,66.1806244319,19.3459869791,12.31248278,0.29232101,0.6364360109,14.390758815,41.8408,35.4318449355,0,1.0451104831,25.1434720484,3417.3095288363,42.27275838,41.8408
