,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM),
0,0,41.4363,35.2474,6.1889,3449.5095,25.6344,55.3610408,55.3610408,13.2875,0,6.1889,3449.5095,35.2474,25.567,3258,0,0.9663,0,0.9663,63.5358747025,19.9981678484,12.83971125,0.314753955,0.6420443786,13.4875,41.4363,35.2474,0,1.1032,25.6344,2900,2600
1,1.68239,41.294,34.9365,6.3575,3454.2167,25.6344,54.5685688,54.5685688,13.2774,0.113,6.1889,3449.5095,35.2474,25.567,3258,0,0.9663,0,0.9493,65.4158916342,19.7388006269,12.60423582,0.3017432024,0.6385512503,13.4774,41.294,34.9365,0,1.0323,25.6344,2920.2387,2620.2387
2,1.702384,41.4559,35.0586,6.3973,3454.2167,25.6145,53.0908416,53.0908416,13.2623,0.116,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9176,65.80856468,19.2042701596,12.16948648,0.2918202251,0.6336864863,13.4623,41.4559,35.0586,0,1.083,25.6145,2920.2387,2620.2387
3,1.722402,41.5488,35.311,6.2378,3455.9316,25.6145,53.1467808,53.1467808,13.1902,0.116,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9188,64.031400285,19.234049058,12.11915576,0.300384639,0.6300886373,13.3902,41.5488,35.311,0,1.0191,25.6145,2941.1599,2641.1599
4,1.742409,41.4076,35.3629,6.0447,3455.9316,25.5525,55.4682576,55.4682576,13.2129,0.113,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9686,61.730080994,20.0742015185,12.79801494,0.3251931829,0.6375354421,13.4129,41.4076,35.3629,0,1.034,25.5525,2941.1599,2641.1599
5,1.762409,41.5298,35.1613,6.3685,3456.8583,25.5525,53.9812072,53.9812072,13.2691,0.118,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9367,65.3291591267,19.5412701102,12.42916597,0.2991201842,0.6360469867,13.4691,41.5298,35.1613,0,1.0877,25.5525,2939.9526,2639.9526
6,1.782417,41.8054,35.4875,6.3179,3456.8583,25.6214,56.7548592,56.7548592,13.272,0.111,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9962,64.9413713255,20.5453358904,13.2215664,0.3163674476,0.6435312847,13.472,41.8054,35.4875,0,0.9938,25.6214,2939.9526,2639.9526
7,1.841007,41.6483,35.4735,6.1748,3450.4499,25.6214,54.5825536,54.5825536,13.2698,0.113,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9496,63.3465078069,19.7223287296,12.60100208,0.3113404261,0.6389205987,13.4698,41.6483,35.4735,0,1.056,25.6214,2937.4455,2637.4455
8,2.0745,41.6984,35.3708,6.3276,3450.4499,25.6076,52.9556552,52.9556552,13.2985,0.115,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9147,65.0144423294,19.1344810944,12.16413795,0.2943112393,0.6357182037,13.4985,41.6984,35.3708,0,1.0501,25.6076,2937.4455,2637.4455
9,2.316076,41.52,35.512,6.008,3454.0795,25.6076,51.874164,51.874164,13.1573,0.116,6.1889,3449.5095,35.2474,25.7294097085,3390.6125436728,0,0.9663,0,0.8915,61.4543875426,18.7634224828,11.72973295,0.305322748,0.6251382423,13.3573,41.52,35.512,0,1.0795,25.6076,2937.2006,2637.2006
10,2.568226,41.4803,35.0953,6.385,3454.0795,25.6768,55.3610408,55.3610408,13.3062,0.113,6.1889,3449.5095,35.2474,25.7294097085,3390.6125436728,0,0.9663,0,0.9663,65.8312442153,20.0246619419,12.85778106,0.3041817329,0.6420972847,13.5062,41.4803,35.0953,0,1.0076,25.6768,2937.2006,2637.2006
11,2.791731,41.9336,35.6238,6.3098,3456.1032,25.6768,57.6032704,57.6032704,13.2702,0.111,6.1889,3449.5095,35.2474,25.7294097085,3390.6125436728,0,0.9663,0,1.0144,64.991320638,20.8479069793,13.46129088,0.3207798638,0.6456902793,13.4702,41.9336,35.6238,0,1.0299,25.6768,2936.8381,2636.8381
12,3.024685,41.371,35.3091,6.0619,3456.1032,25.8107,51.547852,51.547852,13.2946,0.109,6.1889,3449.5095,35.2474,26.1244196984,3411.9579513917,0,0.9663,0,0.8845,62.5469561065,18.6563161434,11.7590737,0.2982769635,0.6302998732,13.4946,41.371,35.3091,0,1.0516,25.8107,2936.8381,2636.8381
13,3.271354,41.5866,35.3091,6.2775,3457.0473,25.8107,55.207208,55.207208,13.2129,0.114,6.1889,3449.5095,35.2474,26.1244196984,3411.9579513917,0,0.9663,0,0.963,64.9675925811,19.986176723,12.7240227,0.3076330202,0.6366411584,13.4129,41.5866,35.3091,0,1.0777,25.8107,2945.538,2645.538
14,3.491674,41.4962,35.2273,6.2689,3457.0473,25.5096,56.139528,56.139528,13.2696,0.113,6.1889,3449.5095,35.2474,26.1244196984,3411.9579513917,0,0.9663,0,0.983,64.1142702352,20.3236962781,13.0440168,0.3169917743,0.6418132126,13.4696,41.4962,35.2273,0,1.0639,25.5096,2945.538,2645.538
15,3.72924,41.3649,35.2224,6.1425,3464.2905,25.5096,55.813216,55.813216,13.3368,0.118,6.1889,3449.5095,35.2474,25.8593023618,3421.0865667958,0,0.9663,0,0.976,62.7116769474,20.2478991003,13.0167168,0.3228728697,0.6428675259,13.5368,41.3649,35.2224,0,1.0457,25.5096,2942.6787,2642.6787
16,3.985053,41.5848,35.3837,6.2011,3464.2905,25.6007,51.8322096,51.8322096,13.2434,0.112,6.1889,3449.5095,35.2474,25.8593023618,3421.0865667958,0,0.9663,0,0.8906,63.5882082614,18.8036709823,11.79457204,0.2957100302,0.6272483735,13.4434,41.5848,35.3837,0,1.0965,25.6007,2942.6787,2642.6787
17,4.204327,41.3759,35.3935,5.9824,3458.9367,25.6007,54.5266144,54.5266144,13.1903,0.11,6.1889,3449.5095,35.2474,25.8593023618,3421.0865667958,0,0.9663,0,0.9484,61.1527445836,19.7505759477,12.50968052,0.3229712106,0.6333830747,13.3903,41.3759,35.3935,0,1.0469,25.6007,2936.4069,2636.4069
18,4.438426,41.6086,35.3941,6.2145,3458.9367,25.6976,53.0069328,53.0069328,13.3117,0.117,6.1889,3449.5095,35.2474,25.1571510335,3427.6952560342,0,0.9663,0,0.9158,63.9786814582,19.2001183925,12.19085486,0.3001018145,0.6349364421,13.5117,41.6086,35.3941,0,1.0311,25.6976,2936.4069,2636.4069
19,4.694994,41.6013,35.5224,6.0789,3462.4294,25.6976,51.874164,51.874164,13.2783,0.114,6.1889,3449.5095,35.2474,25.1571510335,3427.6952560342,0,0.9663,0,0.8915,62.4629115262,18.8087812249,11.83760445,0.3011191884,0.6293658429,13.4783,41.6013,35.5224,0,1.0065,25.6976,2940.6792,2640.6792
20,4.917594,41.6099,35.2505,6.3594,3462.4294,25.7743,53.4730928,53.4730928,13.2639,0.112,6.1889,3449.5095,35.2474,25.1571510335,3427.6952560342,0,0.9663,0,0.9258,65.794201587,19.3885284377,12.27971862,0.294684455,0.6333496974,13.4639,41.6099,35.2505,0,1.0499,25.7743,2940.6792,2640.6792
21,5.151933,41.4369,35.2254,6.2115,3455.1596,25.7743,54.8016488,54.8016488,13.2651,0.111,6.1889,3449.5095,35.2474,25.3374402208,3435.095868594,0,0.9663,0,0.9543,64.1360047335,19.8285225551,12.65888493,0.3091636693,0.6384179605,13.4651,41.4369,35.2254,0,1.0519,25.7743,2947.0595,2647.0595
22,5.425234,41.382,35.3201,6.0619,3455.1596,25.7324,53.9392528,53.9392528,13.2683,0.117,6.1889,3449.5095,35.2474,25.3374402208,3435.095868594,0,0.9663,0,0.9358,62.3572120599,19.5164874446,12.41647514,0.3129788328,0.6362043977,13.4683,41.382,35.3201,0,1.0076,25.7324,2947.0595,2647.0595
23,5.626266,41.627,35.457,6.17,3456.8583,25.7324,55.0300672,55.0300672,13.2425,0.115,6.1889,3449.5095,35.2474,25.3374402208,3435.095868594,0,0.9663,0,0.9592,63.5672166595,19.9209588506,12.702206,0.3133841609,0.6376302514,13.4425,41.627,35.457,0,1.068,25.7324,2936.5964,2636.5964
24,5.863713,41.5671,35.3226,6.2445,3456.8583,25.6145,52.433556,52.433556,13.2729,0.113,6.1889,3449.5095,35.2474,25.3333029305,3438.7210673604,0,0.9663,0,0.9035,64.1060523317,18.9810182799,11.99206515,0.2960877731,0.6317925083,13.4729,41.5671,35.3226,0,1.0651,25.6145,2936.5964,2636.5964
25,6.117173,41.4107,35.3501,6.0606,3453.2741,25.6145,54.7457096,54.7457096,13.1919,0.11,6.1889,3449.5095,35.2474,25.3333029305,3438.7210673604,0,0.9663,0,0.9531,62.0570207815,19.7974729488,12.57319989,0.3190206797,0.6350911514,13.3919,41.4107,35.3501,0,1.0287,25.6145,2940.1645,2640.1645
26,6.335612,41.4431,35.1778,6.2653,3453.2741,25.8374,57.3701904,57.3701904,13.3025,0.115,6.1889,3449.5095,35.2474,25.3333029305,3438.7210673604,0,0.9663,0,1.0094,64.8976821274,20.746553489,13.4275435,0.3196809625,0.647218031,13.5025,41.4431,35.1778,0,1.0689,25.8374,2940.1645,2640.1645
27,6.572142,41.5915,35.435,6.1565,3458.7133,25.8374,53.4451232,53.4451232,13.2183,0.117,6.1889,3449.5095,35.2474,25.3144988635,3433.9864272806,0,0.9663,0,0.9252,63.6748728145,19.3575889664,12.22957116,0.3040067158,0.631771404,13.4183,41.5915,35.435,0,1.0724,25.8374,2943.3459,2643.3459
28,6.82531,41.3447,35.2981,6.0466,3458.7133,25.4908,54.95082,54.95082,13.3023,0.114,6.1889,3449.5095,35.2474,25.3144988635,3433.9864272806,0,0.9663,0,0.9575,61.6020930325,19.9029457364,12.73695225,0.3230887906,0.6399531214,13.5023,41.3447,35.2981,0,1.0856,25.4908,2943.3459,2643.3459
29,7.047362,41.6172,35.1833,6.4339,3465.2216,25.4908,52.4195712,52.4195712,13.3239,0.116,6.1889,3449.5095,35.2474,25.3144988635,3433.9864272806,0,0.9663,0,0.9032,65.8965869903,19.0218649668,12.03414648,0.2886623699,0.6326480869,13.5239,41.6172,35.1833,0,1.0736,25.4908,2949.5429,2649.5429
30,7.285174,41.4968,35.2823,6.2145,3465.2216,25.4976,53.2539976,53.2539976,13.3133,0.114,6.1889,3449.5095,35.2474,25.2990433537,3440.0347109613,0,0.9663,0,0.9211,63.4807463868,19.3246592465,12.26288063,0.3044176439,0.6345716358,13.5133,41.4968,35.2823,0,1.0126,25.4976,2949.5429,2649.5429
31,7.542559,41.4015,35.1924,6.2091,3470.8198,25.4976,54.1956408,54.1956408,13.3528,0.115,6.1889,3449.5095,35.2474,25.2990433537,3440.0347109613,0,0.9663,0,0.9413,63.4208536585,19.6981318218,12.56899064,0.3105939243,0.6380803395,13.5528,41.4015,35.1924,0,1.051,25.4976,2941.8144,2641.8144
32,7.764221,41.4602,35.3061,6.1541,3470.8198,25.525,51.1376312,51.1376312,13.2199,0.117,6.1889,3449.5095,35.2474,25.2990433537,3440.0347109613,0,0.9663,0,0.8757,62.8783323402,18.5866572581,11.57666643,0.2955971726,0.6228482222,13.4199,41.4602,35.3061,0,1.1141,25.525,2941.8144,2641.8144
