,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM),
692,162.873678,41.8377,35.4112,6.4265,2910.2856,25.8726,94.2527696,94.2527696,9.4988,0.116,6.5763643707,3400,35.12,25.3677004571,2962.0369305972,3.3495956726,1.9100934118,3.9394915633,1.8006,66.8003006394,28.7248883054,17.10353928,0.4300113627,0.5954257889,9.7172836548,41.6963643707,35.2875520793,3.2862,1.6547095443,25.6045150861,2998.3947303553,2698.3947303553
693,163.094275,41.6037,35.1277,6.476,2900.5246,25.8726,97.3807032,97.3807032,9.5001,0.118,6.5728565186,3400,35.12,25.3677004571,2962.0369305972,3.3495956726,1.9100934118,3.9394915633,1.8677,67.3573918502,29.5786315091,17.74333677,0.4391297035,0.5998701044,9.7180362819,41.6928565186,35.2871327743,3.2862,1.6458275377,25.6010625267,2997.2975672496,2697.2975672496
694,163.331827,41.7192,35.1179,6.6013,2900.5246,25.7046,98.0659584,98.0659584,9.5346,0.113,6.5693226319,3400,35.12,25.3619123079,2960.95987101,3.3495956726,1.9100934118,3.9394915633,1.8824,68.3210318787,29.7867724486,17.94793104,0.4359824732,0.6025470222,9.7210068783,41.6893226319,35.2864234415,3.2862,1.6372846044,25.5988065333,2995.914203848,2695.914203848
695,163.580734,41.8225,35.3452,6.4773,2899.0859,25.7046,96.4530448,96.4530448,9.5557,0.111,6.5655030019,3400,35.12,25.3619123079,2960.95987101,3.3495956726,1.9100934118,3.9399741806,1.8478,66.9345520081,29.2823308364,17.65702246,0.4374770572,0.6029923833,9.7252862079,41.6855030019,35.2855123624,3.2862,1.629913305,25.5977798378,2991.3442312208,2691.3442312208
696,163.798704,41.9367,35.4344,6.5023,2899.0859,25.4313,94.0196896,94.0196896,9.5578,0.116,6.5617349437,3400,35.12,25.3619123079,2960.95987101,3.3495956726,1.9100934118,3.9399741806,1.7956,66.499441366,28.5435847226,17.16198568,0.4292304437,0.6012554431,9.729802897,41.6817349437,35.2839410344,3.2862,1.6245104156,25.5979981024,2982.1222641716,2682.1222641716
697,164.037623,41.341,35.2285,6.1125,2973.9807,25.4313,96.5509384,96.5509384,9.5853,0.116,6.5590473037,3400,35.12,25.3523460985,2961.2977003024,3.3495956726,1.9100934118,3.9399741806,1.8499,62.1873154956,30.0692961486,17.73184647,0.4835278048,0.589699419,9.7337120755,41.6790473037,35.2812472525,3.2862,1.621775053,25.5994555263,2966.4061610183,2666.4061610183
698,164.316372,41.8548,35.4002,6.4546,2973.9807,25.7953,94.4858496,94.4858496,9.4606,0.113,6.5587368538,3400,35.12,25.3523460985,2961.2977003024,3.3495956726,1.9100934118,3.9475401346,1.8056,66.9160231425,29.4261561882,17.08205936,0.4397475344,0.5805059706,9.7366226815,41.6787368538,35.2776581315,3.2862,1.6222637489,25.6021184471,2943.8468873809,2643.8468873809
699,164.507513,41.4877,35.1601,6.3276,2900.6806,25.7953,97.5858136,97.5858136,9.5633,0.11,6.5614396311,3400,35.12,25.3523460985,2961.2977003024,3.3495956726,1.9100934118,3.9475401346,1.8721,65.4909887775,29.6425263878,17.90345393,0.4526199244,0.603978679,9.7385403263,41.6814396311,35.2741435956,3.2862,1.626265391,25.6059211291,2923.0636820961,2623.0636820961
700,164.736824,41.5029,34.9517,6.5512,2900.6806,25.5991,95.0032872,95.0032872,9.6595,0.114,6.5664985567,3400,35.12,25.3451769954,2962.5889838873,3.3495956726,1.9100934118,3.9475401346,1.8167,67.4827368235,28.8580618828,17.54841365,0.427636211,0.6080939781,9.739653215,41.6864985567,35.2717802372,3.2862,1.6336103718,25.6107676412,2916.2548457097,2616.2548457097
701,164.9899,41.6893,35.3256,6.3637,2909.1337,25.5991,96.345828,96.345828,9.5155,0.119,6.57204321,3400,35.12,25.3451769954,2962.5889838873,3.3495956726,1.9100934118,3.9621086888,1.8455,65.3948497646,29.3511561044,17.56085525,0.4488297811,0.5983019949,9.7402556387,41.69204321,35.2708650208,3.2862,1.6435776213,25.6165382307,2923.2380072236,2623.2380072236
