,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),P_e_max (W),best_w (RPM),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,38.723,31.3898,7.333,3942.096,27.324,56.5669,56.5669,16.317,0.0,7.333,3942.096,31.3898,25.567,3258.0,0.0,0.992,0.0,0.992,81.32206161952442,23.351683338212922,16.186464,0.28715065596180694,0.6931604786500472,0.19904148613116113,0.0,4000.0,16.3235155979192,38.729578876818834,31.374172588416233,-0.0006563611441092063,0.9916607066706905,27.36813630900108,3942.2832786225085
1,0.1,37.71812,31.846364115200004,7.332365769705177,3942.096,27.32401509543122,56.57093520884035,56.55907199999996,16.12596427062489,0.1,7.333,3942.096,31.3898,25.567,3258.0,0.0,0.992,0.0,0.992,81.31456826209761,23.353349134271102,15.996956556459892,0.2871976034970425,0.6849962489099397,0.19672928109139828,0.0,4000.0,16.022352747865234,37.712237832983135,31.849955497730978,6.08870849070785e-05,0.9939343902339347,27.173205796862764,3942.215036386589
2,0.2,37.71806912839679,31.84640140227797,7.332391926542257,3942.128100285269,27.213772415160282,56.57084375725286,56.55907199999996,16.12596427062489,0.1,7.333,3942.096,31.3898,25.567,3258.0,0.0,0.992,0.0,0.992,80.98680254571589,23.35350154646928,15.996956556459892,0.28836181714034903,0.6849917784118505,0.19752547394904052,0.0,4000.0,16.125736732642928,37.72531997980653,31.829564117970275,-0.0006337643832825134,0.9911585973557355,27.159280403102123,3942.179475474362
3,0.30000000000000004,38.089586960909855,31.574641289699066,7.227554715641901,3942.159953114551,27.10352110667913,57.92624092314959,56.55907199999996,16.126116122107042,0.1,7.333,3942.096,31.3898,25.567,3258.0,0.0,0.992,0.0,0.992,79.42268962570841,23.913228047308344,15.997107193130185,0.3010881167586126,0.6689647738683615,0.2014173439418761,0.0,4000.0,16.127010023477595,38.05780730959095,31.59435062917561,0.0006449765180334666,0.9935128678556157,27.06421878884469,3942.202334404597
4,0.4,38.46113387049135,31.303958708385082,7.272409260668845,3945.859332686634,27.049735402600795,57.77640057390374,56.55907199999996,16.1262668029903,0.1,7.333,3942.096,31.3898,25.567,3258.0,0.0,0.992,0.0,0.992,79.79285597420545,23.873753120090438,15.99725666856638,0.29919662391590646,0.670077159133569,0.20048482377592544,0.0,4000.0,16.14254089156524,38.45539043508598,31.31243869893811,-0.0005450028302887045,0.9918110630372917,27.044612294702574,3945.865251897774
5,0.5,38.642391693235325,31.172305977852304,7.306461243978932,3949.1532639504003,27.041037860556592,57.25164699686103,56.55907199999996,16.143766842829464,0.1,7.333,3942.096,31.3898,29.515119748614794,3888.135819400191,0.0,0.992,0.0,0.992,80.16774030496698,23.676668362026255,16.014616708086827,0.29533910113915623,0.6763880991707354,0.19976385323030746,0.0,4000.0,16.124441730898937,38.694814026543234,31.14260773538683,0.0010502419680668289,0.9917739569948746,27.119895131617263,3949.125591660197
6,0.6,38.67170240992429,31.151041331637686,7.314627331247907,3951.0272809443068,27.053387770325056,57.03940395067639,56.55907199999996,16.159348895771092,0.1,7.333,3942.096,31.3898,29.515119748614794,3888.135819400191,0.0,0.992,0.0,0.992,80.30045222775092,23.600088113535627,16.030074104604925,0.2938973250935155,0.6792378921420642,0.19962619960271047,0.0,4000.0,16.205921404619822,38.661216526268575,31.139437356406944,-0.00015910636685038533,0.9936672460821472,27.016253961102837,3951.0891947278687
7,0.7,38.63008321400457,31.181237701291117,7.308742493228615,3952.326996126581,27.068938611610296,57.03701715194174,56.55907199999996,16.168213996367996,0.1,7.333,3942.096,31.3898,29.515119748614794,3888.135819400191,0.0,0.992,0.0,0.992,80.277317985348,23.60686364611815,16.03886828439705,0.2940664217310649,0.6794154668248122,0.19979327519791357,0.0,4000.0,16.176028440548272,38.621074540163434,31.179157999705474,0.00035897576518332153,0.9916809754411815,26.93405578741054,3952.3616167068108
8,0.7999999999999999,38.577676878873305,31.21928017767253,7.300826815962568,3953.620252944909,27.079513189080764,57.080966958490194,56.55907199999996,16.1743623428748,0.1,7.333,3942.096,31.3898,29.515119748614794,3888.135819400191,0.0,0.992,0.0,0.992,80.21543695285634,23.632784336099075,16.044967444131803,0.2946164134216257,0.6789283571476221,0.20002343755306898,0.0,4000.0,16.152761022031864,38.577972701621654,31.22862296477409,-0.00011631947254126815,0.9914717503350672,27.161146224578136,3953.736659763739
9,0.8999999999999999,38.54204055279783,31.245161562003474,7.296234816063961,3955.0324321683543,27.083858400295025,57.09073848918116,56.55907199999996,16.180480137873133,0.1,7.333,3942.096,31.3898,29.515119748614794,3888.135819400191,0.0,0.992,0.0,0.992,80.17420889498005,23.645272719424845,16.051036296770146,0.2949236798881011,0.6788264397383773,0.20020199161298052,0.0,4000.0,16.205024564729086,38.533187128121206,31.275714430659214,0.0011672763145727431,0.9917842127548219,27.044214495084105,3954.9223416282216
