,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
0,0,52.376999999999995,35.842127272727275,30.24408636363637,133.16505181818187,4.080659090909092,2.6353409090909103,1820.5121454545447,26.62442727272727,0.0,5.5980409090909085
1,1,65.96600000000001,35.80196363636364,30.214618181818185,137.72049447272727,3.363586363636364,2.7330636363636365,1690.6001318181814,26.6024,0.0,5.587345454545456
2,2,75.317,35.86365000000001,30.27207727272727,137.57089949090906,3.3509863636363644,2.729854545454545,1689.6099454545456,26.44588181818182,0.0,5.5915727272727285
3,3,82.93299999999999,35.79429999999999,30.27493636363636,141.9172058181818,2.727963636363637,2.823090909090909,1576.1201727272726,26.48803181818181,0.0,5.519363636363637
4,4,91.34200000000001,35.857913636363634,30.39591363636363,145.6488166181818,1.9251000000000005,2.903140909090909,1429.5573454545456,26.39531363636364,0.0,5.4620000000000015
5,5,104.2,35.80137272727273,30.340709090909087,150.9206624363636,1.1567545454545454,3.0162318181818177,1287.9324409090912,26.37453636363637,0.0,5.460663636363636
6,6,118.81700000000001,35.87931363636364,30.237740909090906,128.39538745454547,4.842431818181818,2.5330227272727277,1958.639195454545,26.31606363636364,0.0,5.641572727272727
7,7,129.924,35.82610909090909,30.10500454545455,125.31470552727274,5.611013636363636,2.4669363636363637,2099.3428681818177,26.60615454545455,0.0,5.721104545454545
8,8,141.04399999999998,35.883359090909096,30.132986363636366,120.53465850909089,6.358113636363638,2.364395454545454,2232.761954545455,26.637872727272725,0.0,5.750372727272728
9,9,150.965,35.855442857142855,30.03419047619048,115.95162967619048,7.111690476190478,2.2660809523809524,2365.4124714285713,26.447161904761906,0.0,5.821252380952379
10,10,162.31799999999998,35.94121818181818,30.09458636363637,111.7538992363637,7.714018181818181,2.1760318181818192,2476.019118181818,26.62779545454545,0.0,5.846631818181819
11,11,171.2,35.994472727272736,30.063468181818177,107.11285265454545,8.405277272727274,2.0764727272727272,2597.3940818181823,26.326695454545455,0.0,5.931004545454545
