,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
0,0,23.629,33.99524090909091,28.803740909090905,141.17452818181818,1.6864090909090912,2.8071590909090904,1369.6384681818179,25.76022272727273,0.0,5.1915
1,1,41.125,33.89925909090909,28.74062272727273,145.70751040000002,0.9456636363636364,2.9044000000000003,1228.8272181818186,25.86301818181818,0.0,5.158636363636365
2,2,51.727,33.95874545454545,28.75165,138.06079127272727,2.3576045454545453,2.7403636363636363,1493.673781818182,25.898777272727276,0.0,5.207095454545454
3,3,61.588,33.89449090909091,28.621204545454546,133.54666734545452,3.1088090909090904,2.643527272727272,1633.0854818181815,25.898745454545452,0.0,5.2732863636363625
4,4,70.211,33.99391818181818,28.66985000000001,128.10446123636365,3.8107136363636367,2.5267818181818185,1760.8565636363635,25.880922727272722,0.0,5.324068181818182
5,5,78.595,33.985468181818185,28.61545909090909,124.83710341818183,4.600577272727271,2.4566909090909093,1902.108736363636,25.83792727272728,0.0,5.370009090909091
6,6,87.5,34.02920454545454,28.59654545454545,120.74252349090911,5.320672727272728,2.3688545454545458,2032.3616272727274,26.295204545454546,0.0,5.432659090909091
7,7,100.096,33.99312272727273,28.52810909090909,115.68532316363635,6.064663636363638,2.2603681818181816,2166.7402909090906,25.83514090909091,0.0,5.465013636363636
8,8,113.696,33.97762727272727,28.455590909090905,111.84162207272729,6.734522727272728,2.1779136363636367,2288.0493409090905,25.83407272727273,0.0,5.522036363636364
9,9,123.84200000000001,34.081354545454545,28.49643181818182,107.33110029090908,7.4345,2.0811545454545453,2414.456163636364,26.13171363636364,0.0,5.584922727272726
10,10,131.284,34.13395454545455,28.49830454545455,103.48231381818182,8.15760909090909,1.998590909090909,2539.8948045454545,25.82227727272728,0.0,5.635650000000003
11,11,139.94,34.13042727272727,28.4251,98.4596517090909,8.861572727272726,1.8908454545454545,2668.0508954545458,25.81439090909091,0.0,5.705327272727272
12,12,148.59,34.21823636363637,28.451127272727273,94.33816163636364,9.548204545454547,1.8024318181818182,2790.171881818181,25.73406363636364,0.0,5.767109090909091
13,13,158.259,34.261157142857144,28.404128571428572,90.53347874285711,10.16529523809524,1.7208142857142852,2903.597709523809,25.833152380952377,0.0,5.857028571428572
