,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),P_e_max (W),best_w (RPM),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
4108,410.8000000000249,39.38228034119737,30.637616257875088,8.629634440836707,4300.271252428632,26.83926969779828,79.9114913168246,85.46099199999999,17.147250001733745,0.1,8.187027093261225,3600.0,31.2,26.4724302517305,4423.414414098552,0.4108521594210677,1.5753071384555162,3.402000000000003,1.6120000000000005,95.01742787046882,35.986010632141976,27.641367002794805,0.378730633302339,0.7681142343159899,0.2909083904110361,0.0,4000.0,17.035347829040894,39.387027093261224,30.655221088783815,3.401707982002897,1.6109672097919636,26.84544758975029,4300.3421567241385
4109,410.90000000002493,39.35166111841981,30.659657185584116,8.55675543779287,4285.25503232958,26.847951808079248,79.67816711635436,85.46099199999999,17.07717092610667,0.1,8.163955342409015,3600.0,31.2,26.4724302517305,4423.414414098552,0.4108521594210677,1.5753071384555162,3.3453000000000026,1.6120000000000005,94.19703712853368,35.75564578546733,27.528399532883963,0.3795835503475344,0.7699035754536062,0.2922427325959407,0.0,4000.0,17.033440978432814,39.363955342409014,30.646496316718178,3.345427678489388,1.612036868256418,26.883906788133196,4285.311552091206
4110,411.00000000002495,39.32240240677294,30.68072573626035,8.484668995972356,4269.607467583735,26.858159979850658,79.45578391687339,85.46099199999999,17.006136190457983,0.1,8.130532551549113,3600.0,31.2,26.4724302517305,4423.414414098552,0.4108521594210677,1.5753071384555162,3.2886000000000024,1.6120000000000005,93.39066132965853,35.52565415982501,27.413891539018277,0.38039835733064836,0.7716646515694536,0.2935399658671473,0.0,4000.0,17.003667546754897,39.33053255154911,30.72212646780704,3.2903090841852105,1.6109774631317717,26.801100505853594,4269.577764787675
4111,411.100000000025,39.28800086790329,30.70550623914697,8.414331105842797,4253.358163103024,26.870010472609405,79.28992303896479,85.46099199999999,16.932114857663517,0.1,8.044778710007694,3600.0,31.2,26.4724302517305,4423.414414098552,0.4108521594210677,1.5753071384555162,3.2886000000000024,1.6120000000000005,92.60974196301359,35.31657415854426,27.2945691505536,0.3813483701601174,0.7728543835543609,0.2947267595395578,0.0,4000.0,16.985849495191232,39.244778710007694,30.69255297059955,3.289402392452437,1.6115374277109096,26.88177066414439,4253.400461088352
4112,411.200000000025,39.24806470730631,30.734285318475884,8.401762985991699,4236.660060867219,26.882702977077148,80.1433641264809,85.46099199999999,16.855246974757666,0.1,8.076042395341585,3600.0,31.2,26.396377108849812,4357.533710889004,0.4108521594210677,1.5753071384555162,3.231900000000002,1.6120000000000005,92.50651923646798,35.5565655029818,27.170658123309366,0.3843682131428059,0.7641530541252871,0.29371614398175444,0.0,4000.0,16.915600776699296,39.276042395341584,30.72694623858763,3.2321263512763343,1.612503621169379,26.79736560270442,4236.588750733204
4113,411.300000000025,39.20529096725002,30.76512331478962,8.333387886110813,4222.271258142011,26.891157656598953,80.06298411555163,85.46099199999999,16.776256038934203,0.1,8.014450122119012,3600.0,31.2,26.396377108849812,4357.533710889004,0.4108521594210677,1.5753071384555162,3.175200000000002,1.6120000000000005,91.73579968848534,35.400265690639074,27.043324734761946,0.38589368393637613,0.7639299933817456,0.29479575941557323,0.0,4000.0,16.79718494561672,39.21445012211901,30.784203416570282,3.1739432965704144,1.6136502990741395,27.00256554377067,4222.175243874827
4114,411.40000000002505,39.17679869726153,30.785673077065134,8.266276385898067,4207.664957662575,26.899217089691074,79.83357777408156,85.46099199999999,16.708189322334146,0.1,7.992767456380566,3600.0,31.2,26.396377108849812,4357.533710889004,0.4108521594210677,1.5753071384555162,3.118500000000002,1.6120000000000005,90.97802593553583,35.17672157869471,26.93360118760265,0.3866507457923942,0.765665473610121,0.29604512639884006,0.0,4000.0,16.81063995894962,39.192767456380565,30.852984504629497,3.1185624713425275,1.6114189468553957,27.03939205430054,4207.602499243509
4115,411.50000000002507,39.149638407741094,30.805268177732437,8.200038861589421,4192.437913748316,26.90864035483604,79.61662062654304,85.46099199999999,16.639093725271902,0.1,7.907582958987337,3600.0,31.2,26.396377108849812,4357.533710889004,0.4108521594210677,1.5753071384555162,3.0618000000000016,1.6120000000000005,90.23458445838372,34.95417023743749,26.822219085138315,0.38736999175253456,0.7673539066423185,0.2972498764873101,0.0,4000.0,16.622546721761125,39.10758295898734,30.791110271921802,3.0626704333816375,1.6119421672182024,26.903449918072802,4192.4158884906365
4116,411.6000000000251,39.11788200420254,30.828186643715163,8.135465255506887,4176.6238122832065,26.919534076059037,79.45362667457943,85.46099199999999,16.567061680454664,0.1,7.85013407476632,3600.0,31.2,26.396377108849812,4357.533710889004,0.4108521594210677,1.5753071384555162,3.0618000000000016,1.6120000000000005,89.51497268241637,34.75103174254009,26.706103428892927,0.3882147388440897,0.7684981449399946,0.2983423066400474,0.0,4000.0,16.55919194767045,39.05013407476632,30.84143160896732,3.0635670252011704,1.6144530977570972,26.88281438090815,4176.554052634244
4117,411.7000000000251,39.08117016368105,30.854691432219084,8.122995217171011,4160.368670588132,26.93117492576657,80.2669120522213,85.46099199999999,16.492252540092736,0.1,7.941853187306645,3600.0,31.2,26.2996484429806,4281.594904561209,0.4108521594210677,1.5753071384555162,3.0051000000000014,1.6120000000000005,89.40759726561585,34.97010934940686,26.5855110946295,0.39113129553762854,0.7602352863412029,0.29735181246005465,0.0,4000.0,16.456993514914398,39.141853187306644,30.860311132585707,3.005437515757165,1.6115113426089378,26.818534295338374,4160.3329266716255
4118,411.80000000002514,39.041940500166675,30.88302586627715,8.060213708836809,4146.314172325905,26.938985567127546,80.1844640007337,85.46099199999999,16.41535704404746,0.1,7.834743547658913,3600.0,31.2,26.2996484429806,4281.594904561209,0.4108521594210677,1.5753071384555162,2.9484000000000012,1.6120000000000005,88.69783887944503,34.81617479669161,26.461555555004516,0.3925256267406078,0.760036267899224,0.2983337124027354,0.0,4000.0,16.342952718925005,39.03474354765891,30.88599818214021,2.9502396386335117,1.6113676226263713,26.908598201835535,4146.172256204837
4119,411.90000000002516,39.01561863878018,30.902044241042958,7.998925453098965,4132.03658046327,26.946435232254068,79.96657018215498,85.46099199999999,16.34887176598502,0.1,7.778362432391457,3600.0,31.2,26.2996484429806,4281.594904561209,0.4108521594210677,1.5753071384555162,2.891700000000001,1.6120000000000005,88.00397833867075,34.60200339054676,26.35438128676786,0.393186808639331,0.7616432201716926,0.29946806706109114,0.0,4000.0,16.356162725582752,38.97836243239146,30.91642597109377,2.889465797374656,1.6132344212439205,26.70222543294348,4132.025427026732
4120,412.0000000000252,38.9905132673038,30.92018880201806,7.938561299357571,4117.169396540953,26.95508860854419,79.76263418309094,85.46099199999999,16.281331136121306,0.1,7.778351445944491,3600.0,31.2,26.2996484429806,4281.594904561209,0.4108521594210677,1.5753071384555162,2.835000000000001,1.6120000000000005,87.32445499485566,34.38957761234926,26.245505791427554,0.39381382471124693,0.763181975867096,0.3005516128669076,0.0,4000.0,16.213368753414866,38.97835144594449,30.917429090127918,2.836815452762274,1.6119897052603938,26.919797453197262,4117.162074818177
4121,412.1000000000252,38.96135138920609,30.941271445629987,7.8797739466735255,4101.750388585647,26.965033717585985,79.6089517617484,85.46099199999999,16.211001421133382,0.1,7.762491447859166,3600.0,31.2,26.2996484429806,4281.594904561209,0.4108521594210677,1.5753071384555162,2.835000000000001,1.6120000000000005,86.66712322159017,34.1947750314804,26.13213429086702,0.3945530180348934,0.7642142481361335,0.3015230380273784,0.0,4000.0,16.21656040458171,38.962491447859165,30.90366966531598,2.8346308697730196,1.6117451839444303,26.677620137860558,4101.806330458859
4122,412.2000000000252,38.92783637173524,30.965509561252816,7.867385590238028,4085.9155361794637,26.975623615214694,80.38501722946012,85.46099199999999,16.138061283945373,0.1,7.717889368974095,3600.0,31.2,26.256887686837025,4205.43711553389,0.4108521594210677,1.5753071384555162,2.7783000000000007,1.6120000000000005,86.55579261256014,34.394825572477586,26.01455478971995,0.39737173601350095,0.7563508276819566,0.3005524414312274,0.0,4000.0,16.160739974192758,38.917889368974095,30.95291518264842,2.777999529126464,1.6124016662823009,26.84691219429619,4085.7631710311166
