,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1055,560.22,37.8229,29.1399,118.8608,13.2436,2.475,3689.2805,27.5947,8.683,8.76
1056,561.047,37.8804,29.4253,120.3496,13.4546,2.4835,3928.0727,28.355,8.4551,8.76
1057,561.866,37.9137,29.2423,116.9519,13.1956,2.4702,3789.3142,26.6153,8.6714,8.76
1058,562.696,38.0431,29.6188,115.4513,13.4157,2.496,3914.2346,26.5852,8.4243,8.76
1059,563.524,37.9073,29.0961,117.3596,13.2838,2.4935,3856.041,26.3253,8.8112,8.76
1060,564.355,37.8971,29.4173,116.103,13.3275,2.4775,3969.479,26.4676,8.4798,8.76
1061,565.184,37.8314,29.5065,116.7025,13.1938,2.4758,3888.3608,28.729,8.3249,8.76
1062,566.006,37.9513,29.1005,114.9039,13.1429,2.488,3891.3872,26.4436,8.8508,8.76
1063,566.839,38.0283,29.6782,116.52,13.1932,2.4747,3899.4799,27.4586,8.3501,8.76
1064,567.667,37.9446,29.4151,112.8084,13.2979,2.488,3927.5583,27.2058,8.5295,8.76
1065,568.497,37.9313,29.3337,114.6432,13.2523,2.4801,3899.142,26.4676,8.5976,8.76
1066,569.331,37.9989,29.4834,116.9811,13.3184,2.4959,3776.9106,27.7511,8.5155,8.76
1067,570.165,37.8451,29.4999,119.944,13.2657,2.4857,3925.8452,28.6276,8.3452,8.76
1068,570.992,37.9626,29.5543,116.3533,13.3364,2.4927,3764.2729,26.7647,8.4083,8.76
1069,571.831,37.8121,29.3608,116.7807,13.2215,2.4793,3754.0668,28.5906,8.4513,8.76
1070,572.663,38.0869,29.3948,116.8589,13.1463,2.4761,3906.9282,26.9336,8.6921,8.76
1071,573.5,38.0168,29.6697,115.6077,13.4247,2.4852,3981.5964,27.7194,8.3471,8.76
1072,574.333,37.932,29.4219,117.667,13.2191,2.48,3781.1948,26.562,8.5101,8.76
1073,575.176,37.6685,29.2786,115.6096,13.2272,2.4881,3915.7675,28.5715,8.3899,8.76
1074,576.009,37.8589,29.4898,116.1551,13.209,2.4833,3975.9677,28.4169,8.3691,8.76
1075,576.841,37.9373,29.2522,117.3604,13.2578,2.4888,3722.5463,27.1622,8.6851,8.76
1076,577.686,37.824,29.2027,114.713,13.1988,2.5232,3859.5136,26.8751,8.6213,8.76
