,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1569,20.029,41.6378,30.2165,135.3993,15.1786,3.003,4537.205,28.5335,11.4213,12.26
1570,20.293,41.5119,30.1517,141.9412,15.1344,3.0497,4311.997,28.9318,11.3602,12.26
1571,20.56,41.427,30.1415,140.2151,15.2024,2.9884,4313.2368,27.366,11.2855,12.26
1572,20.834,41.6091,30.2976,136.0964,15.2525,3.0341,4506.5346,28.9502,11.3115,12.26
1573,21.097,41.643,30.2165,141.0231,15.2128,2.9894,4290.0039,28.4246,11.4265,12.26
1574,21.367,41.5538,30.3013,140.189,15.193,2.9361,4370.4169,28.0897,11.2525,12.26
1575,21.638,41.4304,30.1207,137.645,15.2449,2.9944,4469.3847,28.1961,11.3097,12.26
1576,21.905,41.4197,30.2094,137.843,15.2148,2.9702,4481.8481,28.5816,11.2103,12.26
1577,22.172,41.4927,30.0943,141.5503,15.1741,2.9571,4412.1972,28.1515,11.3984,12.26
1578,22.443,41.6033,30.0125,138.2861,15.3182,2.9821,4511.0522,29.0678,11.5908,12.26
1579,22.708,41.5221,30.2528,141.4229,15.0765,2.945,4339.2314,29.1782,11.2693,12.26
1580,22.975,41.5708,30.1245,141.4402,15.2068,2.9857,4317.7895,28.8529,11.4463,12.26
1581,23.245,41.4604,29.9853,141.3099,15.2764,3.0187,4409.603,28.8175,11.4751,12.26
1582,23.514,41.5973,30.1934,140.6582,15.078,2.9615,4408.955,28.6164,11.4039,12.26
1583,23.783,41.5526,30.1517,140.2151,15.0455,2.9872,4456.1074,28.376,11.4009,12.26
1584,24.052,41.6785,30.1174,141.6962,15.1638,2.9753,4529.6694,28.6085,11.5611,12.26
1585,24.321,41.4065,30.2132,140.1369,15.2583,2.9679,4527.3906,28.7664,11.1933,12.26
1586,24.588,41.5387,30.1822,140.4757,15.2662,2.9216,4489.6738,28.5246,11.3565,12.26
1587,24.858,41.4173,30.0329,142.3437,15.0591,2.9225,4496.1782,28.2562,11.3844,12.26
1588,25.128,41.5934,30.0634,140.1369,15.1883,2.9596,4585.2866,28.6399,11.53,12.26
1589,25.396,41.543,30.2033,140.2077,15.2402,2.9533,4566.6733,28.6636,11.3397,12.26
1590,25.664,41.5637,29.9175,141.2056,15.1543,2.9864,4548.9003,28.5973,11.6462,12.26
1591,25.933,41.5832,30.4293,140.0227,15.3197,2.9696,4555.8085,27.2525,11.1539,12.26
1592,26.206,41.4615,30.0498,136.0964,15.1339,2.9538,4553.0429,29.2578,11.4117,12.26
1593,26.474,41.5263,30.2099,135.9661,15.0551,2.9795,4510.6,29.326,11.3164,12.26
1594,26.742,41.6003,30.1497,135.94,15.3953,2.9992,4624.3964,27.5551,11.4506,12.26
1595,27.015,41.6163,30.1802,141.8721,15.2851,3.0074,4596.5273,28.4645,11.4361,12.26
1596,27.285,41.4751,30.0382,140.5539,15.0601,2.951,4340.2773,27.2678,11.4369,12.26
1597,27.565,41.8186,30.2535,141.4924,15.2316,2.9864,4652.3647,28.7585,11.5651,12.26
1598,27.833,41.7252,30.1822,139.3809,15.2733,3.0007,4419.1298,28.4656,11.543,12.26
1599,28.107,41.7904,30.1177,137.1913,15.4504,3.0018,4504.7299,27.146,11.6727,12.26
1600,28.386,41.5689,29.7872,135.1351,15.3433,2.9468,4375.3037,28.0919,11.7817,12.26
1601,28.663,41.3985,29.8969,138.9378,15.1938,2.9974,4442.0317,27.5499,11.5016,12.26
1602,28.94,41.4317,29.9292,140.3133,15.1497,2.9512,4513.3139,27.3291,11.5025,12.26
1603,29.217,41.5864,30.0148,132.5989,15.3433,2.8604,4325.4677,28.5637,11.5716,12.26
1604,29.494,41.3734,29.8334,131.8475,15.8157,2.8325,4413.0625,28.3693,11.54,12.26
1605,29.77,41.5538,30.0613,131.5417,15.6276,2.8401,4365.1176,27.3321,11.4925,12.26
1606,30.051,41.6858,30.1042,132.5725,15.9511,2.8951,4742.583,28.6152,11.5816,12.26
1607,30.322,41.524,30.0217,131.9794,15.7079,2.9142,4471.8271,26.9605,11.5023,12.26
1608,30.604,41.7044,30.233,134.8974,15.7819,2.8838,4386.392,27.7268,11.4714,12.26
1609,30.884,41.7223,30.3397,136.8524,15.87,2.9103,4582.4848,29.2121,11.3826,12.26
1610,31.155,41.5718,30.0906,132.5252,15.8071,2.9028,4361.7329,27.8687,11.4812,12.26
1611,31.436,41.6561,30.1244,137.8299,15.6283,2.7653,4629.6293,26.701,11.5317,12.26
1612,31.716,41.7589,30.1075,128.3023,16.329,2.7916,4769.9809,28.2212,11.6514,12.26
1613,31.988,41.5303,30.0872,127.3106,16.4023,2.7701,4812.8344,28.2201,11.4431,12.26
1614,32.26,41.702,30.2026,128.928,16.3849,2.8079,4568.0639,26.9674,11.4994,12.26
1615,32.541,41.7116,30.0872,126.6104,16.2275,2.7978,4831.1772,27.8645,11.6244,12.26
1616,32.815,41.541,30.2033,131.5157,16.3078,2.8108,4677.7548,26.9435,11.3377,12.26
1617,33.095,41.4915,29.9787,126.0559,16.3424,2.7729,4485.8691,27.7881,11.5128,12.26
1618,33.376,41.6986,30.0464,129.0323,16.3645,2.7893,4760.1416,26.882,11.6522,12.26
1619,33.656,41.6297,29.8884,132.4731,16.392,2.7845,4531.9501,27.9349,11.7413,12.26
1620,33.935,41.5461,29.8532,129.7882,16.3298,2.8178,4714.0166,27.5021,11.6929,12.26
1621,34.213,41.8845,30.2874,126.9208,16.4306,2.8033,4471.3833,27.3526,11.5971,12.26
1622,34.498,41.6825,30.0227,125.6766,16.4054,2.8589,4494.3818,28.0617,11.6598,12.26
1623,34.78,41.6673,30.0125,129.0323,16.359,2.7458,4776.3095,27.3814,11.6548,12.26
1624,35.058,41.439,29.7851,133.2011,16.3873,2.7593,4579.6865,27.4752,11.6539,12.26
1625,35.341,41.559,30.1075,131.7432,16.4597,2.7891,4506.7602,27.6648,11.4515,12.26
1626,35.624,41.8028,30.124,129.71,16.4314,2.7738,4796.6743,27.3393,11.6788,12.26
1627,35.903,41.7195,30.1174,126.8687,16.1962,2.816,4544.0776,27.71,11.6021,12.26
1628,36.186,41.5862,30.2026,127.8332,16.2543,2.7773,4536.7475,28.2847,11.3836,12.26
1629,36.467,41.5682,30.1211,132.1373,16.3716,2.7293,4781.6386,27.5353,11.4471,12.26
1630,36.747,41.926,30.1143,131.7954,16.2771,2.7947,4615.1479,28.1493,11.8117,12.26
1631,37.027,41.5193,29.9516,128.537,16.4377,2.7821,4501.8007,28.6006,11.5677,12.26
1632,37.309,41.524,30.0745,128.2242,16.6352,2.7603,4489.226,27.0504,11.4495,12.26
1633,37.597,41.7037,30.3552,131.0401,16.5148,2.792,4785.707,27.9949,11.3485,12.26
1634,37.876,41.6221,29.9721,130.3161,16.6196,2.8244,4551.2006,27.1148,11.65,12.26
1635,38.162,41.7378,30.077,132.03,16.4846,2.7766,4849.9218,27.7405,11.6608,12.26
1636,38.443,41.6113,30.1245,131.0916,16.4983,2.8237,4696.7958,28.0358,11.4868,12.26
1637,38.724,41.7117,30.2603,128.0693,16.2779,2.8165,4520.7958,28.8255,11.4514,12.26
1638,39.005,41.751,30.3485,127.9114,16.2125,2.7897,4451.479,27.5156,11.4025,12.26
1639,39.293,41.9192,30.2165,131.4304,16.4944,2.7873,4758.3798,28.1907,11.7027,12.26
1640,39.574,41.6646,30.2263,125.9042,16.592,2.6748,4801.2802,28.2869,11.4383,12.26
1641,39.855,41.6578,30.1449,127.8592,16.8046,2.6987,4595.5883,27.2098,11.5129,12.26
1642,40.142,41.9815,30.0587,124.7259,17.1549,2.7062,4869.603,27.6837,11.9228,12.26
1643,40.424,41.8866,30.1618,127.755,16.9167,2.6657,4803.33,28.4191,11.7248,12.26
1644,40.705,41.5552,30.1339,122.4538,17.0667,2.6996,4604.9941,27.5208,11.4213,12.26
1645,40.992,41.7699,30.3354,126.4255,17.0652,2.7113,4838.1894,28.8814,11.4345,12.26
1646,41.271,41.8525,30.4639,124.5748,16.8912,2.7182,4551.8916,27.4535,11.3886,12.26
1647,41.561,41.4847,29.9887,124.7051,17.1959,2.5476,5015.604,28.6411,11.496,12.26
1648,41.838,41.5855,30.0283,117.7689,17.4084,2.6019,4907.5742,27.7923,11.5572,12.26
1649,42.12,41.6724,29.9919,119.8306,17.6257,2.5402,4850.1831,28.6467,11.6805,12.26
1650,42.401,41.7359,30.0106,122.6458,17.6163,2.5843,5068.4238,27.7743,11.7253,12.26
1651,42.682,41.8275,30.1347,122.6198,17.5777,2.5765,4929.0761,28.0207,11.6928,12.26
1652,42.964,41.9032,30.2535,119.7784,17.7541,2.6163,4745.0834,27.3495,11.6497,12.26
1653,43.251,41.8988,30.2806,124.5472,17.5139,2.6241,5009.1835,27.7426,11.6182,12.26
1654,43.534,41.7461,29.883,123.0879,17.4887,2.5741,5003.3354,28.9502,11.8631,12.26
1655,43.813,41.7948,29.8004,118.2796,17.6533,2.5572,4697.0405,27.3855,11.9944,12.26
1656,44.103,41.8343,30.0844,124.4219,17.3903,2.5758,4700.2299,27.3004,11.7499,12.26
1657,44.393,41.8234,29.8565,119.4156,17.5536,2.6085,4649,27.4886,11.9669,12.26
1658,44.683,41.7479,30.1211,123.8449,17.3195,2.5723,4677.2685,27.4225,11.6268,12.26
1659,44.974,41.9599,30.0415,119.205,17.7848,2.5508,4752.8515,27.4607,11.9184,12.26
1660,45.263,41.8972,30.0912,123.6427,17.3864,2.5547,4727.1391,27.3608,11.806,12.26
1661,45.553,41.8988,29.9391,117.0978,17.5675,2.5888,4692.143,27.8655,11.9597,12.26
1662,45.842,41.7443,30.1075,122.7709,17.6303,2.5905,5061.8671,28.459,11.6368,12.26
1663,46.123,41.8141,30.0745,119.9176,17.4879,2.6059,4950.767,27.0204,11.7396,12.26
1664,46.412,41.9408,29.9516,123.7406,17.41,2.5712,4819.7934,27.2118,11.9892,12.26
1665,46.702,42.0782,30.1347,117.5608,17.384,2.5926,4796.6743,26.6941,11.9435,12.26
1666,46.995,41.7924,29.9616,121.7074,17.4973,2.5914,4943.1538,26.9864,11.8308,12.26
1667,47.285,41.8699,30.2026,118.5533,17.4021,2.6062,4994.7275,27.0234,11.6673,12.26
1668,47.576,41.8476,30.2429,123.0086,17.5832,2.6137,5072.7089,27.6512,11.6047,12.26
