,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
0,1343,0.0,38.3933,32.5988,140.7103,4.7379,3.1161,2016.4903,27.8677,5.7945,0.0
1,1344,0.309,38.305,32.297,134.7124,4.8146,3.1161,2189.0886,28.949,6.007999999999999,0.0
2,1345,0.585,38.4098,32.5343,134.3224,4.8723,3.1119,2082.1284,31.656999999999996,5.8755,0.0
3,1346,0.865,38.2603,32.482,140.9188,4.8306,2.7642,2054.6066,28.182,5.7783,0.0
4,1347,1.153,38.2233,32.4622,134.1576,4.8919999999999995,2.9862,2130.5808,28.7551,5.7611,0.0
5,1348,1.4340000000000002,38.5195,32.7448,140.6187,4.7613,2.7072,2087.0048,31.2315,5.7747,0.0
6,1349,1.715,38.4828,32.7924,134.1048,4.787,2.915,2061.3835,28.6963,5.6904,0.0
7,1350,2.002,38.3893,32.3697,139.2037,4.8498,2.8719,2124.4953,30.17,6.0196,0.0
8,1351,2.282,38.2589,32.2221,133.5158,4.7525,3.0426,2101.2326,32.0182,6.0368,0.0
9,1352,2.5639999999999996,38.3801,32.6226,141.0492,4.7663,3.0905,2069.7268,27.6166,5.7575,0.0
10,1353,2.853,38.1988,32.5414,135.2672,4.8345,2.9546,2156.6184,28.613000000000003,5.6574,0.0
11,1354,3.135,38.281,32.4622,139.0188,4.7947,2.9398,2129.1696,30.4393,5.8188,0.0
12,1355,3.4160000000000004,38.446999999999996,32.3763,134.2897,4.8261,3.036,2106.9882,30.7006,6.0707,0.0
13,1356,3.698,38.4092,32.4589,141.2585,4.7148,3.1432,2073.685,28.6354,5.9503,0.0
14,1357,3.986,38.172,32.3103,134.3499,4.8597,2.9086,2116.2031,32.4367,5.8617,0.0
15,1358,4.263999999999999,38.4339,32.4631,140.4757,4.8274,3.0208,2078.8098,29.6598,5.9708,0.0
16,1359,4.551,38.3374,32.5315,133.7593,4.8014,3.016,2117.2983,31.4334,5.8059,0.0
17,1360,4.832,38.3794,32.2574,141.3881,4.7983,2.8876,2109.4079,28.0003,6.122000000000001,0.0
18,1361,5.12,38.4661,32.5183,134.7917,4.8698,2.9759,2196.1933,28.3616,5.9478,0.0
19,1362,5.401,38.4452,32.4359,139.0662,4.8109,3.0487,2170.0866,29.4991,6.0093,0.0
20,1363,5.682,38.2831,32.6636,133.7877,4.7686,2.9439,2142.8061,31.0905,5.6195,0.0
21,1364,5.962999999999999,38.4263,32.4291,140.9188,4.7621,3.0252,2109.5561,28.7098,5.9972,0.0
22,1365,6.251,38.2008,32.5887,133.4897,4.7954,2.9224,2168.6745,30.7084,5.6121,0.0
23,1366,6.532,38.2484,32.3341,141.3881,4.8014,2.88,2139.8002,27.7468,5.9143,0.0
24,1367,6.819,38.3455,32.5892,134.2978,4.7692,3.0183,2175.2792,30.1825,5.7563,0.0
25,1368,7.1,38.2909,32.264,140.3714,4.7912,3.0141,2167.6298,28.1016,6.0269,0.0
26,1369,7.3870000000000005,38.5149,32.6207,135.5751,4.8668,2.9848,2034.8638,27.7384,5.8942,2.269356680624291
27,1370,7.685,38.577,32.6837,135.2102,4.7172,3.0356,2043.8287,27.4814,5.8933,4.719604111153403
28,1371,7.983,38.2414,32.368,136.9045,4.9158,2.8479,2137.3103,28.0563,5.8734,7.169851541682523
29,1372,8.271,38.42,31.8426,141.8192,6.0181,2.9337,2560.455,30.1825,6.5774,8.756756756756756
30,1373,8.527999999999999,38.6952,31.9845,137.2955,7.3121,2.8585,2864.7822,27.5665,6.7107,8.756756756756756
31,1374,8.776,39.1273,31.4177,135.3934,9.2197,2.9898,3141.0324,28.1754,7.7096,8.756756756756756
32,1375,9.011000000000001,39.7949,31.052,136.32399999999998,10.4865,2.9775,3573.8395,27.8506,8.7429,8.756756756756756
33,1376,9.234,39.8598,31.4615,140.5539,11.1366,2.995,3562.5222,28.3749,8.3983,8.756756756756756
34,1377,9.457,39.7401,31.2208,133.5173,11.3006,2.9058,3628.5932,27.5416,8.5193,8.756756756756756
35,1378,9.679,39.8078,31.578000000000003,140.6582,11.0675,2.9598,3656.6042,30.7835,8.2298,8.756756756756756
36,1379,9.895,39.9853,31.5704,138.3903,10.8998,3.0421,3462.2041,29.1247,8.4149,8.756756756756756
37,1380,10.12,39.9362,31.4021,140.9188,11.3612,2.9778,3634.3078,27.6104,8.5341,8.756756756756756
38,1381,10.344000000000001,39.5902,31.2378,135.132,11.3256,2.9438,3462.6037,27.3434,8.3524,8.756756756756756
39,1382,10.573,39.9024,31.2241,136.3311,11.1762,3.0039,3449.2009,30.7705,8.6783,8.756756756756756
40,1383,10.798,39.9366,31.3195,135.188,11.1447,2.9724,3618.8178,30.4216,8.6171,8.756756756756756
41,1384,11.019,39.9608,31.5399,140.2411,11.1581,2.9881,3630.4959999999996,30.9402,8.4209,8.756756756756756
42,1385,11.239,39.937,31.4285,135.8749,11.3363,3.0298,3587.9445,30.9901,8.5085,8.756756756756756
43,1386,11.46,39.8555,31.3988,139.0409,11.2415,3.0463,3586.9433,26.9316,8.4567,8.756756756756756
44,1387,11.687999999999999,39.9206,31.5738,136.3769,11.0069,2.9073,3528.9965,31.0402,8.3468,8.756756756756756
45,1388,11.911,39.8945,31.5111,135.8097,11.2876,2.9264,3583.2304,30.7809,8.3834,8.756756756756756
