,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1372,866.724,39.2679,28.8042,114.5809,16.6211,2.3796,4690.187,27.0034,10.4637,10.95
1373,867.838,38.8797,28.4172,109.899,16.7266,2.3825,4696.3056,26.39,10.4625,10.95
1374,868.957,39.0409,28.4893,112.8706,16.7447,2.3869,4525.1142,26.9068,10.5516,10.95
1375,870.076,38.9801,28.5323,115.3731,16.6266,2.3725,4482.7412,27.0534,10.4478,10.95
1376,871.199,39.1,28.4563,115.4929,16.7306,2.3748,4446.8598,28.3572,10.6437,10.95
1377,872.317,38.8797,28.4728,109.8782,16.5684,2.3703,4583.8852,26.7873,10.4069,10.95
1378,873.441,39.0867,28.4172,110.0293,16.6148,2.3828,4531.4936,26.1011,10.6695,10.95
1379,874.569,38.9349,28.5686,111.8455,16.7471,2.3833,4470.4946,26.3576,10.3663,10.95
1380,875.699,39.2552,28.6107,114.0176,16.5188,2.3764,4486.3164,27.5645,10.6445,10.95
1381,876.823,39.0467,28.4138,111.4661,16.6818,2.3853,4520.5688,26.131,10.6329,10.95
1382,877.956,39.0142,28.4068,112.9693,16.7613,2.38,4742.0834,26.6971,10.6074,10.95
1383,879.082,38.9832,28.4992,114.3043,16.5367,2.3872,4554.4252,26.9256,10.484,10.95
1384,880.212,39.0099,28.6243,109.9772,16.6613,2.3744,4606.4082,26.3586,10.3856,10.95
1385,881.344,39.161,28.6677,114.2374,16.5642,2.3842,4707.6054,26.8731,10.4933,10.95
1386,882.475,39.1463,28.5092,109.6404,16.7062,2.3817,4406.7958,28.0336,10.6371,10.95
1387,883.606,39.1839,28.7271,114.5389,16.5235,2.3853,4578.5214,27.8954,10.4568,10.95
1388,884.738,39.0919,28.5686,111.3848,16.8109,2.3773,4672.6547,26.5707,10.5233,10.95
1389,885.872,39.1305,28.5564,108.7919,16.496,2.3843,4439.1835,27.4452,10.5741,10.95
1390,887.009,39.0693,28.4893,111.6747,16.5904,2.3721,4538.3491,28.3209,10.58,10.95
1391,888.142,39.1845,28.5738,114.6953,16.6095,2.376,4731.1147,27.6616,10.6107,10.95
1392,889.275,38.9422,28.4715,111.3588,16.7967,2.3773,4597.7011,26.6153,10.4707,10.95
