,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1217,665.01,40.4972,30.7524,96.5787,17.5604,2.0625,4584.8188,28.3242,9.7448,8.76
1218,665.919,40.7847,31.3057,97.5692,17.0259,2.0806,4732.3588,27.8836,9.479,8.76
1219,666.827,40.5204,31.0172,96.4223,17.4265,1.985,4603.8164,27.4597,9.5032,8.76
1220,667.741,40.56,30.8712,93.1639,17.6163,1.991,4918.8388,27.3762,9.6888,8.76
1221,668.65,40.5843,31.0443,97.2304,17.493,1.9782,4560.6567,27.0966,9.54,8.76
1222,669.568,40.6194,30.844,95.3211,17.8351,2.0191,4468.7192,27.3424,9.7754,8.76
1223,670.487,40.7448,31.1874,102.0119,17.2998,2.0854,4457.873,28.3837,9.5574,8.76
1224,671.405,40.4757,30.8373,98.6641,17.284,2.0899,4659.3496,27.5738,9.6384,8.76
1225,672.322,40.4903,30.8712,105.4843,16.603,2.1795,4600.5214,29.8052,9.6191,8.76
1226,673.234,40.1838,30.6981,105.8064,16.7172,2.1764,4549.8208,29.2461,9.4857,8.76
1227,674.149,40.1367,30.749,102.2874,16.5889,2.1824,4399.9023,27.4711,9.3877,8.76
1228,675.077,40.3991,30.7524,104.7117,16.4117,2.1826,4709.33,28.1711,9.6467,8.76
1229,675.996,40.3579,30.8737,99.8235,16.6014,2.1692,4635.83,29.6105,9.4842,8.76
1230,676.91,40.5355,30.9221,101.4533,16.6786,2.1828,4343.6293,27.1158,9.6134,8.76
1231,677.84,40.6542,30.6133,104.1121,16.6636,2.1805,4575.0307,28.8472,10.0409,8.76
1232,678.761,40.3489,30.5895,100.8276,16.5943,2.1862,4676.7822,29.7857,9.7594,8.76
1233,679.68,40.3341,30.9761,102.3223,16.5763,2.1752,4582.7177,29.2707,9.358,8.76
1234,680.601,40.3889,30.7049,104.2004,16.5424,2.1788,4655.0122,30.2513,9.684,8.76
1235,681.519,40.2129,30.702,100.9319,16.7117,2.1857,4699.9843,29.4634,9.5109,8.76
1236,682.439,40.4503,30.9529,105.3968,16.5975,2.1881,4340.2773,29.5003,9.4974,8.76
1237,683.366,40.3833,30.9463,105.9681,16.4251,2.1822,4438.9638,29.1549,9.437,8.76
1238,684.295,40.2597,30.6656,106.4842,16.3574,2.2912,4367.872,27.4215,9.5941,8.76
1239,685.232,40.3982,30.877,105.3605,15.9464,2.2778,4498.8754,28.1136,9.5212,8.76
1240,686.164,40.2951,31.1709,109.2473,15.9387,2.333,4314.2705,29.6719,9.1242,8.76
1241,687.095,40.2951,31.085,114.3565,15.4111,2.3766,4143.8369,29.9017,9.2101,8.76
1242,688.03,40.2737,31.0375,109.2193,15.3016,2.3704,4442.6894,28.4213,9.2362,8.76
1243,688.965,40.1271,30.6642,115.6388,15.415,2.3679,4356.8764,27.8549,9.4629,8.76
1244,689.904,40.402,30.9866,109.5986,15.3308,2.3818,4164.1601,27.6302,9.4154,8.76
1245,690.848,40.2296,30.9133,109.9575,15.4016,2.372,4250.0942,29.3484,9.3163,8.76
1246,691.787,40.2724,30.9629,111.7012,15.4315,2.371,4407.2275,29.6514,9.3095,8.76
1247,692.723,40.273,30.6981,109.4236,15.6008,2.3829,4348.8764,28.3121,9.5749,8.76
1248,693.664,40.2874,30.9595,110.1857,15.4614,2.3746,4278.9902,27.6858,9.3279,8.76
1249,694.611,40.5977,31.019,109.297,15.3796,2.3847,4401.624,28.4346,9.5787,8.76
1250,695.554,40.0398,30.7388,109.6383,15.4386,2.3744,4438.7451,28.119,9.301,8.76
1251,696.498,40.2645,30.9119,110.29,15.3992,2.3825,4196.3911,28.972,9.3526,8.76
1252,697.444,40.2388,31.1869,114.174,15.5496,2.3847,4364.2714,27.4266,9.0519,8.76
1253,698.393,40.3524,31.0421,114.7634,15.3733,2.3911,4291.8457,28.4523,9.3103,8.76
1254,699.341,40.0817,30.7859,109.2212,15.4638,2.455,4178.4667,29.9189,9.2958,8.76
1255,700.288,40.0965,30.9067,115.7433,14.7733,2.4774,4142.6923,28.3682,9.1898,8.76
1256,701.241,40.3233,31.2931,118.7357,14.6853,2.4812,4023.0656,27.6438,9.0302,8.76
1257,702.2,40.0125,31.1188,116.6243,14.674,2.4739,4203.4467,27.6963,8.8937,8.76
1258,703.157,40.4287,30.9798,115.3209,14.8119,2.4671,4231.5107,29.1212,9.4489,8.76
1259,704.109,40.2866,31.4109,119.7823,14.7151,2.4784,4020.5493,29.3083,8.8757,8.76
1260,705.067,40.3875,31.0884,119.9609,14.7492,2.4719,4174.978,29.1119,9.2991,8.76
1261,706.022,40.3994,31.2105,119.9176,14.7741,2.4769,4242.4814,27.71,9.1889,8.76
1262,706.983,40.3348,31.2667,115.6905,14.697,2.4821,4335.6777,27.6963,9.0681,8.76
1263,707.941,40.354,31.0685,114.4347,14.8617,2.4767,4120.8793,27.9167,9.2855,8.76
1264,708.903,40.1466,30.9798,115.6859,14.7482,2.4924,4387.8896,28.3826,9.1668,8.76
1265,709.859,40.1958,31.102,114.7996,14.7017,2.4833,4078.6728,29.4277,9.0938,8.76
1266,710.819,40.2178,31.3631,118.0059,14.7719,2.5787,4179.0488,29.1258,8.8547,8.76
1267,711.779,40.2388,31.0256,119.9609,14.0194,2.5729,4216.8393,27.225,9.2132,8.76
1268,712.747,40.2283,31.2615,119.1007,14.1852,2.5772,3911.6831,27.2189,8.9668,8.76
1269,713.721,40.3715,31.262,122.9586,14.042,2.577,4216.4443,27.2545,9.1095,8.76
1270,714.69,40.1882,31.1122,122.7359,14.0274,2.5701,4022.1665,28.8746,9.076,8.76
1271,715.659,40.066,31.1181,119.6534,14.1648,2.5809,4146.3188,28.5726,8.9479,8.76
1272,716.626,40.2798,31.2989,121.0557,14.1407,2.5843,4160.5029,27.5676,8.9809,8.76
1273,717.598,40.1766,31.1224,118.4109,14.0427,2.5755,4048.5832,27.2872,9.0542,8.76
1274,718.574,40.1522,31.2785,124.2176,13.9908,2.5778,4083.8552,27.8943,8.8737,8.76
1275,719.548,40.1307,31.2344,118.6836,14.1136,2.5793,4203.0541,27.4473,8.8963,8.76
1276,720.524,40.1958,31.0443,124.0795,14.0841,2.5808,4256.9291,28.3804,9.1515,8.76
1277,721.496,40.2178,31.1907,118.7815,14.1876,2.5706,4092.9555,27.7142,9.0271,8.76
1278,722.475,40.1568,31.2898,127.7641,13.6814,2.6721,3977.0214,27.4163,8.867,8.76
1279,723.458,40.2196,31.1597,125.0179,13.505,2.6823,3841.7211,27.5447,9.0599,8.76
1280,724.445,40.2391,31.1156,126.2431,13.5088,2.7691,3778.4963,27.7574,9.1235,8.76
1281,725.433,39.9792,31.4245,132.8902,12.8445,2.7695,3997.1577,28.355,8.5547,8.76
1282,726.416,40.0125,31.3922,128.451,12.861,2.7767,3820.8449,29.5445,8.6203,8.76
1283,727.398,39.9972,31.1733,126.217,12.7449,2.7748,3790.7504,28.7982,8.8239,8.76
1284,728.385,40.4244,31.3426,129.0062,13.1236,2.7803,3721.007,28.9398,9.0818,8.76
1285,729.375,40.307,31.5534,130.5496,12.7838,2.7709,3938.3862,29.0551,8.7536,8.76
