,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1364,813.316,36.1288,27.7892,107.659,13.7577,2.2797,3723.3161,26.1039,8.3396,12.26
1365,814.401,36.3313,27.7859,107.5529,13.7248,2.347,3653.1904,26.9505,8.5454,12.26
1366,815.486,36.3043,27.8189,115.8226,13.1625,2.3862,3670.9223,26.0666,8.4854,12.26
1367,816.575,36.1703,27.9147,111.1992,12.9831,2.3795,3594.5363,25.8231,8.2556,12.26
1368,817.668,36.1133,27.7694,112.2295,13.1145,2.3797,3659.4291,25.9886,8.3439,12.26
1369,818.759,36.2533,27.918,112.0205,12.9618,2.3752,3716.3977,26.2372,8.3353,12.26
1370,819.85,36.3787,27.9183,110.9678,12.9958,2.3768,3686.4094,26.6143,8.4604,12.26
1371,820.939,36.1368,27.9246,111.1199,13.1523,2.3796,3700.9624,27.3158,8.2122,12.26
1372,822.028,36.1712,27.9808,113.8091,13.0289,2.38,3609.5292,26.3433,8.1904,12.26
1373,823.123,36.0045,28.0699,110.8822,13.0507,2.3763,3738.3178,26.7794,7.9346,12.26
1374,824.215,36.0605,28.0006,111.6996,13.198,2.4069,3541.9125,27.6093,8.0599,12.26
1375,825.31,36.1597,27.9251,120.1694,12.4083,2.4843,3544.2836,26.0248,8.2346,12.26
1376,826.412,36.1966,27.8024,118.4909,12.2941,2.4682,3497.8623,26.7245,8.3942,12.26
1377,827.513,36.0769,27.8959,114.5544,12.4548,2.466,3463.1369,26.1629,8.181,12.26
1378,828.619,35.9574,27.7723,118.8661,12.295,2.4797,3680.53,27.8932,8.1851,12.26
1379,829.715,36.1212,28.1661,116.9892,12.4908,2.487,3697.3132,27.4215,7.9551,12.26
1380,830.812,36.0459,27.8504,116.3636,12.4633,2.4799,3747.3457,26.6503,8.1955,12.26
1381,831.91,36.0622,27.9896,115.1385,12.4083,2.4815,3507.541,27.8432,8.0726,12.26
1382,833.012,35.9293,27.7452,120.1033,12.4012,2.486,3509.5927,25.9609,8.1841,12.26
1383,834.124,36.1891,27.9366,117.1964,12.3083,2.4769,3495.6887,27.7184,8.2525,12.26
1384,835.23,36.1483,28.1096,124.3344,11.9179,2.5904,3597.1223,27.5978,8.0387,12.26
1385,836.335,36.0809,28.1459,118.7319,11.7659,2.5731,3624.6477,27.223,7.935,12.26
1386,837.441,36.0717,28.0864,124.8888,11.5635,2.5775,3356.08,25.9443,7.9853,12.26
1387,838.562,35.9293,28.1693,121.16,11.6659,2.5755,3541.634,26.3595,7.76,12.26
1388,839.675,35.8993,27.9828,121.9941,11.7202,2.5809,3473.2941,25.6281,7.9165,12.26
1389,840.795,35.8695,27.9279,119.8383,11.9485,2.5771,3333.0864,27.8623,7.9416,12.26
1390,841.912,35.9624,27.9312,119.5178,11.7828,2.5817,3382.4414,26.9645,8.0312,12.26
1391,843.031,36.1873,28.0812,121.9124,11.7289,2.576,3631.9611,27.937,8.1061,12.26
1392,844.143,36.1146,27.976,119.3738,11.9178,2.5816,3524.85,26.2978,8.1386,12.26
1393,845.264,35.969,28.1492,124.262,11.7933,2.63,3282.9941,26.1226,7.8198,12.26
1394,846.395,36.0122,28.2582,125.0958,11.0549,2.6888,3331.2358,27.6229,7.754,12.26
1395,847.518,35.9482,27.9862,126.8472,11.2083,2.6799,3358.3342,26.886,7.962,12.26
1396,848.644,36.1047,28.0336,127.6056,11.0888,2.6841,3489.1833,26.5968,8.0711,12.26
1397,849.77,36.0846,28.1389,132.1082,11.0538,2.6712,3359.4626,26.0722,7.9457,12.26
1398,850.903,35.9238,28.0798,124.0654,10.9801,2.681,3419.7126,27.4949,7.844,12.26
1399,852.028,36.0528,27.8784,128.6095,10.9014,2.6845,3314.3066,27.8794,8.1744,12.26
1400,853.157,36.0504,28.1253,128.0157,11.1707,2.68,3386.2592,26.6483,7.9251,12.26
1401,854.291,36.0618,28.1152,131.8475,11.0201,2.6709,3497.9982,27.2535,7.9466,12.26
1402,855.418,36.1415,28.136,129.7984,10.5369,2.7783,3282.156,27.6984,8.0055,12.26
1403,856.553,36.004,28.1525,134.9234,10.4867,2.7799,3239.5075,26.5562,7.8515,12.26
1404,857.694,35.976,28.1327,129.7621,10.2196,2.778,3355.955,25.8478,7.8433,12.26
1405,858.834,36.0555,28.1921,131.1437,10.4653,2.7796,3201.9353,26.885,7.8634,12.26
1406,859.977,36.0948,28.2883,134.9549,10.5788,2.7852,3096.5078,26.162,7.8065,12.26
1407,861.127,36.0566,28.0435,134.1679,10.2672,2.774,3223.611,25.5966,8.0131,12.26
1408,862.277,36.0757,28.1921,130.8122,10.1543,2.7782,3346.8444,26.3367,7.8836,12.26
1409,863.42,35.9439,28.0031,133.6722,10.1968,2.7724,3318.7065,27.0795,7.9408,12.26
1410,864.563,36.0517,28.169,135.2672,10.3731,2.7818,3152.3642,26.9237,7.8827,12.26
1411,865.713,36.1763,28.1559,134.9495,10.5471,2.7813,3331.3591,26.2042,8.0204,12.26
1412,866.861,36.0208,28.1063,132.3347,10.422,2.8007,3224.0729,25.713,7.9145,12.26
1413,868.017,35.9896,27.9964,140.0586,9.8771,2.8713,3197.3852,25.7611,7.9932,12.26
1414,869.173,35.8268,28.0812,133.0987,9.7024,2.8647,3146.5229,25.8249,7.7456,12.26
1415,870.332,35.9726,28.0402,139.1509,9.7764,2.8779,2987.5517,26.7853,7.9324,12.26
1416,871.495,35.9547,28.0699,136.0062,9.6717,2.8801,3138.1845,27.6124,7.8848,12.26
1417,872.649,35.9547,27.942,138.5448,9.9063,2.8823,3047.5417,26.7735,8.0127,12.26
1418,873.811,35.6819,27.885,135.0798,9.7362,2.8667,3109.8825,26.9674,7.7969,12.26
1419,874.971,35.8835,27.8911,136.5396,9.7362,2.8827,3144.7639,27.7944,7.9924,12.26
1420,876.127,35.9985,28.2238,132.7599,9.9441,2.8772,3184.8259,26.9117,7.7747,12.26
1421,877.287,35.9578,28.1152,136.5917,9.7536,2.9466,3091.8271,25.9498,7.8426,12.26
1422,878.455,36.1063,28.005,136.696,9.0741,2.9784,3085.6789,26.1939,8.1013,12.26
1423,879.624,35.8802,28.2152,143.8123,9.0143,2.9636,3051.0544,25.8505,7.665,12.26
1424,880.797,36.0566,28.3595,136.3563,8.9182,2.9727,2846.75,26.7049,7.6971,12.26
1425,881.976,36.0445,28.1219,136.6178,9.0103,2.9736,2917.9094,26.6922,7.9226,12.26
1426,883.152,36.0282,28.3044,136.7481,9.1796,2.9696,2928.6386,26.2542,7.7238,12.26
1427,884.332,36.0278,28.4629,135.335,8.9725,2.9618,2964.3291,27.5177,7.5649,12.26
1428,885.507,35.9079,28.2912,140.1812,8.9694,2.9759,2920.6555,26.4043,7.6167,12.26
1429,886.688,36.0208,28.2509,137.2955,9.1237,2.9637,2921.6035,26.331,7.7699,12.26
1430,887.871,36.0751,28.2306,136.7481,9.1341,2.9741,2979.3432,27.5738,7.8445,12.26
1431,889.048,36.0566,28.1591,140.102,9.078,2.9706,2972.4553,26.6912,7.8975,12.26
1432,890.23,35.8993,28.0851,138.0775,9.2993,2.9757,3040.9516,27.2586,7.8142,12.26
1433,891.408,36.0661,28.2285,140.2932,8.771,2.9653,3029.487,27.769,7.8376,12.26
1434,892.585,35.8603,28.0666,139.407,8.8993,2.9819,3081.5585,25.89,7.7937,12.26
1435,893.771,36.0661,28.1624,136.305,9.1552,2.9761,2979.7377,25.5769,7.9037,12.26
1436,894.962,35.9467,28.0167,142.9217,9.1859,2.9715,3009.4294,27.4824,7.93,12.26
1437,896.144,36.0948,28.1822,139.3887,8.8891,2.9737,2901.6345,26.0564,7.9126,12.26
1438,897.339,35.9884,28.0963,143.8535,9.1662,2.9791,3033.4694,27.0214,7.8921,12.26
1439,898.525,35.9615,27.9998,138.0515,9.0339,2.9716,2930.9277,26.4388,7.9617,12.26
1440,899.72,35.9231,28.3629,142.7957,8.9985,2.9697,3087.0549,26.2061,7.5602,12.26
1441,900.91,36.0436,28.2136,136.6439,9.0434,2.9723,2895.0078,26.4034,7.83,12.26
1442,902.108,35.965,28.1096,135.94,8.9749,2.9725,2926.4484,26.9974,7.8554,12.26
1443,903.304,35.9608,28.3154,138.26,8.9568,2.9704,2880.3686,27.6784,7.6454,12.26
1444,904.501,35.8435,28.1627,139.7458,9.0032,2.9769,3080.3984,27.526,7.6808,12.26
1445,905.69,35.945,28.1152,139.798,9.0308,2.9816,3051.2612,26.433,7.8298,12.26
1446,906.887,35.9691,28.1219,136.6439,9.0284,2.9773,2951.1098,26.2108,7.8472,12.26
1447,908.089,35.9964,28.2204,136.5135,9.0489,2.9796,2996.6037,26.9048,7.776,12.26
1448,909.288,35.8875,28.1657,138.3583,8.8214,2.9713,2970.4929,25.8231,7.7218,12.26
