,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1359,806.93,40.7893,31.0715,147.5399,12.563,3.1629,3868.3059,28.1439,9.7178,10.95
1360,807.997,40.7834,30.6676,143.8123,12.6524,3.1724,3861.1691,27.4524,10.1158,10.95
1361,809.068,40.8965,30.8135,148.0574,12.6043,3.1593,3956.3918,28.5391,10.083,10.95
1362,810.134,40.923,30.7779,144.2555,12.5807,3.1657,4036.4172,28.2989,10.1451,10.95
1363,811.201,40.7578,30.8033,149.0518,12.5451,3.1597,4018.216,26.9256,9.9545,10.95
1364,812.274,41.0379,30.8916,145.765,12.5151,3.1751,4061.0051,28.132,10.1463,10.95
1365,813.342,40.8767,30.8678,149.5747,12.6453,3.1743,3725.7824,28.0196,10.0089,10.95
1366,814.419,40.9055,30.7944,149.5471,12.6365,3.1706,3718.2402,28.8643,10.1111,10.95
1367,815.495,41.0565,31.1049,147.0503,12.5776,3.166,4032.258,27.873,9.9516,10.95
1368,816.568,40.9519,30.9166,144.6989,12.6043,3.1653,3845.332,27.1319,10.0353,10.95
1369,817.648,40.6044,30.4378,145.6646,12.5689,3.1815,3989.1848,27.7807,10.1666,10.95
1370,818.724,40.8998,30.6492,143.7602,12.4601,3.1758,3876.1357,28.5012,10.2506,10.95
1371,819.802,40.8795,30.8678,145.0114,12.7765,3.173,3966.3303,28.8814,10.0117,10.95
1372,820.877,40.9861,30.8803,145.3763,12.7384,3.1738,3944.946,27.4928,10.1058,10.95
1373,821.958,40.8734,30.6788,144.3515,12.5776,3.1655,3738.6281,28.6681,10.1946,10.95
1374,823.041,40.9748,30.8275,147.957,12.6373,3.1731,3754.6933,27.7775,10.1473,10.95
1375,824.129,40.8566,30.3948,144.6989,12.5713,3.1602,3895.7666,28.0035,10.4618,10.95
1376,825.214,40.9649,30.5895,150.0163,12.6099,3.0726,4146.5097,27.823,10.3754,10.95
1377,826.295,40.9213,30.8271,143.682,13.1303,3.0081,3975.7919,27.3301,10.0942,10.95
1378,827.381,40.8806,30.5236,140.0586,13.7847,2.9762,4288.9819,27.9659,10.357,10.95
1379,828.462,40.9626,30.6268,140.5279,13.7813,2.9691,3960.2216,29.091,10.3358,10.95
1380,829.545,40.8866,30.5401,136.0443,14.0356,2.9724,4236.8891,28.5023,10.3465,10.95
1381,830.625,41.0103,30.8855,135.6371,13.8467,2.9746,4048.9472,28.2136,10.1248,10.95
1382,831.712,40.8093,30.4444,141.0753,13.8001,2.9805,4097.4277,28.0229,10.3649,10.95
1383,832.798,40.8287,30.4873,134.7515,13.8947,2.9743,4169.5625,29.0528,10.3414,10.95
1384,833.881,41.0779,30.7977,140.189,13.8252,2.9774,4011.9465,27.7648,10.2802,10.95
1385,834.972,40.8135,30.267,135.6449,13.8041,2.9654,3993.0783,27.9114,10.5465,10.95
1386,836.065,40.8782,30.7152,136.1225,13.7467,2.9708,3995.738,27.1774,10.163,10.95
1387,837.163,41.0876,30.9298,138.5728,13.885,2.9367,4179.4375,28.7155,10.1578,10.95
1388,838.251,40.8676,30.7218,136.6939,14.3718,2.883,4313.4433,27.5281,10.1458,10.95
1389,839.344,40.7974,30.3783,137.1131,14.4717,2.8007,4418.0454,27.7205,10.4191,10.95
1390,840.433,40.9343,30.5401,130.9289,15.1379,2.7675,4247.6875,28.2814,10.3942,10.95
1391,841.525,40.9595,30.4266,132.0821,14.945,2.7782,4506.5346,27.4918,10.5329,10.95
1392,842.615,41.0336,30.6553,128.9541,15.1434,2.7744,4242.081,28.4191,10.3783,10.95
1393,843.708,41.0399,30.5005,127.9491,15.0198,2.7884,4203.2504,27.2535,10.5394,10.95
1394,844.809,41.0902,30.7253,130.9091,15.0473,2.7774,4408.5234,27.9092,10.3649,10.95
1395,845.903,40.7512,30.4741,127.9114,15.1914,2.7855,4384.6831,27.8061,10.2771,10.95
1396,846.998,40.8956,30.3214,128.1985,15.0866,2.7438,4459.4194,29.3614,10.5742,10.95
1397,848.09,41.0842,30.3915,127.2886,15.6598,2.6795,4601.6977,29.0609,10.6927,10.95
1398,849.18,40.8831,30.4774,122.5252,15.6032,2.6409,4748.3383,29.239,10.4057,10.95
1399,850.268,40.943,30.3684,122.4112,16.2688,2.5844,4613.019,28.6602,10.5746,10.95
1400,851.361,41.3096,31.0598,118.7357,16.3834,2.5912,4405.2866,27.9381,10.2498,10.95
1401,852.462,40.9791,30.5861,119.6021,16.2446,2.5793,4510.1474,28.8894,10.393,10.95
1402,853.558,41.0652,30.3315,118.5011,16.3983,2.5823,4487.6591,27.8209,10.7337,10.95
1403,854.661,41.1541,30.6099,119.5438,16.3723,2.5731,4394.746,28.9421,10.5442,10.95
1404,855.761,41.2013,30.3717,122.5595,16.1637,2.5801,4498.4257,27.143,10.8296,10.95
1405,856.867,41.2412,30.5108,119.9704,16.2031,2.5773,4707.1127,28.595,10.7304,10.95
1406,857.965,41.2083,30.5386,118.2508,16.3062,2.5713,4544.5361,28.4268,10.6697,10.95
