,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
886,401.797,35.1094,28.5389,118.5011,8.9694,2.4845,2930.1645,27.1107,6.5705,8.76
887,402.491,35.0382,28.7833,115.4527,9.0505,2.4623,2722.6523,26.8424,6.2549,8.76
888,403.196,35.0374,28.5258,122.0984,9.0458,2.4751,2888.8747,26.7843,6.5116,8.76
889,403.896,35.0859,28.5835,114.7735,8.7316,2.476,2816.5485,26.6221,6.5024,8.76
890,404.599,35.0358,28.3295,122.2287,8.8261,2.4675,2887.9477,26.3919,6.7063,8.76
891,405.302,35.1867,28.8483,115.6338,8.9662,2.486,2911.5847,26.1836,6.3384,8.76
892,406.004,35.1961,28.6514,123.0234,8.8946,2.4741,2717.3913,25.9388,6.5447,8.76
893,406.718,35.1876,28.5686,120.6309,8.8777,2.4861,2743.7351,27.0164,6.619,8.76
894,407.426,35.0725,28.5092,121.6813,8.9891,2.4762,2875.8588,26.4877,6.5633,8.76
895,408.131,35.1818,28.78,116.1932,8.8403,2.4687,2747.9238,27.1865,6.4018,8.76
896,408.84,35.0347,28.5191,115.738,9.0064,2.4761,2699.0554,26.6659,6.5156,8.76
897,409.554,35.0811,28.4893,115.849,8.9284,2.4682,2791.217,26.8671,6.5918,8.76
898,410.263,35.2185,28.7906,115.0844,9.3229,2.389,2884.8002,27.7121,6.4279,8.76
899,410.966,35.1417,28.6611,112.1408,9.4575,2.3869,2846.3898,27.1007,6.4806,8.76
900,411.672,35.1331,28.5225,117.5647,9.2756,2.3671,2941.9455,27.468,6.6106,8.76
901,412.375,35.1425,28.6141,111.7758,10.3109,2.2866,3038.8977,27.4959,6.5284,8.76
902,413.075,35.1975,28.4761,112.9429,10.4391,2.2883,2999.8,27.1956,6.7214,8.76
903,413.779,35.0649,28.4749,106.9795,10.2928,2.2532,3149.1655,27.2882,6.59,8.76
904,414.477,35.2826,28.6346,103.8546,11.0636,2.1811,3158.4489,26.3386,6.648,8.76
905,415.179,35.4266,28.7736,108.2046,10.9478,2.1678,3092.571,27.0775,6.653,8.76
906,415.883,35.2081,28.5554,109.143,10.9258,2.1947,3311.7458,27.3004,6.6527,8.76
907,416.577,35.3104,28.6854,103.5386,11.0667,2.1941,3072.4062,26.7814,6.625,8.76
908,417.285,35.4635,28.5158,101.7675,11.0809,2.1916,3100.2412,27.603,6.9477,8.76
909,417.987,35.147,28.704,102.3621,11.1337,2.1936,3306.3923,26.9654,6.443,8.76
910,418.686,35.222,28.8788,108.752,10.8991,2.1936,3129.7817,27.6952,6.3432,8.76
911,419.388,35.1728,28.3638,107.2363,11.1258,2.1808,3119.1516,26.7313,6.809,8.76
912,420.097,35.2987,28.6277,108.8302,11.0132,2.188,3212.1062,26.4129,6.671,8.76
913,420.803,35.4533,28.5257,108.9567,11.1715,2.1958,3225.3439,27.5156,6.9276,8.76
914,421.504,35.338,28.4783,107.1359,11.0801,2.2067,3164.4455,26.193,6.8597,8.76
915,422.214,35.2056,28.5058,106.6223,10.8227,2.1791,3312.7207,25.6695,6.6998,8.76
916,422.922,35.2395,28.7998,104.7264,10.7566,2.1727,3117.6389,26.1657,6.4397,8.76
917,423.634,35.3032,28.6346,103.6429,10.9809,2.1872,3103.6623,26.8128,6.6686,8.76
918,424.345,35.2789,28.4749,109.1082,10.9777,2.1835,3084.7272,27.3536,6.804,8.76
919,425.056,35.2251,28.7634,103.1476,10.9967,2.181,3334.8154,26.3139,6.4617,8.76
920,425.763,35.2824,28.6575,103.1677,10.8062,2.1882,3131.5239,27.3814,6.6249,8.76
921,426.474,35.2853,28.6446,111.0935,10.3964,2.3005,2949.1757,26.5804,6.6407,8.76
922,427.195,35.4648,28.6974,111.0671,10.2448,2.2781,3192.508,26.5862,6.7674,8.76
923,427.907,35.2987,28.4629,110.3274,10.4133,2.2895,3201.0244,26.883,6.8358,8.76
924,428.619,35.304,28.665,110.8113,10.2692,2.3146,3064.7687,27.2729,6.639,8.76
925,429.336,35.1712,28.7193,115.5513,9.5858,2.3678,2960.0395,27.9928,6.4519,8.76
926,430.053,35.3026,28.6582,111.3327,9.7039,2.3824,3049.5036,27.4814,6.6444,8.76
927,430.77,35.0998,28.4596,115.6112,9.6323,2.3756,2916.5856,26.7912,6.6402,8.76
928,431.496,35.1852,28.4953,112.5318,9.541,2.4486,2766.9321,26.593,6.6899,8.76
929,432.23,35.1173,28.628,122.7973,8.9395,2.4873,2833.3962,26.7932,6.4893,8.76
930,432.961,35.0524,28.6311,122.333,8.8521,2.4789,2788.7951,27.3927,6.4213,8.76
931,433.692,35.1243,28.5258,120.0741,8.6978,2.4818,2707.7441,26.5881,6.5985,8.76
932,434.43,35.2177,28.4794,122.084,8.745,2.4801,2806.4484,26.3101,6.7383,8.76
933,435.166,35.0739,28.6181,121.7405,9.0536,2.4763,2846.75,27.2494,6.4558,8.76
934,435.897,35.1317,28.6148,121.551,9.0552,2.4753,2802.3415,25.7602,6.5169,8.76
935,436.636,35.0091,28.5462,120.0158,8.7946,2.4703,2707.9887,25.9655,6.4629,8.76
936,437.38,35.1567,28.7634,116.103,8.8749,2.4818,2696.5483,26.2646,6.3933,8.76
937,438.125,35.1716,28.6413,121.7957,8.9694,2.4854,2939.8315,27.6721,6.5303,8.76
938,438.853,35.1685,28.5666,119.0846,8.9329,2.4913,2789.9191,27.1561,6.6019,8.76
939,439.59,35.0344,28.4987,120.5344,8.76,2.4909,2835.0026,26.9107,6.5357,8.76
940,440.328,35.1852,28.813,121.8726,8.8497,2.4775,2886.7436,28.1983,6.3722,8.76
941,441.059,35.1173,28.7965,118.3324,8.9284,2.4836,2797.4636,27.0715,6.3208,8.76
942,441.799,35.2225,28.5089,121.8446,9.0158,2.4871,2693.7236,26.6561,6.7136,8.76
943,442.546,35.0448,28.3222,116.0769,8.7537,2.4788,2726.1162,25.9222,6.7226,8.76
944,443.295,35.192,28.6684,119.2571,8.9103,2.4828,2826.0117,27.1491,6.5236,8.76
945,444.036,35.1478,28.6313,116.1132,8.9875,2.4896,2703.677,27.4814,6.5165,8.76
946,444.782,35.0579,28.5326,120.9495,8.7513,2.4791,2750.3591,26.4407,6.5253,8.76
947,445.53,35.1055,28.5455,115.7697,8.8907,2.4737,2837.416,27.2892,6.56,8.76
948,446.271,35.2099,28.5224,118.0682,9.4972,2.3697,2919.708,27.0144,6.6875,8.76
949,447.011,35.2089,28.5598,115.1357,9.5063,2.3804,3047.9543,27.7912,6.6491,8.76
950,447.745,35.1173,28.3308,115.8754,9.4803,2.3839,3047.9543,26.1526,6.7865,8.76
951,448.484,35.2913,28.6479,116.166,9.7827,2.3859,2910.643,26.48,6.6434,8.76
952,449.228,35.2284,28.5359,115.8226,9.3347,2.3828,2922.9321,26.8306,6.6925,8.76
953,449.972,35.2739,28.5835,115.7641,9.4181,2.38,2881.383,27.2413,6.6904,8.76
954,450.715,35.3104,28.8856,116.31,9.3189,2.3913,2841.0883,25.9535,6.4248,8.76
955,451.467,35.0818,28.4851,117.1196,9.6173,2.3817,3050.4338,27.5177,6.5967,8.76
956,452.205,35.2599,28.628,115.7264,9.3441,2.3804,2895.7526,27.577,6.6319,8.76
957,452.95,35.2395,28.3629,113.8612,9.467,2.3842,2878.0659,26.5185,6.8766,8.76
958,453.7,35.275,28.5785,116.31,9.4607,2.3854,3003.5041,26.801,6.6965,8.76
959,454.445,35.1631,28.5686,116.0603,9.4307,2.3786,3056.2346,26.4129,6.5945,8.76
960,455.19,35.158,28.7023,116.9632,9.848,2.3842,2869.0744,26.9286,6.4557,8.76
961,455.943,35.1631,28.6082,114.1219,9.5496,2.3762,3000.3,27.28,6.5549,8.76
962,456.687,35.2001,28.5191,118.6443,9.4355,2.3628,3066.5439,27.5989,6.681,8.76
963,457.43,35.2972,28.8955,105.8889,10.2417,2.2792,2994.4104,26.1592,6.4017,8.76
964,458.181,35.2654,28.4987,109.4532,10.3346,2.2941,2990.53,26.5833,6.7667,8.76
965,458.934,35.18,28.5835,109.117,10.2689,2.2897,2992.4191,26.7352,6.5965,8.76
966,459.685,35.2116,28.5157,110.3682,10.3897,2.2667,3202.3911,27.5707,6.6959,8.76
967,460.427,35.182,28.648,106.9795,10.3747,2.2779,3220.3813,27.7828,6.534,8.76
968,461.168,35.2768,28.6512,113.8005,10.2495,2.2937,3115.4804,26.6474,6.6256,8.76
969,461.917,35.3485,28.6209,108.726,10.2267,2.2967,2986.5605,26.089,6.7276,8.76
970,462.673,35.2351,28.5462,109.7165,10.2369,2.276,3019.121,26.9485,6.6889,8.76
971,463.425,35.1928,28.6514,107.8397,10.1897,2.2691,3018.9184,28.2474,6.5414,8.76
972,464.174,35.2173,28.4919,107.5529,10.496,2.2886,3189.2275,26.0174,6.7254,8.76
973,464.927,35.3074,28.6181,107.9354,10.1417,2.2865,3116.9912,26.6532,6.6893,8.76
974,465.679,35.3551,28.6141,110.3161,10.2629,2.285,3106.3403,27.7785,6.741,8.76
975,466.428,35.2191,28.7023,106.9534,10.9235,2.1976,3165.4475,26.4752,6.5168,8.76
976,467.181,35.4554,28.7601,101.4283,10.8943,2.1846,3086.5256,27.7331,6.6953,8.76
977,467.933,35.3617,28.5983,107.0778,10.9998,2.1985,3325.6965,25.9148,6.7634,8.76
978,468.685,35.3698,28.3561,107.976,10.7928,2.2013,3242.1918,26.5485,7.0137,8.76
979,469.438,35.192,28.5488,103.6168,11.1296,2.1808,3212.7939,27.2118,6.6432,8.76
980,470.19,35.0921,28.5389,109.9046,11.0203,2.1882,3198.1806,26.0881,6.5532,8.76
981,470.948,35.2718,28.7105,103.3526,10.8313,2.1797,3328.7714,25.8982,6.5613,8.76
982,471.702,35.3372,28.6379,106.015,10.9809,2.1752,3073.7705,27.0635,6.6993,8.76
983,472.462,35.2558,28.6115,108.0817,10.9164,2.1943,3272.3703,26.2259,6.6443,8.76
984,473.219,35.2934,28.5025,104.0659,11.1313,2.1864,3172.9243,26.3395,6.7909,8.76
985,473.98,35.3355,28.6141,102.3134,11.0778,2.1895,3098.32,26.3443,6.7214,8.76
986,474.743,35.3749,28.953,103.0955,10.7943,2.2035,3163,26.5959,6.4219,8.76
987,475.505,35.1951,28.6313,101.37,11.2043,2.1812,3138.8413,26.1667,6.5638,8.76
988,476.27,35.4664,28.4827,102.5663,10.8376,2.19,3232.5263,26.2486,6.9837,8.76
989,477.032,35.3654,28.7091,104.477,10.8262,2.1961,3220.3813,26.6192,6.6563,8.76
990,477.794,35.3358,28.5356,101.926,11.1439,2.1987,3198.0668,27.0966,6.8002,8.76
991,478.555,35.2185,28.5564,101.8703,10.9211,2.1774,3172.5888,27.6533,6.6621,8.76
992,479.316,35.2858,28.8042,98.6901,11.484,2.0814,3446.1633,28.3815,6.4816,8.76
